Complexity,Loss,Equation
1,1.469,"x4"
3,0.998,"x5 - x5"
5,0.9976,"0.02051"
6,0.8438,"x0 / (x0 - exp(x0))"
7,0.7593,"-0.4832 * x5"
9,0.6187,"(x5 + x0) / -2.225"
11,0.53,"((x0 + x5) - x4) * -0.4065"
17,0.525,"-0.3152 * ((x0 - x4) + (1.719 * x5))"
23,0.52,"0.001953 - (((x5 + x0) - (x4 * 0.5806)) * 0.4917)"
28,0.5117,"(-0.439 * (x0 + x5)) - ((-0.2805 * x4) * (exp(-0.2954) ^ (x4 * x0)))"
29,0.4028,"(((0.1941 ^ x0) + -1.597) - (x5 - (x4 * 0.5806))) * 0.4917"
