complexity,loss,equation,score,sympy_format,lambda_format
1,1.469,x4,0.0,x4,PySRFunction(X=>x4)
3,0.998,x5 - x5,0.1932919499312067,-x5 + x5,PySRFunction(X=>-x5 + x5)
5,0.9976,0.03009,0.00020044097281859567,0.0300900000000000,PySRFunction(X=>0.0300900000000000)
6,0.8438,x0 / (x0 - exp(x0)),0.1674368946755884,x0/(x0 - exp(x0)),PySRFunction(X=>x0/(x0 - exp(x0)))
7,0.7593,-0.4832 * x5,0.10551854347105023,-0.4832*x5,PySRFunction(X=>-0.4832*x5)
8,0.7095,(x4 - x5) / exp(x5 / x5),0.06783645961909059,(x4 - x5)/exp(x5/x5),PySRFunction(X=>(x4 - x5)/exp(x5/x5))
9,0.618,(x0 + x5) * -0.4402,0.1380720391424066,(x0 + x5)*(-0.4402),PySRFunction(X=>(x0 + x5)*(-0.4402))
10,0.536,(x4 - (x5 + x0)) / exp(x5 / x5),0.14235429638688876,(x4 - (x0 + x5))/exp(x5/x5),PySRFunction(X=>(x4 - (x0 + x5))/exp(x5/x5))
11,0.53,((x0 + x5) - x4) * -0.4065,0.011257154524634447,(x0 - x4 + x5)*(-0.4065),PySRFunction(X=>(x0 - x4 + x5)*(-0.4065))
12,0.5176,(x4 - (x0 + x5)) / (x0 + exp(x5 / x5)),0.023674263359476908,(x4 - (x0 + x5))/(x0 + exp(x5/x5)),PySRFunction(X=>(x4 - (x0 + x5))/(x0 + exp(x5/x5)))
13,0.5117,(x4 - (x5 + x0)) / (x0 + 2.475),0.011464227375644481,(x4 - (x0 + x5))/(x0 + 2.475),PySRFunction(X=>(x4 - (x0 + x5))/(x0 + 2.475))
14,0.4868,((x4 - x0) - (x0 + x5)) / (x0 + exp(x1 / x1)),0.04988515469767402,(-x0 + x4 - (x0 + x5))/(x0 + exp(x1/x1)),PySRFunction(X=>(-x0 + x4 - (x0 + x5))/(x0 + exp(x1/x1)))
