complexity,loss,score,equation,sympy_format,lambda_format
1,3411.8867,0.0,x0,x0,PySRFunction(X=>x0)
2,1.5113825,7.721995906860964,sin(x0),sin(x0),PySRFunction(X=>sin(x0))
3,1.2388363,0.19885232363021024,x1 - x1,-x1 + x1,PySRFunction(X=>-x1 + x1)
4,0.6141646,0.7016647798240876,sin(x0 - x1),sin(x0 - x1),PySRFunction(X=>sin(x0 - x1))
5,0.44299468,0.3267052094528233,sin(x0) * cos(x1),sin(x0)*cos(x1),PySRFunction(X=>sin(x0)*cos(x1))
7,0.41765028,0.029456664662088353,sin(cos(x1) / sin(sin(x0))),sin(cos(x1)/sin(sin(x0))),PySRFunction(X=>sin(cos(x1)/sin(sin(x0))))
8,0.21844776,0.6480975303373474,(cos(x1) + cos(x1)) * sin(x0),(cos(x1) + cos(x1))*sin(x0),PySRFunction(X=>(cos(x1) + cos(x1))*sin(x0))
9,0.21444127,0.018510999937820558,sin(x0) * (cos(x1) + sin(cos(x1))),(sin(cos(x1)) + cos(x1))*sin(x0),PySRFunction(X=>(sin(cos(x1)) + cos(x1))*sin(x0))
10,0.21144935,0.014050411443332573,sin(sin(x1 + x0)) + sin(x0 - x1),sin(x0 - x1) + sin(sin(x0 + x1)),PySRFunction(X=>sin(x0 - x1) + sin(sin(x0 + x1)))
13,0.20514412,0.010090911126079216,(sin(x0) / x1) + (sin(x0) * (cos(x1) + cos(x1))),(cos(x1) + cos(x1))*sin(x0) + sin(x0)/x1,PySRFunction(X=>(cos(x1) + cos(x1))*sin(x0) + sin(x0)/x1)
14,0.19987264,0.026032392817967792,((cos(x1) + cos(x1)) + (sin(x1) / log(x1))) * sin(x0),(2*cos(x1) + sin(x1)/log(x1))*sin(x0),PySRFunction(X=>(2*cos(x1) + sin(x1)/log(x1))*sin(x0))
15,0.19695431,0.014708590800494468,(sin(x0) / x1) * (((x1 + x1) * cos(x1)) + exp(sin(x1))),((x1 + x1)*cos(x1) + exp(sin(x1)))*sin(x0)/x1,PySRFunction(X=>((x1 + x1)*cos(x1) + exp(sin(x1)))*sin(x0)/x1)
16,0.19547027,0.00756347665419636,((cos(x1) * sin(x0)) / cos(x1 / x1)) - (log(log(x0)) / x1),sin(x0)*cos(x1)/cos(1) - log(log(x0))/x1,PySRFunction(X=>sin(x0)*cos(x1)/cos(1) - log(log(x0))/x1)
17,0.19529374,0.0009035121325987655,((cos(x1) * sin(x0)) / cos(x1 / x1)) - (cos(x1 / x0) / x1),sin(x0)*cos(x1)/cos(x1/x1) - cos(x1/x0)/x1,PySRFunction(X=>sin(x0)*cos(x1)/cos(x1/x1) - cos(x1/x0)/x1)
18,0.19105312,0.02195327955449127,(sin(x0) * (cos(x1) + cos(x1))) - (cos(x1 / x0) / log(x1 * x1)),2*sin(x0)*cos(x1) - cos(x1/x0)/log(x1**2),PySRFunction(X=>2*sin(x0)*cos(x1) - cos(x1/x0)/log(x1**2))
19,0.18904516,0.010565576246478433,(sin(sin(x0)) * (cos(x1) + cos(x1))) - (cos(x1 / x0) / log(x1 * x1)),2*sin(sin(x0))*cos(x1) - cos(x1/x0)/log(x1**2),PySRFunction(X=>2*sin(sin(x0))*cos(x1) - cos(x1/x0)/log(x1**2))
20,0.18559769,0.018404554162581986,((cos(x1) * sin(x0)) / cos(x1 / x1)) - (cos(x1 / x0) / log(x1 * x1)),sin(x0)*cos(x1)/cos(1) - cos(x1/x0)/log(x1**2),PySRFunction(X=>sin(x0)*cos(x1)/cos(1) - cos(x1/x0)/log(x1**2))
21,0.18556592,0.00017119135185477774,((cos(x1) * sin(x0)) * 1.8622242) - (cos(x1 / x0) / log(x1 * x1)),1.8622242*sin(x0)*cos(x1) - cos(x1/x0)/log(x1**2),PySRFunction(X=>1.8622242*sin(x0)*cos(x1) - cos(x1/x0)/log(x1**2))
22,0.17534523,0.056653409323298695,((sin(x0) * cos(x1)) / cos(x1 / x1)) - (cos(1.0282844 ^ x1) / log(x1)),sin(x0)*cos(x1)/cos(1) - cos(1.0282844**x1)/log(x1),PySRFunction(X=>sin(x0)*cos(x1)/cos(1) - cos(1.0282844**x1)/log(x1))
23,0.17471702,0.0035891369285219943,((sin(x0) * cos(x1)) * 1.8622928) - (cos(1.028254 ^ x1) / log(x1)),1.8622928*sin(x0)*cos(x1) - cos(1.028254**x1)/log(x1),PySRFunction(X=>1.8622928*sin(x0)*cos(x1) - cos(1.028254**x1)/log(x1))
24,0.17241181,0.01328177718666665,((sin(x0) * cos(x1)) / cos(1.0282122)) - (cos(1.0282122 ^ x1) / log(x1)),1.93666823525238*sin(x0)*cos(x1) - cos(1.0282122**x1)/log(x1),PySRFunction(X=>1.93666823525238*sin(x0)*cos(x1) - cos(1.0282122**x1)/log(x1))
25,0.17239931,7.250346221702764e-05,((cos(x1) * sin(x0)) / sin(cos(-0.9985193))) - (cos(1.028254 ^ x1) / log(x1)),1.94000408078006*sin(x0)*cos(x1) - cos(1.028254**x1)/log(x1),PySRFunction(X=>1.94000408078006*sin(x0)*cos(x1) - cos(1.028254**x1)/log(x1))
30,0.1723674,3.702213603062039e-05,((cos(x1) * sin(x0)) / cos(1.0282122)) - (cos(1.0282122 ^ x1) / log(x1 - 0.019289697)),1.93666823525238*sin(x0)*cos(x1) - cos(1.0282122**x1)/log(x1 - 0.019289697),PySRFunction(X=>1.93666823525238*sin(x0)*cos(x1) - cos(1.0282122**x1)/log(x1 - 0.019289697))
