Model,MSE_Train,NMSE_Train
Model_1,351.11083977621206,4.846593237639354
Model_2,105.18977069344785,1.4519974137985547
Model_3,45.35079862727022,0.6260042386858923
Model_4,0.7143861746512257,0.009861100287688275
Model_5,0.18503013531565393,0.002554081791242662
Model_6,4.967379252501401e-05,6.856771129398324e-07
Model_7,4.967379252503423e-05,6.856771129401115e-07
Model_8,1.1139470595759734e-05,1.5376478520202412e-07
Model_9,8.204903600179823e-06,1.1325719914959024e-07
Model_10,8.012150937967114e-06,1.1059651869377597e-07
Model_11,7.311945622026271e-06,1.0093116529323441e-07
Model_12,6.085080332227993e-06,8.399600880299144e-08
Model_13,4.981674031819562e-06,6.876503069551783e-08
Model_14,3.0712377219630916e-06,4.239413395478336e-08
