complexity,loss,score,equation,sympy_format,lambda_format
1,0.026950842,0.0,x0,x0,PySRFunction(X=>x0)
6,0.02177219,0.0426762145141356,x0 * sin(exp(cos(x0))),x0*sin(exp(cos(x0))),PySRFunction(X=>x0*sin(exp(cos(x0))))
7,0.015136101,0.36355078221870574,x0 + sin(cos(x0) / x0),x0 + sin(cos(x0)/x0),PySRFunction(X=>x0 + sin(cos(x0)/x0))
8,0.014016225,0.07686709797286216,x0 + (cos(x0) - sin(cos(x0))),x0 - sin(cos(x0)) + cos(x0),PySRFunction(X=>x0 - sin(cos(x0)) + cos(x0))
10,0.009342304,0.2028313421925918,sin(x0) + sin(sin(x0) / (x0 * x0)),sin(x0) + sin(sin(x0)/((x0*x0))),PySRFunction(X=>sin(x0) + sin(sin(x0)/((x0*x0))))
11,0.00393612,0.864357436232053,(x0 + cos(sin(x0))) + -0.8055863,x0 + cos(sin(x0)) - 0.8055863,PySRFunction(X=>x0 + cos(sin(x0)) - 0.8055863)
12,0.0004925458,2.078363294300037,x0 + (cos(x0 + x0) * 0.1781491),x0 + cos(x0 + x0)*0.1781491,PySRFunction(X=>x0 + cos(x0 + x0)*0.1781491)
13,0.0004925456,4.060536919538569e-07,(sin(0.17910784) * cos(x0 + x0)) + x0,x0 + sin(0.17910784)*cos(x0 + x0),PySRFunction(X=>x0 + sin(0.17910784)*cos(x0 + x0))
16,0.0001092293,0.5020459009398223,(0.17910784 * cos(x0 / 0.41507098)) + x0,x0 + 0.17910784*cos(x0/0.41507098),PySRFunction(X=>x0 + 0.17910784*cos(x0/0.41507098))
18,0.00010826643,0.004427104341325005,(cos(x0 / -0.4095333) * sin(sin(0.18388496))) + x0,x0 + sin(sin(0.18388496))*cos(x0/(-0.4095333)),PySRFunction(X=>x0 + sin(sin(0.18388496))*cos(x0/(-0.4095333)))
20,0.00010688552,0.006418389247577824,(((x0 - x0) - -0.18098757) * cos(x0 / 0.41298908)) + x0,x0 + (-x0 + x0 - 1*(-0.18098757))*cos(x0/0.41298908),PySRFunction(X=>x0 + (-x0 + x0 - 1*(-0.18098757))*cos(x0/0.41298908))
24,4.6917106e-05,0.20584400318316218,sin((x0 / 0.7883695) - -0.2018862) / cos(sin(x0 * 0.7493669)),sin(x0/0.7883695 - 1*(-0.2018862))/cos(sin(x0*0.7493669)),PySRFunction(X=>sin(x0/0.7883695 - 1*(-0.2018862))/cos(sin(x0*0.7493669)))
25,2.4805813e-06,2.9398894145567014,(sin(-1.2030843 - x0) * (cos(x0) * -0.382609)) + (x0 + -0.1622869),x0 + sin(-x0 - 1.2030843)*cos(x0)*(-0.382609) - 0.1622869,PySRFunction(X=>x0 + sin(-x0 - 1.2030843)*cos(x0)*(-0.382609) - 0.1622869)
