gamma1,lambda1,delta,epsilon,NRow,NCol,FValue,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals
-0.597541810525913,-0.6215163339667974,-0.9383888117306464,-0.7825426357098743,0.47445137494634665,-0.945810375934829,1.0055211424317099,1.115234918190586e-09,1.5035761703122942e-09,-2.280420390331024e-10,2.8468531275359824e-09,-1.5199542819735885e-10,2.770806516700239e-09,1.2460078660640217e-09,1.3728032224388584e-09,1.0658703018219098e-09,1.5529407866809703e-09,1.7105435730808782e-09,9.082675154220019e-10,2.105085462724538e-09,5.137256257783421e-10,2.81980210436819e-09,2.0099101586530973e-10,2.7705968996606688e-09,1.5178581115778868e-10,2.64036070835597e-09,2.154961985308999e-11,2.887221468548733e-09,2.6841038004585304e-10,2.9653708350592313e-09,3.4655974655635117e-10,2.026968915616562e-09,5.91842172886318e-10,3.4487482577813116e-09,8.299371692784315e-10,3.396814806974325e-09,7.780037184714447e-10,3.4925415811941295e-09,8.737304926912494e-10
-0.47960889392480016,-0.5132402557789225,-0.7771429615831764,-1.0758591212050717,-0.593555395035317,-0.8056695947391768,0.20090269068394762,-1.908528864636482e-09,2.249286852941277e-09,-2.280420390331024e-10,5.688000273378973e-10,-1.5199542819735885e-10,4.927534165021538e-10,1.007927912884117e-09,6.671699245793221e-10,8.741512312133942e-10,5.333932429085992e-10,1.3863803899767304e-09,1.0456224016719354e-09,5.717772318876432e-10,2.3101924358284832e-10,7.549417947869351e-10,4.141838064821402e-10,1.6915375932576436e-09,1.3507796049528486e-09,1.5613014019529447e-09,1.2205434136481497e-09,7.396536182038319e-10,3.98895629899037e-10,1.4033370055751908e-09,1.0625790172703958e-09,7.666996063159563e-10,4.259416180111614e-10,9.346419427154364e-10,5.938839544106414e-10,8.548643062126779e-10,5.141063179078829e-10,8.537063236336579e-10,5.129483353288629e-10
-0.5661629872016013,1.2156519759488136,-0.4338282449285714,0.9865203979518316,0.3279519151052824,-0.6929247979752919,0.5544338876405032,7.004624904102413e-10,6.412206413513587e-10,-2.280420390331024e-10,1.5697251707947023e-09,-1.5199542819735885e-10,1.4936785599589588e-09,1.1856503780706746e-09,1.5603275369092536e-10,7.199111344542602e-10,6.217719973073398e-10,1.3534825709328236e-09,1.179943917122364e-11,1.6070057534920886e-09,2.653226217304887e-10,2.129673482386414e-09,7.87990350624814e-10,2.1625562949422667e-09,8.208731631806667e-10,2.0323201036375684e-09,6.906369718759684e-10,2.2074692856289063e-09,8.657861538673063e-10,2.300248235696685e-09,9.58565103935085e-10,1.6645193457625706e-09,3.2283621400097064e-10,2.613763343762038e-09,1.272080212000438e-09,2.557477251918694e-09,1.215794120157094e-09,2.5839925477640885e-09,1.2423094160024885e-09
-0.5251310959986846,-0.4840016160991132,-0.38451675618233644,1.2202112906224962,-1.13217149800158,-0.6266290990298848,-0.1258062082705967,-3.4334703825865997e-09,2.8492430955611455e-09,-2.280420390331024e-10,3.5618524799235167e-10,-1.5199542819735885e-10,4.322318588280952e-10,1.1034559060139097e-09,1.6876831930393638e-09,6.292155519213597e-10,1.2134428389468137e-09,1.2186697110621645e-09,1.8028969980876185e-09,-2.0539219906285436e-10,3.788350879625997e-10,-1.9955430654892082e-10,3.8467298047653323e-10,1.759164570880359e-09,2.3433918579058133e-09,1.6289283795756606e-09,2.2131556666011146e-09,-3.012186784724996e-10,2.8300860855295443e-10,1.1587610928850277e-09,1.7429883799104817e-09,-1.877906413810141e-11,5.654482228873526e-10,2.4835546583254133e-10,8.325827528579953e-10,1.5397285255698238e-10,7.382001395824364e-10,1.6592042399682783e-11,6.008193294251369e-10
-0.42976631665112813,-1.1523180385219105,0.20185465015831086,-1.0056853104836578,-0.7443489513892788,-0.7060281155448312,0.13096523141872748,-2.33545883100236e-09,2.478208377476073e-09,-2.280420390331024e-10,3.7079158550681537e-10,-1.5199542819735885e-10,2.9474497467107183e-10,8.981452546197073e-10,7.553957081459944e-10,7.378370789572601e-10,5.950875324835471e-10,1.198615313637362e-09,1.0558657671636491e-09,2.2457497194686474e-10,8.182542547315176e-11,3.1465091273990324e-10,1.7190136626619026e-10,1.2275148305167278e-09,1.0847652840430148e-09,1.0972786392120295e-09,9.545290927383166e-10,3.00733586485111e-10,1.5798404001139804e-10,8.571510121358387e-10,7.144014656621258e-10,3.24815231661098e-10,1.8206568518738503e-10,3.2377550321969554e-10,1.8102595674598256e-10,2.411674266412275e-10,9.841788016751454e-11,3.491796103517394e-10,2.0643006387802644e-10
-0.5954591493116088,-0.6985667752945577,1.6055746099079733,1.5326029016313554,0.22245060161003996,2.2305602899363737,1.101548987609457,4.0176489807842896e-10,2.4889222951015614e-09,-2.280420390331024e-10,3.1187292322130925e-09,-1.5199542819735885e-10,3.042682621377349e-09,1.2420687469183116e-09,1.6486184462616786e-09,-3.279551685792019e-09,6.170238878972009e-09,-2.281872378843851e-09,5.1725595720238414e-09,-1.8614487224119647e-09,4.752135915591955e-09,-2.359448742492987e-09,5.250135935672977e-09,-1.725014633716152e-09,4.615701826896142e-09,-1.8552508250208508e-09,4.7459380182008405e-09,-2.044534051578782e-09,4.935221244758772e-09,-1.6300838149002068e-09,4.520771008080197e-09,5.712746380888749e-10,2.3194125550911155e-09,-1.4440176453079615e-09,4.334704838487952e-09,-1.502966868058518e-09,4.3936540612385085e-09,-1.487466835844636e-09,4.378154029024626e-09
-0.6011621553486546,-0.7318838267696521,0.6719861928378246,0.00521486526353173,1.3968188518253952,0.588130856287038,2.3981914747290465,3.726661595843887e-09,2.835107749647123e-09,-2.280420390331024e-10,6.789811384524113e-09,-1.5199542819735885e-10,6.713764773688369e-09,1.2528327616037574e-09,5.308936583887252e-09,-1.0326322532557683e-09,7.594401598746779e-09,-2.1167358529349513e-10,6.773442930784505e-09,1.4021266370980144e-09,5.159642708392995e-09,1.9056241119303502e-09,4.65614523356066e-09,6.376703447381154e-10,5.924099000752895e-09,5.074341534334163e-10,6.054335192057594e-09,2.2471655331022742e-09,4.314603812388736e-09,1.137453060717011e-09,5.424316284773999e-09,2.665341001751226e-09,3.896428343739784e-09,2.6252656624065137e-09,3.936503683084496e-09,2.5991048900706775e-09,3.962664455420333e-09,3.000842242805665e-09,3.560927102685345e-09
-0.43007323549015775,1.794171467512105,-1.179468977076916,1.1590666932749107,-1.2146663344741957,1.83584851206703,-1.6326589144004553,-3.6670315413800215e-09,1.183429600070019e-09,-2.280420390331024e-10,4.622419102416938e-09,-1.5199542819735885e-10,4.698465713252681e-09,8.98837664044891e-10,5.749298805494931e-09,-2.7395677170592026e-09,2.110893424390838e-09,-1.993818994510139e-09,2.8566421469399016e-09,-3.2579823694139003e-09,1.5924787720361402e-09,-3.861521086905545e-09,9.889400545444952e-10,-2.3544899355922386e-09,2.495971205857802e-09,-2.4847261268969377e-09,2.365735014553103e-09,-4.016327818682218e-09,8.341333227678226e-10,-3.0075366207339673e-09,1.8429245207160733e-09,-3.3569076751810515e-09,1.493553466268989e-09,-3.856391504899322e-09,9.940696365507186e-10,-3.950059398757362e-09,9.004017426926787e-10,-3.770238641572732e-09,1.0802224998773086e-09
-0.5299307950635697,-0.5822823862224253,0.6577530170938877,0.9317350149792198,-1.284432140082833,1.4676793699899369,-0.9374259155943226,-3.864553993679432e-09,9.82451500791452e-10,-2.280420390331024e-10,2.654060453854878e-09,-1.5199542819735885e-10,2.7301070646906215e-09,1.1132622761817735e-09,3.995364769069754e-09,-2.2358953017669664e-09,6.462071911210139e-10,-1.405936437395615e-09,1.4761660554923652e-09,-2.7974848922551415e-09,8.461760063283879e-11,-3.467734250259866e-09,5.856317573718856e-10,-1.1585232318880852e-09,1.723579260999895e-09,-1.2887594231927839e-09,1.5933430696951964e-09,-3.512000006565251e-09,6.298975136772706e-10,-1.8571646585035832e-09,1.024937834384397e-09,-3.5513744819750583e-09,6.692719890870781e-10,-2.9038867288823956e-09,2.178423599441528e-11,-3.002364729097084e-09,1.2026223620910384e-10,-3.1729505944184037e-09,2.908481015304234e-10
0.3548401586714575,1.9685658540498827,1.3752027932020514,-0.015419328072650002,-0.8064035501194904,3.218560686107253,-2.695654215503859,-2.511149148210276e-09,5.3488871973810346e-09,-2.280420390331024e-10,7.631994306558209e-09,-1.5199542819735885e-10,7.708040917393952e-09,-1.1659743813722946e-09,6.694061964219016e-09,-4.631181925745349e-09,3.2288544198459615e-09,-4.716546688052927e-09,3.143489657538384e-09,-5.292282325600017e-09,2.567754019991294e-09,-4.61474044610226e-09,3.245295899489051e-09,-6.880527896572129e-09,9.795084490191813e-10,-7.010764087876828e-09,8.492722577144831e-10,-6.03172791662208e-09,1.8283084289692305e-09,-7.285847382955559e-09,5.741889626357519e-10,-6.460886237320472e-09,1.3991501082708388e-09,-7.3734111896134194e-09,4.866251559778913e-10,-7.447175279136434e-09,4.1286106645487695e-10,-6.5734334236920645e-09,1.2866029218992462e-09
