Model,MSE_Train,NMSE_Train
Model_1,10924.30684686928,0.0797685351152735
Model_2,10924.306846869284,0.07976853511527353
Model_3,9447.689734438109,0.06898637880679014
Model_4,8070.110593457059,0.058927390934904504
Model_5,6127.072273950531,0.044739459142756344
Model_6,2618.139027289691,0.019117470596761676
Model_7,1303.886061211783,0.009520886086232097
Model_8,443.4315802733253,0.0032379068144164176
Model_9,69.29521997491574,0.0005059889167680948
Model_10,69.29521997491639,0.0005059889167680996
Model_11,29.32567436163989,0.0002141340515133865
Model_12,23.351676706278134,0.00017051233267757285
Model_13,5.599737406024209,4.0888896308946536e-05
Model_14,3.2247783741509357,2.354710926589845e-05
Model_15,2.0851644268695253,1.5225726825270233e-05
Model_16,0.6488835506644808,4.7381029316049155e-06
Model_17,0.003614353205784602,2.6391757816401464e-08
