0,1,2,3
29.46633986650917,49.23416558169431,55.405405291293995,57.262898416120564
23.88093053816556,41.07770220987498,46.438117500066355,48.056548441439624
16.035329808105978,26.86788759850087,30.092521303783283,31.070919378314297
14.297016316028213,13.40385538676027,10.776626176161884,9.810080685291737
0.5741197497027848,2.1494096153074267,2.3459373162725683,2.4225403405080286
0.5741197497027848,2.1494096153074267,2.3459373162725683,2.4225403405080286
0.4368969596114951,0.14114042257869386,0.8032929298133027,1.0107367148220092
0.871552982757759,0.5641668726741003,0.2775484153179022,0.547404800093787
0.6706823716723314,0.15929281885914293,0.11202376887889898,0.11602210128149437
0.029527224095051707,0.431555214313029,0.085955612135173,0.2534054820653111
0.08074486578641071,0.2088854151502133,0.03896165393368278,0.0962684921103758
0.1638175779587172,0.05247523634105278,0.10582696920960899,0.1287537391761049
0.07042847146254871,0.15214216514527124,0.008527959302526256,0.031200381678189615
0.03837017742493032,0.05047239772841294,0.001631080221940806,0.020476576450121797
0.009780053874763439,0.03270602537352829,0.0309808257904578,0.0068966765405988895
0.005427484403007554,0.023850414892031324,0.02094472186251295,0.0025240424204326928
0.012484834982032567,0.010135769138848616,0.0018339659040833567,0.003538379311557094
0.0028868903810241875,0.004175414554957513,0.006649376095055004,0.004199617506408515
