Complexity,Loss,MSE,NMSE,Absolute Error
1,0.2124987635965359,0.21918512429755838,0.08245703466674968,0.38791936932931437
6,0.0108225027997588,0.009835935306240029,0.003700260504109292,0.07475375194293216
8,0.0108225027997588,0.009835935304847387,0.003700260503585383,0.07475375192854758
10,0.0108225027997588,0.00983593530484972,0.0037002605035862607,0.07475375192857169
11,0.0058190825702367,0.009533434900275216,0.0035864604159815765,0.07640994958736362
12,0.0055759681693417,,,
13,0.0049379524651866,,,
14,0.0048359267167022,,,
15,0.0038794028802426,,,
17,0.0036038362694964,,,
19,0.0036021086695698,,,
20,0.003498207929866,,,
24,0.0034729060203356,,,
25,0.0034532471722734,,,
27,0.0017736596319077,,,
29,0.0017569463615487,,,
