gamma1,lambda1,delta,epsilon,NRow,NCol,FValue,W1
0.0139040417609664,0.0427748735405787,77.0381070617506,44.164475719355,0.00213531173879848,0.000844399856721262,-1.64586496560693e-09,2.64462920454465e-07
0.0260822957769003,0.0226502840055144,90.3040469407997,38.7161038195106,0.00477686051485511,0.00372583302015031,-1.00069918719109e-08,1.79108195951569e-11
0.000120207192254713,0.0993123529743951,31.8343047651703,98.7445960053953,0.00362123516760042,0.00238567175753855,4.90372957638096e-10,4.29234006702337e-07
0.0274851159064827,0.0167560442650863,21.6637278253786,74.6362814688755,0.00290445856181887,0.00326722270549743,-8.96307121038942e-09,1.83261561633329e-15
0.00394500668076417,0.0449211714232807,30.2561093915122,47.1865022712908,0.0027012895371039,0.00483287966526948,-1.22921419605896e-08,1.5274505239779e-10
9.80824305298974e-05,0.0402708356751815,41.501252710069,18.8767213518622,0.0035272059578204,0.00156513744113861,1.88420988187184e-08,7.70835548356381e-06
0.00034234552942674,0.0243918888013015,35.8376151831558,76.1103212649769,2.51444165056053e-05,0.00038219728906039,-5.77582769849133e-10,2.73260074835689e-06
0.00218582083831777,0.0138735358035436,93.4739206461485,67.3575661318134,0.00391257889418121,0.00395707573481826,-9.12536027760812e-09,2.75758229705001e-08
0.0372812538877102,0.0105958300944297,14.6182381135116,16.645768906246,0.00463429786692754,0.00182691989645129,-4.47385254366009e-09,1.99954466631969e-12
0.0392315629102647,0.0263701289661182,63.3400079685748,20.8457349761781,4.14782869631985e-05,0.00292549694612706,-7.63644810504232e-09,2.01661579427671e-10
0.00014852831335955,0.0152791885207248,24.6609010195959,98.3436588024744,0.00412314171333197,0.000916683530916811,2.53137591391416e-09,1.59188646347201e-07
0.0408082855661701,0.0531832982683411,85.4565192705727,54.7119479601234,0.0038366793401394,0.000384594711230029,-7.32882742930796e-10,1.03452445724413e-08
0.0371938254895312,0.0234618733731507,25.0804837190144,12.0172288996138,0.00498568447674343,0.000768313832653526,-1.41892787111055e-09,8.70563860797628e-11
0.00142921297581355,0.0694320658851086,55.1980553868525,14.844839407256,0.00113826536029109,0.00413437995085483,-5.15335728149148e-09,1.07078855353546e-06
0.0125837885191369,0.0542287621556151,99.9396531123147,22.6786417841657,0.00459771103097232,0.00150478371316654,-2.94520859009909e-09,7.950412653021e-08
0.000133238280784761,0.0372413891920327,41.9866436141093,90.4126880566167,0.0032099965276089,0.00191942245002827,3.14549868378493e-09,4.56884834239561e-07
0.000920987746825601,0.0150264038796006,14.2369938593951,51.9238065804443,0.000526600914879576,0.00325374473615454,-6.71367028791822e-09,4.54234033997998e-08
0.0279367949320078,0.0906533844349475,29.2294526608719,60.4771064320188,0.00134080456855841,0.00408685262019743,-1.12897671846239e-08,5.17970776783507e-13
0.0119012339647616,0.0184213746907197,45.8055211692435,54.5010712645059,0.00381921882269792,0.00383133109684986,-1.01610172978991e-08,4.19092523160387e-11
0.0377961255995136,0.0840583566483486,40.0301362342265,16.1006939637234,0.0040275507778777,0.00187087778791042,-4.55185255418614e-09,8.98067065690618e-08
0.0046365196190677,0.0167405763018523,30.6642278771378,90.7881888136322,0.000521264988009587,0.000949312389012351,-1.88401260352955e-09,2.02815039169169e-08
6.39889582812873e-05,0.0236354463159467,94.2508159751861,35.9708777993135,0.00234879388146422,0.00323250877609191,1.03397920226271e-08,5.55853035996646e-06
0.0176342876999046,0.0122320810364623,71.4869906229984,34.2142133278165,0.00109530945445587,1.80265225367227e-05,5.53809625306018e-10,2.80848110155872e-08
0.031692007323195,0.0436632992333438,96.5902416150577,63.4774757887327,0.00461353953271362,0.00141443952674806,-3.58207268996539e-09,1.14654801666558e-11
0.00543469866408526,0.0151571269377967,49.4175859869518,52.8291121650677,0.00160161316008074,0.00319300297375568,-7.87443056814989e-09,6.98157859840192e-11
0.00937973127179248,0.0110930534986623,94.6302988978816,43.1479934266063,0.00428771904390391,0.00296037289801823,-7.30698034599959e-09,2.2458268557631e-09
0.0084794446317389,0.0528656381703176,10.5250892115134,69.004998144685,0.00129923333827561,0.00162644602342877,-3.89951274114217e-09,1.84729780342016e-09
