gamma1,lambda1,delta,epsilon,NRow,NCol,W1
0.0139040417609664,0.0427748735405787,77.0381070617506,44.164475719355,0.0012511502854742,0.0004530466688357,1.0907531746236e-08
0.0260822957769003,0.0226502840055144,90.3040469407997,38.7161038195106,0.0010970541324792,0.0009626096638226,4.11076036183714e-07
0.0001202071922547,0.0993123529743951,31.8343047651703,98.7445960053953,0.001921965392746,0.0001071452858119,4.58824526145535e-06
0.0274851159064827,0.0167560442650863,21.6637278253786,74.6362814688755,0.0023973062272705,0.0008859488391848,6.4110972008133896e-12
0.0039450066807641,0.0449211714232807,30.2561093915122,47.1865022712908,0.000289776014928,0.0004448802267953,2.14610278529551e-06
9.80824305298974e-05,0.0402708356751815,41.501252710069,18.8767213518622,0.0018534733745071,0.0017994972290144,7.11475366341234e-06
0.0003423455294267,0.0243918888013015,35.8376151831558,76.1103212649769,0.0005903999302395,0.0053507093688985,1.03824246239881e-07
0.0021858208383177,0.0138735358035436,93.4739206461485,67.3575661318134,0.0010152331444988,0.0016429288100067,1.07797189007257e-08
0.0372812538877102,0.0105958300944297,14.6182381135116,16.645768906246,0.0004260166195766,0.0001421884916762,2.12101332082075e-07
0.0392315629102647,0.0263701289661182,63.3400079685748,20.8457349761781,0.0026091438799116,0.0003180807263209,5.66916694380295e-07
0.0001485283133595,0.0152791885207248,24.6609010195959,98.3436588024744,0.0007636099244721,0.0027897929444406,9.96061439817338e-07
0.0408082855661701,0.0531832982683411,85.4565192705727,54.7119479601234,0.0027308698630134,0.001096482887412,8.76476205524445e-10
0.0371938254895312,0.0234618733731507,25.0804837190144,12.0172288996138,0.0020221630332726,0.0010018426123788,1.67875865017906e-09
0.0014292129758135,0.0694320658851086,55.1980553868525,14.844839407256,0.001441936317271,0.0005697939491489,4.6630333905419e-06
0.0125837885191369,0.0542287621556151,99.9396531123147,22.6786417841657,0.002225335170174,0.0005724944626773,7.80056647488606e-07
0.0001332382807847,0.0372413891920327,41.9866436141093,90.4126880566167,0.0010593328396188,0.000726881652148,4.85369788148842e-06
0.0009209877468256,0.0150264038796006,14.2369938593951,51.9238065804443,0.0004079020812114,0.0008915789632694,1.10067306120728e-06
0.0279367949320078,0.0906533844349475,29.2294526608719,60.4771064320188,0.0012917955869793,0.0024191661534425,2.13112608329089e-11
0.0119012339647616,0.0184213746907197,45.8055211692435,54.5010712645059,0.0008152386636586,0.0006377179282084,1.15465463529034e-08
0.0377961255995136,0.0840583566483486,40.0301362342265,16.1006939637234,8.25368227954863e-05,0.0001508262996009,4.10663139955592e-06
0.0046365196190677,0.0167405763018523,30.6642278771378,90.7881888136322,0.0017833167093865,0.0002461491238382,5.61477161390528e-09
6.39889582812873e-05,0.0236354463159467,94.2508159751861,35.9708777993135,0.0013526598668865,0.0031076652977611,5.39042389183487e-06
0.0176342876999046,0.0122320810364623,71.4869906229984,34.2142133278165,0.0005082712241186,0.0015017098280049,7.93958513425076e-10
0.031692007323195,0.0436632992333438,96.5902416150577,63.4774757887327,0.0031990653760387,0.0003422446912905,1.84501287075211e-07
0.0054346986640852,0.0151571269377967,49.4175859869518,52.8291121650677,0.0011832395025275,0.0011228489556244,6.272252574493781e-09
0.0093797312717924,0.0110930534986623,94.6302988978816,43.1479934266063,0.0010590072092241,0.0018706186222386,1.46305689206736e-07
0.0084794446317389,0.0528656381703176,10.5250892115134,69.004998144685,0.0010284854383891,0.0007720442054007,1.54432035379041e-08
0.0007510192396727,0.0222555148528539,64.9276327062888,94.4380365223836,0.0001485137835557,0.0002682701041581,2.79750663858346e-06
0.0046281100238841,0.0457737849057031,82.0968181269508,65.8382667205595,0.0009940108694338,0.0007532231797296,5.3672198650195e-08
0.000163128584511,0.0242029665773579,30.9683380072283,35.4556082452893,0.001286880764829,0.0003556348442004,3.70507663932612e-06
0.0065630886186645,0.0423981105040977,93.9221808328881,28.4663126739688,0.0009241216546518,0.0008463654133874,1.96887197508449e-07
6.22972023095828e-05,0.0105111398559518,78.6936497800368,49.5220673434407,0.0004612115504404,0.0021628777452624,2.64066378467689e-06
0.0003386405487498,0.0813898013562256,84.3804585732413,12.4525197694735,0.0013541712585907,0.0003861839002922,1.13480105997679e-05
