gamma1,lambda1,delta,epsilon,NRow,NCol,FValue,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals,Model_17_Y_pred,Model_17_Residuals,Model_18_Y_pred,Model_18_Residuals,Model_19_Y_pred,Model_19_Residuals,Model_20_Y_pred,Model_20_Residuals,Model_21_Y_pred,Model_21_Residuals
-0.597541810525913,-0.6215163339667974,-0.9383888117306464,-0.7825426357098743,0.919480507773465,0.8394489935454146,0.15658475907462785,1.14506502180497e-10,9.03329497505841e-11,1.5109036823731514e-11,9.06451560618138e-12,1.5109036823731514e-11,9.06451560618138e-12,1.205452914569928e-11,1.2119023284213614e-11,1.2190314715512628e-11,1.1983237714400266e-11,1.1731772685372586e-11,1.2441779744540308e-11,1.1742935921498165e-11,1.2430616508414729e-11,1.167861358002415e-11,1.2494938849888744e-11,1.175902771122207e-11,1.2414524718690825e-11,8.189510337020932e-12,1.5984042092891962e-11,2.4666737706713816e-11,4.931852768009216e-13,2.6280501631682246e-11,2.106949201769352e-12,6.769238795189852e-12,1.740431363472304e-11,1.4518155235518884e-11,9.65539719439401e-12,5.07843038022292e-12,1.9095122049689973e-11,1.8910568525772322e-11,5.262983904140572e-12,7.142029311497991e-12,1.7031523118414903e-11,7.985364233636633e-12,1.618818819627626e-11,8.017489325167765e-12,1.615606310474513e-11,2.5549601595746367e-11,1.3760491658334727e-12,6.5843322048598845e-12,1.758922022505301e-11
-0.47960889392480016,-0.5132402557789225,-0.7771429615831764,-1.0758591212050717,1.0346603062478872,-1.498125237150338,1.7168317467968286,1.2814471023922312e-10,8.077454693579289e-11,3.0553470356189744e-10,9.661544638688144e-11,3.0553470356189744e-10,9.661544638688144e-11,1.7982477169448376e-10,2.9094485480532247e-11,2.1316487609832343e-10,4.2456189233074285e-12,2.075820876141222e-10,1.3371695608938085e-12,2.0148003719746148e-10,7.439219977554523e-12,2.0089802045641988e-10,8.021236718596127e-12,2.0479337017754446e-10,4.125886997471542e-12,2.1025573134081543e-10,1.3364741657994218e-12,2.260913050533168e-10,1.717204787830079e-11,2.2912181544021022e-10,2.0202558265194216e-11,2.091046628268199e-10,1.8540565180390363e-13,2.1549877051400986e-10,6.579513338993855e-12,2.1084283996207623e-10,1.923582787060225e-12,2.0681477596199883e-10,2.104481213017173e-12,2.137393647607051e-10,4.82010758568909e-12,1.964157212325978e-10,1.2503535942418207e-11,2.014383813001662e-10,7.480875874849794e-12,2.12811016173601e-10,3.891758998584991e-12,1.974848494901945e-10,1.1434407684821508e-11
-0.5661629872016013,1.2156519759488136,-0.4338282449285714,0.9865203979518316,-0.16852654450837842,1.6027052989160653,-1.2784120523188678,-1.432222251705708e-11,1.314193085712489e-10,-2.0409533041404759e-10,5.835379932574159e-11,-2.0409533041404759e-10,5.835379932574159e-11,-5.671689210282463e-11,8.902463898548137e-11,-1.394991074130305e-10,6.24242367527549e-12,-1.8988067809063556e-10,4.413914700232957e-11,-1.610655640783176e-10,1.5324032990011613e-11,-1.652216366502163e-10,1.94801055619103e-11,-1.650299500135057e-10,1.9288418925199702e-11,-1.3835788216093213e-10,7.383648927373863e-12,-1.3675064691522824e-10,8.990884173077752e-12,-1.366212847652394e-10,9.120246323066597e-12,-1.39686545662082e-10,6.0549854262239874e-12,-1.391716149670524e-10,6.569916121253601e-12,-1.3756295314768354e-10,8.178577940622453e-12,-1.5683786888588682e-10,1.1096337797580825e-11,-1.375506972534413e-10,8.19083383486469e-12,-1.5933469816312743e-10,1.3593167074821434e-11,-1.6320148769301797e-10,1.7459956604711974e-11,-1.579908011594335e-10,1.2249270071127518e-11,-1.6212293374000786e-10,1.6381402651701866e-11
-0.5251310959986846,-0.4840016160991132,-0.38451675618233644,1.2202112906224962,-0.558394049945512,1.1142507865229143,-1.1044790235594908,-6.048564895914212e-11,6.466082235371588e-11,-1.9242184139460094e-10,6.727537008174295e-11,-1.9242184139460094e-10,6.727537008174295e-11,-9.682521177133912e-11,2.8321259541518876e-11,-1.3142105301157345e-10,6.274581698715453e-12,-1.292625597886297e-10,4.116088475771694e-12,-1.2414805382653977e-10,9.984174863182298e-13,-1.24008821939981e-10,1.1376493728770084e-12,-1.267835486130069e-10,1.637077300148915e-12,-1.3015883588195537e-10,5.012364569097378e-12,-1.300795399710294e-10,4.933068658171396e-12,-1.312918160548263e-10,6.1453447419682916e-12,-1.3175867321973758e-10,6.612201906879582e-12,-1.3320074862054798e-10,8.054277307689986e-12,-1.300214087776917e-10,4.874937464833711e-12,-1.1770143008180933e-10,7.445041231048668e-12,-1.2969992428952044e-10,4.5534529766624394e-12,-1.2146374694994933e-10,3.682724362908668e-12,-1.2518724241831594e-10,4.077110545794757e-14,-1.2124468602573205e-10,3.9017852871259425e-12,-1.2452030790802904e-10,6.26163404828955e-13
-0.42976631665112813,-1.1523180385219105,0.20185465015831086,-1.0056853104836578,1.0940540515389068,-1.2857839213602476,1.2486895732316217,1.3517740404833575e-10,1.831008081320124e-11,2.874244896513719e-10,1.339370047898349e-10,2.874244896513719e-10,1.339370047898349e-10,1.8601202071860343e-10,3.2524535857066437e-11,2.0063260807223977e-10,4.7145123210702776e-11,1.3884150671731033e-10,1.4645978144226656e-11,1.7623863870760365e-10,2.2751153846066657e-11,1.659816308697221e-10,1.249414600818511e-11,1.5634205633719056e-10,2.854571475653568e-12,2.086451728428067e-10,5.515768798126971e-11,2.1290483072774662e-10,5.941734586620963e-11,2.1541952262272342e-10,6.193203776118643e-11,2.1389609065361298e-10,6.040860579207599e-11,2.1302188669084056e-10,5.953440182930357e-11,2.074441092279669e-10,5.39566243664299e-11,1.7279446051004253e-10,1.9306975648505543e-11,2.041126837941856e-10,5.0625198932648613e-11,1.7889812534456784e-10,2.5410640483030853e-11,1.6207791724778152e-10,8.590432386244526e-12,1.7847598861434885e-10,2.4988503752811858e-11,1.8201185117186524e-10,2.8524366310328254e-11
-0.5954591493116088,-0.6985667752945577,1.6055746099079733,1.5326029016313554,0.5428589224560092,-1.0546958994323583,1.1656704280924353,6.991149847325073e-11,7.374585654553227e-11,1.947959166235226e-10,5.1138561604739603e-11,1.947959166235226e-10,5.1138561604739603e-11,1.4046091186053658e-10,3.1964431582464182e-12,1.3653363553696805e-10,7.123719481814953e-12,1.2315824480432257e-10,2.0499110214460426e-11,1.265015936239025e-10,1.7155761394880513e-11,1.245176327821873e-10,1.913972223659571e-11,1.2537549049767219e-10,1.8281864521110813e-11,1.6286971168036016e-10,1.921235666157716e-11,1.4612437925995928e-10,2.4670242411762755e-12,1.502891006264116e-10,6.631745607628602e-12,1.6154842563012868e-10,1.789107061134568e-11,1.6473535750968152e-10,2.107800249089852e-11,1.4575445932207816e-10,2.0971043032951613e-12,1.3205713769071083e-10,1.1600217328072167e-11,1.6527783976135743e-10,2.1620484742574428e-11,1.4861814781932648e-10,4.960792800543477e-12,1.490330304150985e-10,5.375675396315495e-12,1.3596314416897642e-10,7.694210849806576e-12,1.4898338064185509e-10,5.326025623072086e-12
-0.6011621553486546,-0.7318838267696521,0.6719861928378246,0.00521486526353173,0.5464086424604424,0.38094949736288936,0.30333894454542637,7.033181367272064e-11,2.8781393585029245e-11,2.5224350613076778e-11,1.632606947461462e-11,2.5224350613076778e-11,1.632606947461462e-11,2.3727472489292063e-11,1.7822947598399336e-11,1.9190111857739546e-11,2.2360308229951852e-11,1.7610123183799914e-11,2.3940296903891484e-11,1.810198235556802e-11,2.3448437732123378e-11,1.786389615563231e-11,2.368652393205909e-11,1.7915221356361456e-11,2.3635198731329943e-11,3.424408813528409e-11,7.306331952407311e-12,2.790918060476855e-11,1.3641239482922849e-11,3.07724825282398e-11,1.0777937559451599e-11,3.332299363223308e-11,8.227426455458319e-12,3.704360059049569e-11,4.506819497195711e-12,3.593548961909128e-11,5.614930468600121e-12,2.516893684127752e-11,1.638148324641388e-11,3.48868689968923e-11,6.6635510907991e-12,3.1525698611975616e-11,1.0024721475715783e-11,3.146793007033339e-11,1.0082490017358006e-11,2.913813881876242e-11,1.2412281268928977e-11,3.1317553547216666e-11,1.0232866540474733e-11
-0.43007323549015775,1.794171467512105,-1.179468977076916,1.1590666932749107,-1.401640475557379,1.6317100856406044,-2.411933172342064,-1.6033276060195018e-10,1.1962672431677184e-10,-3.535402669028942e-10,7.358078198417218e-11,-3.535402669028942e-10,7.358078198417218e-11,-9.75512563321134e-11,1.8240822858660863e-10,-2.4291500346331236e-10,3.704448145540967e-11,-3.3968008229644436e-10,5.972059737772234e-11,-2.9840738561975364e-10,1.8447900701031615e-11,-3.004017608745326e-10,2.0442275955810595e-11,-2.942368347463904e-10,1.4277349827668354e-11,-2.5247129966201856e-10,2.7488185256703463e-11,-2.4412060624428947e-10,3.583887867443255e-11,-2.499023424804235e-10,3.0057142438298516e-11,-2.4563824519750217e-10,3.432123972121985e-11,-2.581251863573423e-10,2.1834298561379723e-11,-2.5183532014505756e-10,2.812416477366446e-11,-2.9227960286167747e-10,1.2320117942955447e-11,-2.5732384394251753e-10,2.2635640976204492e-11,-3.0848490194744725e-10,2.852541702872523e-11,-3.048603945041067e-10,2.490090958538467e-11,-2.9956365511692637e-10,1.9604170198204345e-11,-2.965914724415059e-10,1.66319875227839e-11
-0.5299307950635697,-0.5822823862224253,0.6577530170938877,0.9317350149792198,-1.5844299826135317,-0.22534158372165586,-0.9538771409552694,-1.8197649814276032e-10,7.466249255911032e-11,-1.552942548693336e-10,4.798024928568361e-11,-1.552942548693336e-10,4.798024928568361e-11,-1.5158623314514885e-10,4.427222756149885e-11,-1.0572876313608842e-10,1.5852424475615778e-12,-9.971281724522108e-11,7.60118833842892e-12,-9.861097265700687e-11,8.703032926643135e-12,-9.780899009658861e-11,9.505015487061392e-12,-9.945902514646521e-11,7.85498043718479e-12,-9.20437445615454e-11,1.5270261022104597e-11,-1.0576142095807406e-10,1.5525846255759428e-12,-1.116872339132524e-10,4.3732283296024024e-12,-1.048646235494874e-10,2.449382034162605e-12,-1.0191514347289834e-10,5.398862110751656e-12,-1.059433261221231e-10,1.370679461526898e-12,-9.155335078492488e-11,1.5760654798725117e-11,-9.997005447237243e-11,7.343951111277567e-12,-8.461433822387192e-11,2.2699667359778076e-11,-8.628948333774931e-11,2.1024522245900693e-11,-1.0169914889569218e-10,5.614856687957823e-12,-9.739194206517285e-11,9.922063518477155e-12
0.3548401586714575,1.9685658540498827,1.3752027932020514,-0.015419328072650002,-1.6003128090679957,0.28035103089256264,-1.5270922539592497,-1.8385715164811197e-10,8.669898523656962e-12,-2.170529528166667e-10,4.186569969221168e-11,-2.170529528166667e-10,4.186569969221168e-11,-2.0782244463204465e-10,3.263519150758964e-11,-1.4846578211564291e-10,2.67214710088121e-11,-2.098122889494886e-10,3.4625035825033585e-11,-1.8643076069921884e-10,1.1243507574763831e-11,-1.8630114215481238e-10,1.1113889030357364e-11,-1.8140040864310466e-10,6.2131555186496524e-12,-1.3687757245085197e-10,3.8309680673603046e-11,-1.5035097358809857e-10,2.483627953635644e-11,-1.4890141418367517e-10,2.6285838940779842e-11,-1.4810749822193844e-10,2.7079754902516577e-11,-1.3085862844429125e-10,4.432862468016376e-11,-1.45486456031536e-10,2.970079709291901e-11,-1.887498463542532e-10,1.3562593229798187e-11,-1.4643338472325118e-10,2.8753868401203833e-11,-1.7088841805256096e-10,4.298835071894048e-12,-1.6684880229777684e-10,8.338450826678169e-12,-1.8188814752199277e-10,6.700894397537754e-12,-1.8191632256010355e-10,6.729069435648536e-12
