Model,MSE_Train,NMSE_Train,RMSE_Train,MSE_Test,NMSE_Test,RMSE_Test,MSE_Validation,NMSE_Validation,RMSE_Validation
Model_1,8.220935357531588e-21,0.5863531178641598,9.066937386753913e-11,8.799821775172852e-21,0.5888763520671445,9.380736525013829e-11,7.786274810633158e-21,0.5327752031164329,8.823987086704716e-11
Model_2,3.402752885950153e-21,0.242699240077375,5.833311997442064e-11,4.324271515737843e-21,0.2893764556368579,6.575919339330314e-11,4.22600526188639e-21,0.28916405682187185,6.500773232382737e-11
Model_3,3.402752885950153e-21,0.242699240077375,5.833311997442064e-11,4.324271515737843e-21,0.2893764556368579,6.575919339330314e-11,4.22600526188639e-21,0.28916405682187185,6.500773232382737e-11
Model_4,2.159073859497086e-21,0.15399460452578514,4.646583540083064e-11,2.5979663707797807e-21,0.17385363002853144,5.097024985989161e-11,2.129870924496789e-21,0.14573623998743596,4.615052463945333e-11
Model_5,8.474588857850248e-22,0.060444479652366226,2.91111471052761e-11,1.056322774288314e-21,0.07068819321810975,3.2501119585151434e-11,8.478813605464157e-22,0.05801621122681909,2.911840243808742e-11
Model_6,7.705226031898077e-22,0.05495704699237644,2.775828890961775e-11,1.1368132212170913e-21,0.07607454330276715,3.3716660884747936e-11,9.06259819276578e-22,0.06201075238597673,3.010414953584602e-11
Model_7,6.469590659201981e-22,0.04614395429897832,2.543539002885936e-11,8.639728124929582e-22,0.057816302546201355,2.9393414440873626e-11,6.644219522842072e-22,0.04546301655058719,2.5776383615321356e-11
Model_8,6.177867419528957e-22,0.044063256377190115,2.485531617084956e-11,8.4187013677545515e-22,0.056337210880485135,2.9014998479673492e-11,6.417193614799828e-22,0.043909593672361504,2.5332180353849978e-11
Model_9,5.963612134974854e-22,0.042535093842715546,2.442050805158413e-11,8.292107692251812e-22,0.05549005711158553,2.8796020024044664e-11,6.242159524996804e-22,0.042711924375873844,2.4984314129062667e-11
Model_10,5.6656334549008e-22,0.04040977938006868,2.3802591150756676e-11,7.838753332309064e-22,0.05245624951300406,2.799777371918893e-11,5.979786155670058e-22,0.040916636789254064,2.445360128011835e-11
Model_11,5.404740324116412e-22,0.03854897529863749,2.324809739337052e-11,5.671900360496843e-22,0.03795585954934974,2.3815751847247744e-11,5.479219404730668e-22,0.037491512979844356,2.3407732493196917e-11
Model_12,5.20669226413907e-22,0.03713640978870102,2.2818177543658192e-11,6.201087574524537e-22,0.041497133953751895,2.4901983002412754e-11,5.523941795748346e-22,0.03779752556657912,2.3503067450331552e-11
Model_13,4.609208791753184e-22,0.03287489596248162,2.146906796242721e-11,6.561627801236897e-22,0.04390983751644042,2.561567450065857e-11,4.849365135184565e-22,0.033181740404993644,2.2021274112059376e-11
Model_14,4.564614141920292e-22,0.03255682738716286,2.136495762205086e-11,5.861049017665719e-22,0.039221625766868606,2.4209603502878188e-11,4.850971271330496e-22,0.033192730378147586,2.2024920593115643e-11
Model_15,4.27266895144051e-22,0.030474546415005146,2.0670435291595846e-11,5.957552127435738e-22,0.03986741611008709,2.440809727823072e-11,4.613310509519728e-22,0.03156653860190021,2.1478618460040042e-11
Model_16,4.0844442133398016e-22,0.02913204513936376,2.0210007949874243e-11,5.607707486709581e-22,0.03752628647036761,2.3680598570791198e-11,4.323658611618878e-22,0.02958459791151457,2.079340907984758e-11
Model_17,4.089866423498849e-22,0.02917071871717701,2.022341816681554e-11,6.154046832195059e-22,0.041182341433525324,2.480735139468754e-11,4.629459947156204e-22,0.031677040993945756,2.151617983554749e-11
Model_18,3.6888879046377204e-22,0.02631076428978481,1.9206477825561147e-11,6.06390625858727e-22,0.04057912862404371,2.462500001743608e-11,4.059899018788985e-22,0.02777982510216099,2.0149191097383997e-11
Model_19,3.3080033606609447e-22,0.02359412889254324,1.818791730974425e-11,5.908519815038611e-22,0.039539296177711875,2.4307447037972974e-11,3.769648534223759e-22,0.02579378858752754,1.9415582747431918e-11
Model_20,3.1512931014809385e-22,0.022476402684085527,1.7751881876243257e-11,3.700475285337687e-22,0.02476325592289031,1.9236619467405613e-11,3.1329150114744073e-22,0.021436944780132534,1.770004240524414e-11
Model_21,2.7790577475777188e-22,0.019821457098843063,1.6670506133821248e-11,4.57624304145617e-22,0.030623816905342154,2.1392155201045476e-11,2.6023572179030607e-22,0.017806607512188162,1.6131823263050772e-11
