Model,MSE_Train,NMSE_Train
Model_1,0.24080899985410503,0.0036716099027532703
Model_2,0.24058799886293292,0.0036682403051543537
Model_3,0.2396562469613424,0.0036540339029398953
Model_4,0.1791299634371921,0.0027311908941704535
Model_5,0.17831064603201413,0.0027186987784265566
Model_6,0.043149463660572984,0.000657898991194832
Model_7,0.025882404161007885,0.00039462848764868966
Model_8,0.025403569496242877,0.0003873277052942183
Model_9,0.021785057884381148,0.00033215633264872563
Model_10,0.01913471796147327,0.00029174665397182207
Model_11,0.007357636326262791,0.00011218173080213116
Model_12,0.0039535274281529125,6.0279351954484074e-05
Model_13,0.0021318661424879776,3.2504519535588445e-05
