Complexity,Loss,MSE,NMSE,Absolute Error
1,0.2056885748938236,0.19340924297532738,0.0728537255879802,0.33552386216559765
6,0.0014410657822641,0.0014622419079535843,0.0005507997915016126,0.03325428652501432
8,0.0014410657822641,0.0014622419102821801,0.000550799792378752,0.03325428658845398
10,0.0014410657822641,0.0014622419100728617,0.0005507997922999055,0.033254286582751404
11,0.0008004806225559,0.0007629228773378808,0.0002873790988234034,0.02544085370735528
12,4.551289855399261e-05,4.293489310905041e-05,1.6172789224530733e-05,0.005315466288732366
15,1.7446192340713725e-05,2.1274906360391457e-05,8.013868241486561e-06,0.0036037054925214334
20,1.024552169320727e-05,1.2973063591321122e-05,4.886715858962821e-06,0.002843390689281223
22,1.022758373843246e-05,1.2903432788636255e-05,4.860487208701669e-06,0.002831746810942872
24,1.0116639059773893e-05,1.4159055301826186e-05,5.333457251967382e-06,0.003271623403883611
25,9.227832539698371e-06,1.1711738977919554e-05,4.411597938803e-06,0.0028839474355492546
27,9.177721287339813e-06,1.2614052328279e-05,4.751482880236973e-06,0.0029924475975289726
29,9.018987923843928e-06,1.2104054798260655e-05,4.559376135332108e-06,0.0029504518459741317
