gamma1,lambda1,delta,epsilon,NRow,NCol,W1,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals,Model_17_Y_pred,Model_17_Residuals,Model_18_Y_pred,Model_18_Residuals,Model_19_Y_pred,Model_19_Residuals,Model_20_Y_pred,Model_20_Residuals,Model_21_Y_pred,Model_21_Residuals
-0.597541810525913,-0.6215163339667974,-0.9383888117306464,-0.7825426357098743,0.9194805077741278,0.8394489935449932,-0.2745746047456278,-2.0137932120662389e-07,7.486718126247809e-07,1.1398019814040008e-06,5.925094899858438e-07,1.0631527330010226e-06,5.158602415828656e-07,2.263302495263585e-06,1.716010003845428e-06,1.2533025121885118e-06,7.060100207703548e-07,1.139807765078078e-06,5.92515273659921e-07,1.2403074303630661e-06,6.930149389449091e-07,1.2803463164047868e-06,7.330538249866298e-07,1.6089567495810789e-06,1.0616642581629218e-06,1.2525094988093696e-06,7.052170073912127e-07,2.65037448986795e-06,2.103081998449793e-06,2.9244437774411544e-06,2.3771512860229973e-06,1.4913625917070152e-06,9.440701002888582e-07,1.4402539729739465e-06,8.929614815557896e-07,2.5455136656432312e-06,1.998221174225074e-06,2.0599452358836915e-06,1.5126527444655344e-06,2.497384362452163e-06,1.950091871034006e-06,1.9808576410987208e-06,1.4335651496805637e-06,1.297492577499758e-06,7.502000860816011e-07,1.7524047904549335e-06,1.2051122990367764e-06,2.358461803387428e-06,1.811169311969271e-06
-0.47960889392480016,-0.5132402557789225,-0.7771429615831764,-1.0758591212050717,1.0346603062483777,-1.498125237150086,-0.5083314547695889,3.227158006372263e-08,1.0592790200596937e-08,1.1398019814040008e-06,1.0969376111396812e-06,1.0631527330010226e-06,1.020288362736703e-06,2.081841237532515e-06,2.0389768672681955e-06,1.205957348237249e-06,1.1630929779729293e-06,1.1398020563811025e-06,1.096937686116783e-06,1.200060671519265e-06,1.1571963012549454e-06,1.2171227477698346e-06,1.174258377505515e-06,1.46602522144358e-06,1.4231608511792605e-06,1.2044659836431854e-06,1.1616016133788658e-06,1.1399226883837307e-06,1.0970583181194111e-06,2.179149605168449e-07,1.7505059025252534e-07,1.1928879880981388e-06,1.1500236178338192e-06,1.168326562334824e-06,1.1254621920705044e-06,4.6628858947675344e-07,4.2342421921243387e-07,1.2874018964778827e-06,1.2445375262135631e-06,1.3216326171815656e-06,1.278768246917246e-06,1.2462344250348531e-06,1.2033700547705336e-06,3.4155680228521456e-07,2.98692432020895e-07,2.3769499397312641e-07,1.9483062370880685e-07,3.9947874878091614e-07,3.5661437851659657e-07
-0.5661629872016013,1.2156519759488136,-0.4338282449285714,0.9865203979518316,-0.1685265445086943,1.6027052989154005,-0.5140404394545903,3.7630792977348525e-06,3.7325344484516556e-06,1.1398019814040008e-06,1.1092571321208039e-06,1.0631527330010226e-06,1.0326078837178257e-06,2.2172988501079414e-06,2.1867540008247445e-06,1.6292211876861669e-06,1.59867633840297e-06,1.371294384564892e-06,1.3407495352816951e-06,1.687087203945982e-06,1.6565423546627851e-06,2.4725625545287643e-06,2.4420177052455674e-06,2.233813944445642e-06,2.203269095162445e-06,1.937118470890894e-06,1.906573621607697e-06,1.2625260065713926e-06,1.2319811572881957e-06,1.473045093405047e-06,1.4425002441218501e-06,1.5926774425587736e-06,1.5621325932755767e-06,1.706420732326873e-06,1.6758758830436762e-06,1.1028610748398235e-06,1.0723162255566266e-06,1.5768241354347e-06,1.546279286151503e-06,1.3847711605666507e-06,1.3542263112834538e-06,1.4810631771082773e-06,1.4505183278250804e-06,1.1354758229235975e-06,1.1049309736404005e-06,1.2634483236075226e-06,1.2329034743243257e-06,7.640684191565994e-07,7.335235698734025e-07
-0.5251310959986846,-0.4840016160991132,-0.38451675618233644,1.2202112906224962,-0.5583940499456583,1.1142507865228861,-0.5259804642185428,9.536616778283521e-08,9.058691320881362e-08,1.1398019814040008e-06,1.1350227268299792e-06,1.0631527330010226e-06,1.058373478427001e-06,2.1546513567816497e-06,2.1498721022076283e-06,1.6260605637792646e-06,1.621281309205243e-06,1.6316141361102416e-06,1.62683488153622e-06,1.9060909216558418e-06,1.9013116670818202e-06,2.819163636590611e-06,2.814384382016589e-06,2.4202482332418814e-06,2.41546897866786e-06,2.235493756016832e-06,2.2307145014428107e-06,1.1444081059475633e-06,1.1396288513735418e-06,6.635262832922767e-07,6.587470287182551e-07,1.5241357740059346e-06,1.519356519431913e-06,1.544283028439749e-06,1.5395037738657275e-06,6.562828954523038e-07,6.515036408782822e-07,1.5078365883718178e-06,1.5030573337977962e-06,1.310724201291947e-06,1.3059449467179255e-06,1.4125286777954626e-06,1.407749423221441e-06,8.404853000834208e-07,8.357060455093992e-07,8.440344246066433e-07,8.392551700326217e-07,4.575632029224863e-07,4.5278394834846473e-07
-0.42976631665112813,-1.1523180385219105,0.20185465015831086,-1.0056853104836578,1.0940540515395094,-1.2857839213601099,-0.5248158930562374,-1.3468058894827809e-06,1.3540981931644178e-06,1.1398019814040008e-06,1.132509677722364e-06,1.0631527330010226e-06,1.0558604293193857e-06,1.998166409057282e-06,1.990874105375645e-06,1.1893444449323294e-06,1.1820521412506925e-06,1.1398019847536752e-06,1.1325096810720383e-06,1.185523792383287e-06,1.1782314887016502e-06,1.1963603225188172e-06,1.1890680188371803e-06,1.4130015307653804e-06,1.4057092270837435e-06,1.188080108409366e-06,1.1807878047277292e-06,1.139804220248248e-06,1.132511916566611e-06,-6.00525853982909e-08,6.73448890799278e-08,1.1768292740240636e-06,1.1695369703424267e-06,1.15735295478335e-06,1.150060651101713e-06,3.6254666968621497e-07,3.5525436600457807e-07,1.2159628604475e-06,1.2086705567658631e-06,1.264530096714829e-06,1.257237793033192e-06,1.1936501127383465e-06,1.1863578090567096e-06,2.881729952440968e-07,2.808806915624599e-07,1.4393726363026449e-07,1.366449599486276e-07,2.799992964263542e-07,2.727069927447173e-07
-0.5954591493116088,-0.6985667752945577,1.6055746099079733,1.5326029016313554,0.5428589224560638,-1.0546958994323365,-0.523505792127459,-3.676478577181835e-07,3.7776725181431684e-07,1.1398019814040008e-06,1.1296825873078675e-06,1.0631527330010226e-06,1.0530333389048893e-06,2.2603001529622454e-06,2.2501807588661123e-06,1.3944088290392514e-06,1.384289434943118e-06,1.1456376060011347e-06,1.1355182119050014e-06,1.3571146627317904e-06,1.3469952686356571e-06,1.5323588859454512e-06,1.5222394918493178e-06,1.794234259215511e-06,1.7841148651193777e-06,1.4101447562581166e-06,1.4000253621619832e-06,2.4185427593732192e-06,2.408423365277086e-06,2.777663449069438e-06,2.7675440549733045e-06,1.6113306584204138e-06,1.6012112643242804e-06,1.729527382522057e-06,1.7194079884259237e-06,2.335457672604977e-06,2.3253382785088438e-06,9.628705099455217e-07,9.527511158493884e-07,9.216043420147764e-07,9.11484947918643e-07,9.81785419474695e-07,9.716660253785617e-07,1.4871774697732954e-06,1.477058075677162e-06,1.909412104742001e-06,1.8992927106458677e-06,1.0592048987401865e-06,1.0490855046440531e-06
-0.6011621553486546,-0.7318838267696521,0.6719861928378246,0.00521486526353173,0.546408642461824,0.3809494973622852,-0.2604106639467019,-4.3954332378150893e-07,1.0174004384165e-06,1.1398019814040008e-06,5.619448667690098e-07,1.0631527330010226e-06,4.852956183660315e-07,2.268504336544139e-06,1.690647221909148e-06,1.3952900433478533e-06,8.174329287128623e-07,1.1454113591397017e-06,5.675542445047106e-07,1.3577385641602252e-06,7.798814495252342e-07,1.5334143014920022e-06,9.555571868570111e-07,1.800361913832469e-06,1.222504799197478e-06,1.4112321228288721e-06,8.333750081938811e-07,3.157820925539903e-06,2.579963810904912e-06,3.2085607842772433e-06,2.6307036696422523e-06,1.7407696517966475e-06,1.1629125371616564e-06,1.9674908695246213e-06,1.3896337548896303e-06,3.0212045036610117e-06,2.4433473890260207e-06,1.860837276551796e-06,1.282980161916805e-06,2.3278932077433076e-06,1.7500360931083166e-06,1.834965650078014e-06,1.257108535443023e-06,1.8280340843549312e-06,1.2501769697199402e-06,2.368965837909191e-06,1.7911087232741999e-06,2.4157257646295177e-06,1.8378686499945267e-06
-0.43007323549015775,1.794171467512105,-1.179468977076916,1.1590666932749107,-1.4016404755571705,1.6317100856415183,-0.520174365467106,5.011476938917267e-06,4.9941685991672565e-06,1.1398019814040008e-06,1.122493641653991e-06,1.0631527330010226e-06,1.0458443932510127e-06,1.998694153974401e-06,1.9813858142243915e-06,1.4859924582451567e-06,1.4686841184951469e-06,2.2370506309490585e-06,2.219742291199049e-06,2.511989708106552e-06,2.4946813683565418e-06,2.67918394888067e-06,2.6618756091306597e-06,2.5585989367792702e-06,2.54129059702926e-06,2.5149273488700137e-06,2.4976190091200037e-06,1.139804275900155e-06,1.1224959361501452e-06,-5.8724017087553295e-08,7.603235683756317e-08,1.589668542982334e-06,1.5723602032323241e-06,1.4121093233219255e-06,1.3948009835719156e-06,3.6301887488284616e-07,3.457105351328363e-07,1.4829681060652046e-06,1.4656597663151947e-06,1.296845354945472e-06,1.279537015195462e-06,1.3824567725143286e-06,1.3651484327643187e-06,6.184243065003014e-07,6.011159667502916e-07,5.804788447428875e-07,5.631705049928776e-07,3.170887520313477e-07,2.997804122813378e-07
-0.5299307950635697,-0.5822823862224253,0.6577530170938877,0.9317350149792198,-1.5844299826132315,-0.22534158372193697,-0.0019583940750975237,-1.1671567800595273e-07,1.2522916055267027e-06,1.1398019814040008e-06,4.226053883250866e-09,1.0631527330010226e-06,7.242319451972735e-08,2.162125636915989e-06,1.026549709395239e-06,1.5464638675286195e-06,4.108879400078696e-07,2.6038097100926165e-06,1.4682337825718666e-06,4.087345493242956e-06,2.9517695657222056e-06,3.461211575506295e-06,2.3256356479855453e-06,3.368357368037055e-06,2.232781440516305e-06,3.507141359610084e-06,2.3715654320893343e-06,1.146564279353459e-06,1.0988351832709165e-08,7.299742124526149e-07,4.0560171506813507e-07,2.2682308681035492e-06,1.1326549405827993e-06,1.756607795986628e-06,6.210318684658781e-07,6.875073311476707e-07,4.4806859637307927e-07,1.9230472181358857e-06,7.874712906151358e-07,1.6099522328568723e-06,4.7437630533612235e-07,1.7225357218108986e-06,5.869597942901487e-07,1.4306221140080649e-06,2.9504618648731496e-07,1.402738593926336e-06,2.671626664055861e-07,7.826226014801267e-07,3.529533260406232e-07
0.3548401586714575,1.9685658540498827,1.3752027932020514,-0.015419328072650002,-1.6003128090677423,0.2803510308920044,-0.5209355832680613,5.387805729846859e-06,5.3721400357138026e-06,1.1398019814040008e-06,1.1241362872709444e-06,1.0631527330010226e-06,1.0474870388679662e-06,4.249228820330916e-07,4.0925718790003525e-07,8.686519600206461e-07,8.529862658875897e-07,1.4995485511862603e-06,1.483882857053204e-06,7.123857079858537e-07,6.967200138527973e-07,5.83585452942788e-07,5.679197588097316e-07,5.907731523231458e-07,5.751074581900894e-07,6.951855537586603e-07,6.79519859625604e-07,1.1398019814040008e-06,1.1241362872709444e-06,-8.070937266380544e-07,8.227594207711108e-07,1.2474360733064864e-06,1.23177037917343e-06,1.1940800012826436e-06,1.1784143071495872e-06,1.2736045529513006e-07,1.116947611620737e-07,1.226738417635259e-06,1.2110727235022026e-06,1.1524118336602143e-06,1.136746139527158e-06,1.1898568259244528e-06,1.1741911317913965e-06,1.4770015586030395e-07,1.320344617272476e-07,4.139362069664911e-08,2.5727926563592747e-08,9.949806084827196e-08,8.38323667152156e-08
