complexity,loss,score,equation,sympy_format,lambda_format
1,2726.4956,0.0,x1,x1,PySRFunction(X=>x1)
2,1875.7517,0.37400763584466773,exp(x2),exp(x2),PySRFunction(X=>exp(x2))
4,674.0971,0.5116952994558863,exp(x2) * x2,x2*exp(x2),PySRFunction(X=>x2*exp(x2))
5,271.2227,0.9104339111894851,(x4 + x4) ^ x1,(x4 + x4)**x1,PySRFunction(X=>(x4 + x4)**x1)
6,24.601551,2.4001307648970007,(exp(x4) * x3) * x1,x1*x3*exp(x4),PySRFunction(X=>x1*x3*exp(x4))
8,21.657936,0.06371877177882884,((exp(x4) * x3) * x1) + x1,x1*x3*exp(x4) + x1,PySRFunction(X=>x1*x3*exp(x4) + x1)
9,6.7613688,1.1641465914090459,(exp(x4) * (x1 + x1)) + exp(x4),(x1 + x1)*exp(x4) + exp(x4),PySRFunction(X=>(x1 + x1)*exp(x4) + exp(x4))
11,2.4948168,0.4985050275553597,((x4 + x3) * exp(x4)) - (x1 - exp(x1)),-(x1 - exp(x1)) + (x3 + x4)*exp(x4),PySRFunction(X=>-(x1 - exp(x1)) + (x3 + x4)*exp(x4))
12,0.09520805,3.265906081590075,cos(x4) + (((x3 * x0) * x2) * (x1 * x4)),x0*x1*x2*x3*x4 + cos(x4),PySRFunction(X=>x0*x1*x2*x3*x4 + cos(x4))
13,0.06440766,0.390831926909555,sin(cos(x4)) + (((x3 * x0) * x2) * (x1 * x4)),x0*x1*x2*x3*x4 + sin(cos(x4)),PySRFunction(X=>x0*x1*x2*x3*x4 + sin(cos(x4)))
14,0.012734244,1.6209378274246846,((x1 * x4) * ((x0 * x3) * x2)) + sin(x2 + x4),x0*x1*x2*x3*x4 + sin(x2 + x4),PySRFunction(X=>x0*x1*x2*x3*x4 + sin(x2 + x4))
15,0.011244394,0.12442504937063871,((x4 * x1) * ((x0 * x3) * x2)) + sin(sin(x4 + x2)),x0*x1*x2*x3*x4 + sin(sin(x2 + x4)),PySRFunction(X=>x0*x1*x2*x3*x4 + sin(sin(x2 + x4)))
18,0.00809767,0.10943110912136983,((x2 * (x3 * x1)) * ((x0 - 0.028060772) * x4)) - cos(x2),x1*x2*x3*x4*(x0 - 1*0.028060772) - cos(x2),PySRFunction(X=>x1*x2*x3*x4*(x0 - 1*0.028060772) - cos(x2))
