Model,MSE_Train,NMSE_Train
Model_1,0.000562878080470773,0.0013393397531253864
Model_2,0.000562878080470773,0.0013393397531253864
Model_3,0.0005626896096957587,0.0013388912965056725
Model_4,0.0005368391669216514,0.0012773814832006357
Model_5,0.0003600659462900885,0.0008567585989663818
Model_6,0.0002946614519588179,0.0007011319324995159
Model_7,0.00022648650152507294,0.0005389131066981999
Model_8,1.8856157710239145e-05,4.486726786625401e-05
Model_9,1.8758080021752254e-05,4.463389699671281e-05
Model_10,1.2317689697533979e-05,2.9309315908646224e-05
