Model,MSE_Train,NMSE_Train
Model_1,3521.6568016179685,14282.141727627562
Model_2,1.4600157945599892,5.921119994685554
Model_3,0.5939894503008981,2.4089347690028835
Model_4,0.5898190538223007,2.3920216519892206
Model_5,0.2469526310058158,1.00152078260867
Model_6,0.24626931088481951,0.9987495657175396
Model_7,0.24554308353201876,0.9958043377855006
Model_8,0.2442660246654192,0.9906252028627226
Model_9,0.23490267549147098,0.952651973930774
Model_10,9.193364455967923e-05,0.0003728385288809047
Model_11,8.739543497492939e-05,0.0003544337392803688
