Model,MSE_Train,NMSE_Train
Model_1,4.553166147339334,6.868894074138926
Model_2,0.4981586079005664,0.7515207218583585
Model_3,0.4373699115053958,0.6598150597033731
Model_4,0.4311484159759422,0.6504293284579807
Model_5,0.2525877101178699,0.38105313293757415
Model_6,0.12594503701386436,0.19000034051409878
Model_7,0.06998297280637639,0.10557612255841953
Model_8,0.00022452836310022175,0.0003387228782934826
Model_9,0.00015125468221483025,0.00022818240247137286
Model_10,0.00014943403179553815,0.00022543577419744922
Model_11,2.543979320420267e-05,3.837840288120818e-05
