complexity,loss,equation,score,sympy_format,lambda_format
1,1.62,x1,0.0,x1,PySRFunction(X=>x1)
3,0.821,x1 - x1,0.3398291593870008,-x1 + x1,PySRFunction(X=>-x1 + x1)
5,0.8164,-0.03198,0.002809339258369227,-0.0319800000000000,PySRFunction(X=>-0.0319800000000000)
6,0.7256,x0 / (x0 - exp(x0)),0.11790553213476287,x0/(x0 - exp(x0)),PySRFunction(X=>x0/(x0 - exp(x0)))
7,0.7217,x0 / (x4 - exp(exp(x4))),0.00538935872269932,x0/(x4 - exp(exp(x4))),PySRFunction(X=>x0/(x4 - exp(exp(x4))))
8,0.705,exp((x0 * x4) - exp(exp(x4))),0.023411737265958958,exp(x0*x4 - exp(exp(x4))),PySRFunction(X=>exp(x0*x4 - exp(exp(x4))))
9,0.6694,(x0 + x4) * -0.2578,0.05181601403504242,(x0 + x4)*(-0.2578),PySRFunction(X=>(x0 + x4)*(-0.2578))
10,0.622,(x0 * x4) / (exp(exp(x4)) * exp(x0)),0.07344169603804675,x0*x4/((exp(x0)*exp(exp(x4)))),PySRFunction(X=>x0*x4/((exp(x0)*exp(exp(x4)))))
12,0.602,x0 / ((-1.044 - exp(x4)) - x0),0.016341323715179205,x0/(-x0 - exp(x4) - 1.044),PySRFunction(X=>x0/(-x0 - exp(x4) - 1.044))
14,0.58,((x4 + (x0 * x1)) * x0) / (exp(x0) * exp(exp(x4))),0.018614670884178015,x0*(x0*x1 + x4)/((exp(x0)*exp(exp(x4)))),PySRFunction(X=>x0*(x0*x1 + x4)/((exp(x0)*exp(exp(x4)))))
15,0.5635,((x0 / exp(x3)) + x4) * (-0.2415 / exp(x0)),0.028860770060633947,(x0/exp(x3) + x4)*(-0.2415)/exp(x0),PySRFunction(X=>(x0/exp(x3) + x4)*(-0.2415)/exp(x0))
16,0.5337,(-0.4094 / exp(x0)) * ((x0 / exp(x4)) + exp(x0)),0.05433345013993193,-0.4094*(x0/exp(x4) + exp(x0))/exp(x0),PySRFunction(X=>-0.4094*(x0/exp(x4) + exp(x0))/exp(x0))
18,0.5176,((x4 + exp(x0)) + (x0 / exp(x3))) * (-0.2764 / exp(x0)),0.015315570076604185,(x0/exp(x3) + x4 + exp(x0))*(-0.2764)/exp(x0),PySRFunction(X=>(x0/exp(x3) + x4 + exp(x0))*(-0.2764)/exp(x0))
19,0.4556,-0.58 - (-0.04547 / (x0 + 0.632)),0.1275875116136637,-0.58 - (-1)*0.04547/(x0 + 0.632),PySRFunction(X=>-0.58 - (-1)*0.04547/(x0 + 0.632))
21,0.3914,(x4 + ((x3 + x0) + x0)) * (-0.01029 / (x0 + 0.616)),0.07594258830552557,(x0 + x0 + x3 + x4)*(-0.01029)/(x0 + 0.616),PySRFunction(X=>(x0 + x0 + x3 + x4)*(-0.01029)/(x0 + 0.616))
23,0.3818,(((x4 + x0) + x0) - (x3 * x0)) * (-0.01144 / (x0 + 0.6167)),0.012416571835164366,(-x0*x3 + x0 + x0 + x4)*(-0.01144)/(x0 + 0.6167),PySRFunction(X=>(-x0*x3 + x0 + x0 + x4)*(-0.01144)/(x0 + 0.6167))
24,0.3816,(-0.00895 / (exp(-0.4817) + x0)) * (((x3 + x4) + x0) + (x0 + x0)),0.0005239717175157126,-0.00895*(x0 + x0 + x0 + x3 + x4)/(x0 + exp(-0.4817)),PySRFunction(X=>-0.00895*(x0 + x0 + x0 + x3 + x4)/(x0 + exp(-0.4817)))
25,0.3782,(-0.01141 / (x0 + 0.6187)) * ((x0 + (x1 * x0)) + (x4 + (x0 + x3))),0.008949783349774358,-0.01141*(x0*x1 + x0 + x0 + x3 + x4)/(x0 + 0.6187),PySRFunction(X=>-0.01141*(x0*x1 + x0 + x0 + x3 + x4)/(x0 + 0.6187))
28,0.3662,(((2.506 + x1) * x0) + (x3 + x4)) * (-0.01088 / (exp(-0.479) + x0)),0.010747841327982227,(x0*(x1 + 2.506) + x3 + x4)*(-0.01088)/(x0 + exp(-0.479)),PySRFunction(X=>(x0*(x1 + 2.506) + x3 + x4)*(-0.01088)/(x0 + exp(-0.479)))
29,0.3628,(-0.009705 / (x0 + 0.6177)) * ((x0 * (x1 + 1.667)) + (x0 + (x4 + x3))),0.009327913999428786,-0.009705*(x0*(x1 + 1.667) + x0 + x3 + x4)/(x0 + 0.6177),PySRFunction(X=>-0.009705*(x0*(x1 + 1.667) + x0 + x3 + x4)/(x0 + 0.6177))
32,0.2788,(-0.01119 / (exp(-0.479) + x0)) * ((x4 + x3) + ((x0 + 0.531) * 23.61)),0.08778567978487095,-0.01119*(x3 + x4 + (x0 + 0.531)*23.61)/(x0 + exp(-0.479)),PySRFunction(X=>-0.01119*(x3 + x4 + (x0 + 0.531)*23.61)/(x0 + exp(-0.479)))
34,0.2722,(-0.04227 / ((x0 + 0.11664) + exp(x0))) * ((x3 + x4) + (23.61 * (0.537 + x0))),0.011978794334501565,-0.04227*(x3 + x4 + 23.61*(x0 + 0.537))/(x0 + exp(x0) + 0.11664),PySRFunction(X=>-0.04227*(x3 + x4 + 23.61*(x0 + 0.537))/(x0 + exp(x0) + 0.11664))
36,0.2698,((x3 + x4) + ((x0 + 0.537) * (x3 + 23.61))) * (-0.04227 / (exp(x0) + (x0 + 0.11884))),0.004428073221855131,(x3 + x4 + (x0 + 0.537)*(x3 + 23.61))*(-0.04227)/(x0 + exp(x0) + 0.11884),PySRFunction(X=>(x3 + x4 + (x0 + 0.537)*(x3 + 23.61))*(-0.04227)/(x0 + exp(x0) + 0.11884))
