complexity,loss,score,equation,sympy_format,lambda_format
1,3.2773666,0.0,x0,x0,PySRFunction(X=>x0)
2,1.3825426,0.863115966390155,cos(x0),cos(x0),PySRFunction(X=>cos(x0))
3,0.75738263,0.6018109651808856,cos(exp(x0)),cos(exp(x0)),PySRFunction(X=>cos(exp(x0)))
4,0.7187443,0.052362919838757904,cos(exp(sin(x0))),cos(exp(sin(x0))),PySRFunction(X=>cos(exp(sin(x0))))
5,0.32627475,0.789765843816844,log(cos(x0) ^ x0),log(cos(x0)**x0),PySRFunction(X=>log(cos(x0)**x0))
6,0.2749282,0.17122984516117226,(cos(x0) / x0) - x0,-x0 + cos(x0)/x0,PySRFunction(X=>-x0 + cos(x0)/x0)
7,0.13662156,0.6992952048956451,x0 * cos(x0 / cos(x0)),x0*cos(x0/cos(x0)),PySRFunction(X=>x0*cos(x0/cos(x0)))
10,0.025546016,0.5589111309433783,sin(x0 / -0.006175256) - x0,-x0 + sin(x0/(-0.006175256)),PySRFunction(X=>-x0 + sin(x0/(-0.006175256)))
11,0.009754466,0.9627561435231928,sin(x0 / -0.0061673885) - sin(x0),-sin(x0) + sin(x0/(-0.0061673885)),PySRFunction(X=>-sin(x0) + sin(x0/(-0.0061673885)))
12,0.004232807,0.8348598650602712,sin(x0 / -0.0061628553) - sin(sin(x0)),sin(x0/(-0.0061628553)) - sin(sin(x0)),PySRFunction(X=>sin(x0/(-0.0061628553)) - sin(sin(x0)))
13,0.0005329336,2.0722238067959933,sin(x0 / -0.020865662) - (cos(x0) * x0),-x0*cos(x0) + sin(x0/(-0.020865662)),PySRFunction(X=>-x0*cos(x0) + sin(x0/(-0.020865662)))
16,0.0002786633,0.2161308651801053,sin(exp(x0) / -0.05695853) - (cos(x0 / x0) / x0),sin(exp(x0)/(-0.05695853)) - cos(x0/x0)/x0,PySRFunction(X=>sin(exp(x0)/(-0.05695853)) - cos(x0/x0)/x0)
17,9.592398e-05,1.0664482402346884,sin(exp(x0) / -0.05695853) - (0.52756697 / x0),sin(exp(x0)/(-0.05695853)) - 0.52756697/x0,PySRFunction(X=>sin(exp(x0)/(-0.05695853)) - 0.52756697/x0)
18,6.90573e-05,0.3286194080095304,sin(exp(x0) / -0.05698247) - (cos(1.0179586) / x0),sin(exp(x0)/(-0.05698247)) - cos(1.0179586)/x0,PySRFunction(X=>sin(exp(x0)/(-0.05698247)) - cos(1.0179586)/x0)
19,6.2982355e-05,0.09208198696277746,sin(exp(x0) / -0.056992013) - (cos(exp(0.016930839)) / x0),sin(exp(x0)/(-0.056992013)) - cos(exp(0.016930839))/x0,PySRFunction(X=>sin(exp(x0)/(-0.056992013)) - cos(exp(0.016930839))/x0)
20,5.9340087e-05,0.05956952680790055,cos((x0 / -0.10565732) + 0.7616217) / cos(sin(x0) / x0),cos(x0/(-0.10565732) + 0.7616217)/cos(sin(x0)/x0),PySRFunction(X=>cos(x0/(-0.10565732) + 0.7616217)/cos(sin(x0)/x0))
21,5.8639467e-05,0.01187711281071421,cos(exp(-0.27291805) + (x0 / -0.10565732)) / cos(sin(x0) / x0),cos(x0/(-0.10565732) + exp(-0.27291805))/cos(sin(x0)/x0),PySRFunction(X=>cos(x0/(-0.10565732) + exp(-0.27291805))/cos(sin(x0)/x0))
25,3.3094533e-05,0.14300996639996144,sin(exp(x0) / -0.056992013) - (cos(exp(1.6610761)) / (0.00904558 + x0)),sin(exp(x0)/(-0.056992013)) - cos(exp(1.6610761))/(x0 + 0.00904558),PySRFunction(X=>sin(exp(x0)/(-0.056992013)) - cos(exp(1.6610761))/(x0 + 0.00904558))
