gamma1,lambda1,delta,epsilon,NRow,NCol,FValue,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals,Model_17_Y_pred,Model_17_Residuals,Model_18_Y_pred,Model_18_Residuals
-0.597541810525913,-0.6215163339667974,-0.9383888117306464,-0.7825426357098743,0.47445137494634665,-0.945810375934829,1.0055211424317099,1.115234918190586e-09,1.5035761703122942e-09,-2.280420390331024e-10,2.8468531275359824e-09,-1.5343935118791096e-10,2.772250439690791e-09,1.2460078660640217e-09,1.3728032224388584e-09,1.0658703018219098e-09,1.5529407866809703e-09,1.2512290335179268e-09,1.3675820549849533e-09,1.7874431868455473e-09,8.313679016573328e-10,1.873597631702265e-09,7.45213456800615e-10,2.0982300440122237e-09,5.205810444906564e-10,2.8035184162948755e-09,1.847073277919954e-10,3.240665735652278e-09,6.21854647149398e-10,2.0107215584291164e-09,6.080895300737637e-10,2.6488515326736227e-09,3.0040444170742594e-11,3.0626983644608443e-09,4.4388727595796424e-10,2.912162386329609e-09,2.9335129782672896e-10,3.0213167304647293e-09,4.025056419618492e-10,2.2955033278473873e-09,3.233077606554928e-10,3.397669395047406e-09,7.788583065445258e-10
-0.47960889392480016,-0.5132402557789225,-0.7771429615831764,-1.0758591212050717,-0.593555395035317,-0.8056695947391768,0.20090269068394762,-1.908528864636482e-09,2.249286852941277e-09,-2.280420390331024e-10,5.688000273378973e-10,-1.5343935118791096e-10,4.941973394927059e-10,1.007927912884117e-09,6.671699245793221e-10,8.741512312133942e-10,5.333932429085992e-10,-7.114875779880737e-12,3.4787286408467564e-10,1.450421132086899e-09,1.109663143782104e-09,4.92420905199205e-10,1.5166291689441005e-10,5.694271262923817e-10,2.2866913798758676e-10,7.499993253352206e-10,4.092413370304257e-10,5.16912961610153e-10,1.7615497330535802e-10,2.704838724230217e-10,7.027411588177322e-11,1.5668561312323043e-09,1.2260981429275094e-09,9.228864094451128e-10,5.821284211403178e-10,6.602883379689178e-10,3.195303496641229e-10,1.1567678239779082e-09,8.160098356731132e-10,5.755172540447406e-10,2.3475926573994564e-10,8.430664641571354e-10,5.023084758523404e-10
-0.5661629872016013,1.2156519759488136,-0.4338282449285714,0.9865203979518316,0.3279519151052824,-0.6929247979752919,0.5544338876405032,7.004624904102413e-10,6.412206413513587e-10,-2.280420390331024e-10,1.5697251707947023e-09,-1.5343935118791096e-10,1.495122482949511e-09,1.1856503780706746e-09,1.5603275369092536e-10,7.199111344542602e-10,6.217719973073398e-10,8.352502656171659e-10,5.064328661444341e-10,1.416218325756195e-09,7.453519399459509e-11,1.4249363067971037e-09,8.32531750355037e-11,1.601613840291721e-09,2.5993070853012095e-10,2.117283252361798e-09,7.756001206001981e-10,2.489941179086917e-09,1.1482580473253172e-09,2.0338822939246966e-09,6.921991621630967e-10,2.035512712229805e-09,6.938295804682052e-10,2.3952345906601615e-09,1.0535514588985615e-09,2.207653531948349e-09,8.659704001867488e-10,2.2942400109829126e-09,9.525568792213127e-10,1.9396770360750327e-09,5.979939043134327e-10,2.558446639787289e-09,1.2167635080256892e-09
-0.5251310959986846,-0.4840016160991132,-0.38451675618233644,1.2202112906224962,-1.13217149800158,-0.6266290990298848,-0.1258062082705967,-3.4334703825865997e-09,2.8492430955611455e-09,-2.280420390331024e-10,3.5618524799235167e-10,-1.5343935118791096e-10,4.307879358375431e-10,1.1034559060139097e-09,1.6876831930393638e-09,6.292155519213597e-10,1.2134428389468137e-09,-7.545888155571479e-10,1.7036152853169383e-10,1.2760577232891909e-09,1.860285010314645e-09,-2.076394668713065e-10,3.7658782015414753e-10,-2.0545875099224783e-10,3.787685360332062e-10,-1.997008757350234e-10,3.8452641129043065e-10,-7.070436700898613e-10,1.228163830644072e-10,-2.1229856181524173e-11,5.629974308439299e-10,1.6307320243625515e-09,2.2149593113880053e-09,4.954772955675341e-10,1.0797045825929881e-09,1.66312768138143e-10,7.50540055163597e-10,8.230216435586799e-10,1.407248930584134e-09,5.395101329208098e-10,1.1237374199462638e-09,1.3649461270637653e-10,7.207218997318306e-10
-0.42976631665112813,-1.1523180385219105,0.20185465015831086,-1.0056853104836578,-0.7443489513892788,-0.7060281155448312,0.13096523141872748,-2.33545883100236e-09,2.478208377476073e-09,-2.280420390331024e-10,3.7079158550681537e-10,-1.5343935118791096e-10,2.9618889766162394e-10,8.981452546197073e-10,7.553957081459944e-10,7.378370789572601e-10,5.950875324835471e-10,-2.6795503669391916e-10,4.1070458316763214e-10,1.255207810099382e-09,1.1124582636256691e-09,1.7966729755847176e-10,3.691775108475878e-11,2.2324504928972483e-10,8.049550281601185e-11,3.1198850911649977e-10,1.692389626427868e-10,3.867027327902666e-11,1.0407927319468632e-10,1.037637725308525e-09,8.94888178834812e-10,1.100745775927864e-09,9.579962294541511e-10,3.385128231733433e-10,1.957632766996303e-10,5.2685573851185185e-11,9.00639726225278e-11,5.779822294921706e-10,4.352326830184576e-10,6.962490390505272e-10,5.534994925768142e-10,2.2885710727800283e-10,8.610756080428985e-11
-0.5954591493116088,-0.6985667752945577,1.6055746099079733,1.5326029016313554,0.22245060161003996,2.2305602899363737,1.101548987609457,4.0176489807842896e-10,2.4889222951015614e-09,-2.280420390331024e-10,3.1187292322130925e-09,-1.5343935118791096e-10,3.044126544367901e-09,1.2420687469183116e-09,1.6486184462616786e-09,-3.279551685792019e-09,6.170238878972009e-09,-2.3195850736938557e-09,5.210272266873846e-09,-2.363343508559591e-09,5.254030701739581e-09,-1.6993856675519931e-09,4.590072860731983e-09,-1.8566492904333787e-09,4.747336483613369e-09,-2.3480738673195053e-09,5.238761060499495e-09,-1.1232690471189249e-09,4.013956240298915e-09,8.234294685538433e-10,2.067257724626147e-09,-1.913308267897617e-09,4.803995461077607e-09,-5.252087541249929e-10,3.4158959473049832e-09,-9.937443672075054e-10,3.8844315603874956e-09,-1.8115084933136102e-09,4.702195686493601e-09,-5.900937051711272e-10,3.4807808983511175e-09,-1.476842536900175e-09,4.367529730080165e-09
-0.6011621553486546,-0.7318838267696521,0.6719861928378246,0.00521486526353173,1.3968188518253952,0.588130856287038,2.3981914747290465,3.726661595843887e-09,2.835107749647123e-09,-2.280420390331024e-10,6.789811384524113e-09,-1.5343935118791096e-10,6.715208696678921e-09,1.2528327616037574e-09,5.308936583887252e-09,-1.0326322532557683e-09,7.594401598746779e-09,6.142454884434099e-10,5.9475238570476e-09,-2.1102428316175794e-10,6.772793628652768e-09,1.2403848502673513e-09,5.3213844952236584e-09,1.397336719342487e-09,5.164432626148523e-09,1.8942026515218104e-09,4.6675666939692e-09,3.435232231884088e-09,3.126537113606922e-09,3.3599285730903873e-09,3.2018407724006226e-09,4.837873144489689e-10,6.077982031042041e-09,2.4555661461456527e-09,4.106203199345357e-09,2.248303458440103e-09,4.313465887050907e-09,1.486803321488729e-09,5.074966024002281e-09,1.947335729412058e-09,4.614433616078952e-09,2.6267431852937566e-09,3.935026160197254e-09
-0.43007323549015775,1.794171467512105,-1.179468977076916,1.1590666932749107,-1.2146663344741957,1.83584851206703,-1.6326589144004553,-3.6670315413800215e-09,1.183429600070019e-09,-2.280420390331024e-10,4.622419102416938e-09,-1.5343935118791096e-10,4.69702179026213e-09,8.98837664044891e-10,5.749298805494931e-09,-2.7395677170592026e-09,2.110893424390838e-09,-3.4053002916588277e-09,1.4451608497912129e-09,-2.0638636523381024e-09,2.786597489111938e-09,-2.9573582866415824e-09,1.893102854808458e-09,-3.2490795085019095e-09,1.601381632948131e-09,-3.843692893786877e-09,1.0067682476631636e-09,-3.873815539312266e-09,9.766456021377744e-10,-4.397572807532008e-09,4.5288833391803225e-10,-2.5345139477359907e-09,2.3159471937140498e-09,-2.796922486774294e-09,2.0535386546757467e-09,-3.362146707162521e-09,1.4883144342875194e-09,-3.469761310416898e-09,1.3806998310331427e-09,-4.200952219291138e-09,6.495089221589028e-10,-3.944870455925827e-09,9.055906855242137e-10
-0.5299307950635697,-0.5822823862224253,0.6577530170938877,0.9317350149792198,-1.284432140082833,1.4676793699899369,-0.9374259155943226,-3.864553993679432e-09,9.82451500791452e-10,-2.280420390331024e-10,2.654060453854878e-09,-1.5343935118791096e-10,2.7286631417000695e-09,1.1132622761817735e-09,3.995364769069754e-09,-2.2358953017669664e-09,6.462071911210139e-10,-3.094498833183566e-09,2.123963402955856e-10,-1.452661030688593e-09,1.4294414621993873e-09,-2.5425503665680684e-09,3.395521263199118e-10,-2.7899351091408752e-09,9.216738374710503e-11,-3.451025072957003e-09,5.689225800690229e-10,-3.5231219834815456e-09,6.410194905935653e-10,-1.5664424511110816e-09,1.3156600417768987e-09,-1.3308337178042655e-09,1.5512687750837148e-09,-1.809253792342257e-09,1.0728487005457232e-09,-2.3467995205519513e-09,5.35302972336029e-10,-2.3068744077171018e-09,5.752280851708785e-10,-1.7554230900755876e-09,1.1266794028123927e-09,-3.0029164183530933e-09,1.2081392546511304e-10
0.3548401586714575,1.9685658540498827,1.3752027932020514,-0.015419328072650002,-0.8064035501194904,3.218560686107253,-2.695654215503859,-2.511149148210276e-09,5.3488871973810346e-09,-2.280420390331024e-10,7.631994306558209e-09,-1.5343935118791096e-10,7.7065969944034e-09,-1.1659743813722946e-09,6.694061964219016e-09,-4.631181925745349e-09,3.2288544198459615e-09,-4.420236301117968e-09,3.439800044473343e-09,-4.894596226713308e-09,2.965440118878003e-09,-4.789819430267533e-09,3.070216915323778e-09,-5.277402089694335e-09,2.5826342558969755e-09,-4.5991718505467305e-09,3.26086449504458e-09,-5.061324448766526e-09,2.7987118968247844e-09,-3.3230457349804117e-09,4.536990610610899e-09,-7.089521166050892e-09,7.705151795404188e-10,-6.388343733857155e-09,1.4716926117341554e-09,-7.043953303584927e-09,8.160830420063835e-10,-7.764929683835823e-09,9.510666175548747e-11,-6.637917708122787e-09,1.2221186374685238e-09,-7.419507187722246e-09,4.4052915786906436e-10
