complexity,loss,score,equation,sympy_format,lambda_format
1,3463.0027,0.0,x0,x0,PySRFunction(X=>x0)
2,1.4046314,7.810116404461118,cos(x0),cos(x0),PySRFunction(X=>cos(x0))
3,1.3053901,0.07327299630391876,sin(cos(x0)),sin(cos(x0)),PySRFunction(X=>sin(cos(x0)))
4,0.49839625,0.9628617589221335,sin(x0 - x1),sin(x0 - x1),PySRFunction(X=>sin(x0 - x1))
5,0.29469413,0.5254574723838676,cos(x1) * sin(x0),sin(x0)*cos(x1),PySRFunction(X=>sin(x0)*cos(x1))
7,0.29469377,6.108031739181717e-07,cos(exp(log(x1))) * sin(x0),sin(x0)*cos(x1),PySRFunction(X=>sin(x0)*cos(x1))
8,0.062684365,1.547824694876151,(sin(x0) + sin(x0)) * cos(x1),(sin(x0) + sin(x0))*cos(x1),PySRFunction(X=>(sin(x0) + sin(x0))*cos(x1))
9,0.062684245,1.914354797524834e-06,sin(x1 + x0) + sin(x0 - x1),sin(x0 - x1) + sin(x0 + x1),PySRFunction(X=>sin(x0 - x1) + sin(x0 + x1))
11,0.062336642,0.002780366577525487,sin(x0) * (1.9627566 * cos(x1)),sin(x0)*1.9627566*cos(x1),PySRFunction(X=>sin(x0)*1.9627566*cos(x1))
12,0.062336635,1.1229351091098074e-07,sin(x0) * (exp(0.6743433) * cos(x1)),exp(0.6743433)*sin(x0)*cos(x1),PySRFunction(X=>exp(0.6743433)*sin(x0)*cos(x1))
13,0.059645653,0.04412802391453728,((sin(x0) + sin(x0)) * cos(x1)) + (sin(x1) / x0),(sin(x0) + sin(x0))*cos(x1) + sin(x1)/x0,PySRFunction(X=>(sin(x0) + sin(x0))*cos(x1) + sin(x1)/x0)
14,0.059645534,1.9951180467213085e-06,(sin(x1) / x0) + (sin(x0 - x1) + sin(x0 + x1)),sin(x0 - x1) + sin(x0 + x1) + sin(x1)/x0,PySRFunction(X=>sin(x0 - x1) + sin(x0 + x1) + sin(x1)/x0)
16,0.058777254,0.007332166168162371,((sin(x0) + sin(x0)) * cos(x1)) + (sin(x1) / (x0 + cos(x1))),(sin(x0) + sin(x0))*cos(x1) + sin(x1)/(x0 + cos(x1)),PySRFunction(X=>(sin(x0) + sin(x0))*cos(x1) + sin(x1)/(x0 + cos(x1)))
17,0.05794441,0.014270840663943211,((sin(x1) / x0) / exp(cos(x1))) + ((sin(x0) + sin(x0)) * cos(x1)),(sin(x0) + sin(x0))*cos(x1) + sin(x1)/(x0*exp(cos(x1))),PySRFunction(X=>(sin(x0) + sin(x0))*cos(x1) + sin(x1)/(x0*exp(cos(x1))))
19,0.05528044,0.023532481879279612,(sin(x0 / -0.008558256) / x0) + (cos(x1) * (sin(x0) + sin(x0))),(sin(x0) + sin(x0))*cos(x1) + sin(x0/(-0.008558256))/x0,PySRFunction(X=>(sin(x0) + sin(x0))*cos(x1) + sin(x0/(-0.008558256))/x0)
20,0.051895402,0.0631889461084826,(cos(x1) * (sin(x0) + sin(x0))) - ((sin(x0) / x1) / ((x1 - x0) + sin(x1))),(sin(x0) + sin(x0))*cos(x1) - sin(x0)/(x1*(-x0 + x1 + sin(x1))),PySRFunction(X=>(sin(x0) + sin(x0))*cos(x1) - sin(x0)/(x1*(-x0 + x1 + sin(x1))))
21,0.051892858,4.9022885642551815e-05,((log(x1) / x0) / ((x0 - x1) - sin(x0))) + (sin(x0 + x1) + sin(x0 - x1)),sin(x0 - x1) + sin(x0 + x1) + log(x1)/(x0*(x0 - x1 - sin(x0))),PySRFunction(X=>sin(x0 - x1) + sin(x0 + x1) + log(x1)/(x0*(x0 - x1 - sin(x0))))
22,0.049505305,0.04710133436329059,((x1 / (x0 * x0)) / ((x0 - x1) - sin(x1))) + (sin(x1 + x0) + sin(x0 - x1)),x1/(((x0*x0))*(x0 - x1 - sin(x1))) + sin(x0 - x1) + sin(x0 + x1),PySRFunction(X=>x1/(((x0*x0))*(x0 - x1 - sin(x1))) + sin(x0 - x1) + sin(x0 + x1))
28,0.049479403,8.722559647366421e-05,(((x1 + 1.4449513) / (x0 * x0)) / ((x0 - x1) - sin(x1))) + (sin(x1 + x0) + sin(x0 - x1)),sin(x0 - x1) + sin(x0 + x1) + (x1 + 1.4449513)/(((x0*x0))*(x0 - x1 - sin(x1))),PySRFunction(X=>sin(x0 - x1) + sin(x0 + x1) + (x1 + 1.4449513)/(((x0*x0))*(x0 - x1 - sin(x1))))
36,0.049466047,3.374586724583907e-05,(sin(x0 / -1.8097281) / (log(x0) + exp(0.7650734))) - ((cos(x1) / 0.5107374) * cos(x0 - -1.5453416)),-1.95795334353819*cos(x1)*cos(x0 + 1.5453416) - sin(0.552569195339344*x0)/(log(x0) + 2.14915211663138),PySRFunction(X=>-1.95795334353819*cos(x1)*cos(x0 + 1.5453416) - sin(0.552569195339344*x0)/(log(x0) + 2.14915211663138))
