Model,MSE_Train,NMSE_Train
Model_1,3463.00267607317,3370.379449315567
Model_2,1.404631209319192,1.3670622302622353
Model_3,1.3053900993007934,1.270475473328927
Model_4,0.49839581351991064,0.48506546619744173
Model_5,0.29469401535255063,0.28681197968544014
Model_6,0.29469401535255063,0.28681197968544014
Model_7,0.06268438836543322,0.061007799907142786
Model_8,0.06268438836543297,0.06100779990714254
Model_9,0.062336682646844555,0.060669394102134976
Model_10,0.06233668269182233,0.06066939414590976
Model_11,0.05964567519588717,0.05805036170192143
Model_12,0.059645675195886885,0.058050361701921155
Model_13,0.05877727272796516,0.057205185967047864
Model_14,0.05794443209963782,0.056394620916762526
Model_15,0.055280437862471124,0.05380187922121668
Model_16,0.05189630139484734,0.05050825658472133
Model_17,0.05189106645935378,0.05050316166546877
Model_18,0.049505253503677946,0.04818116087370537
Model_19,0.04947915585576034,0.04815576124672134
Model_20,0.049466019053003185,0.048142975807556554
