Model,MSE_Train,NMSE_Train
Model_1,0.35126363522138526,0.011691664970376478
Model_2,0.2994369294032962,0.009966634479926016
Model_3,0.19809264817427757,0.006593431950587839
Model_4,0.17572516526295792,0.005848939523226404
Model_5,0.11016438478667878,0.003666776032143827
Model_6,0.028477710712938285,0.0009478688352386131
Model_7,0.016854775451196752,0.000561004237179634
Model_8,0.0009681032811963085,3.222291773338772e-05
Model_9,0.0007607009092797496,2.5319615474440428e-05
Model_10,6.624305318393567e-05,2.2048726562693588e-06
Model_11,5.898936682654642e-05,1.9634367027943133e-06
