complexity,loss,equation,score,sympy_format,lambda_format
1,1.464,x1,0.0,x1,PySRFunction(X=>x1)
3,0.994,x4 - x4,0.1935952439323414,-x4 + x4,PySRFunction(X=>-x4 + x4)
5,0.9893,-0.02075,0.0023697921636985863,-0.0207500000000000,PySRFunction(X=>-0.0207500000000000)
6,0.7427,x0 / (x0 - exp(x0)),0.286705427653926,x0/(x0 - exp(x0)),PySRFunction(X=>x0/(x0 - exp(x0)))
8,0.7363,(x1 - x0) / exp(x0 / x0),0.004327275150289847,(-x0 + x1)/exp(x0/x0),PySRFunction(X=>(-x0 + x1)/exp(x0/x0))
9,0.7007,x0 / (-1.492 - x0),0.04955780899818288,x0/(-x0 - 1.492),PySRFunction(X=>x0/(-x0 - 1.492))
10,0.552,-0.543 - (x0 / exp(x0)),0.23853178909939288,-x0/exp(x0) - 0.543,PySRFunction(X=>-x0/exp(x0) - 0.543)
12,0.531,((-0.8223 - x0) - x0) / exp(x0),0.019393012517578266,(-x0 - x0 - 0.8223)/exp(x0),PySRFunction(X=>(-x0 - x0 - 0.8223)/exp(x0))
15,0.4434,(-0.4983 - x0) / (x0 + 0.7026),0.060096574686575914,(-x0 - 0.4983)/(x0 + 0.7026),PySRFunction(X=>(-x0 - 0.4983)/(x0 + 0.7026))
19,0.3787,(-0.386 / exp(x1)) + (9.74e-5 ^ (exp(x0) + x0)),0.03943199056861552,9.74e-5**(x0 + exp(x0)) - 0.386*exp(-x1),PySRFunction(X=>9.74e-5**(x0 + exp(x0)) - 0.386*exp(-x1))
23,0.3674,(0.0007424 ^ (x0 + 0.501)) - (0.8174 ^ (x1 + x2)),0.007573290531680937,0.0007424**(x0 + 0.501) - 0.8174**(x1 + x2),PySRFunction(X=>0.0007424**(x0 + 0.501) - 0.8174**(x1 + x2))
24,0.3591,(0.0007424 ^ (x0 + 0.522)) - (0.8276 ^ exp(x2 + x1)),0.022850271548988214,0.0007424**(x0 + 0.522) - 0.8276**exp(x1 + x2),PySRFunction(X=>0.0007424**(x0 + 0.522) - 0.8276**exp(x1 + x2))
25,0.3447,(0.001604 ^ (x0 + 0.4814)) - (0.7983 ^ ((x2 + x1) + x0)),0.040926427709217346,0.001604**(x0 + 0.4814) - 0.7983**(x0 + x1 + x2),PySRFunction(X=>0.001604**(x0 + 0.4814) - 0.7983**(x0 + x1 + x2))
27,0.3306,(0.0007424 ^ (x0 + exp(-0.6904))) - (0.8193 ^ ((x2 + x1) / exp(x0))),0.02088264406794795,0.0007424**(x0 + exp(-0.6904)) - 0.8193**((x1 + x2)/exp(x0)),PySRFunction(X=>0.0007424**(x0 + exp(-0.6904)) - 0.8193**((x1 + x2)/exp(x0)))
30,0.3281,(0.00432 ^ ((-0.0441 * x1) + (x0 + 0.4897))) - exp(-0.163 * x2),0.0025302484732893046,0.00432**(x0 - 0.0441*x1 + 0.4897) - exp(-0.163*x2),PySRFunction(X=>0.00432**(x0 - 0.0441*x1 + 0.4897) - exp(-0.163*x2))
