Model,MSE_Train,NMSE_Train
Model_1,2410.266679040453,19.254864432149677
Model_2,1680.9017668165648,13.428196939891652
Model_3,712.4942638731917,5.6918931746690475
Model_4,149.11034239065768,1.1911957515450295
Model_5,4.080424693660926,0.032597232905910475
Model_6,4.080424693660926,0.032597232905910475
Model_7,0.46941695249517196,0.0037500247839984692
Model_8,0.36364349999700474,0.0029050338516326607
Model_9,0.12529987464793033,0.0010009813937567006
Model_10,0.0646786163904522,0.0005166971775724696
Model_11,0.015234620765948998,0.00012170460641323787
Model_12,0.01434168051030743,0.000114571186813697
Model_13,0.00728839947859307,5.822473716623313e-05
Model_14,0.0011104210134709564,8.870805153189719e-06
Model_15,0.0005431773158728735,4.339273189435976e-06
Model_16,0.00026083801037627286,2.083753043686537e-06
Model_17,6.862211991360392e-05,5.482005901974243e-07
Model_18,2.190480310785571e-05,1.7499060080049083e-07
