Model,MSE_Train,NMSE_Train
Model_1,30060.07522083961,3.794853791256936
Model_2,26802.54944390018,3.383616162810625
Model_3,98.31904887720108,0.012412025340700437
Model_4,98.31904887720141,0.012412025340700477
Model_5,81.18647320382827,0.010249169151204872
Model_6,52.776182709631556,0.006662588019901837
Model_7,29.153241717677922,0.0036803730212578573
Model_8,2.4162421862707832,0.0003050320318163369
Model_9,1.6751278817469377,0.00021147203878187808
Model_10,1.5190933766612462,0.00019177388005003185
Model_11,1.515768841628728,0.00019135418301735206
Model_12,0.4626033683772658,5.840012486454658e-05
Model_13,0.1265561942188248,1.5976748225347326e-05
Model_14,0.06313586448979426,7.970418336055243e-06
Model_15,0.057657063670814676,7.278761781415871e-06
Model_16,0.010918120828135192,1.3783289600461915e-06
