complexity,loss,equation,score,sympy_format,lambda_format
1,1.469,x4,0.0,x4,PySRFunction(X=>x4)
3,0.998,x0 - x0,0.1932919499312067,-x0 + x0,PySRFunction(X=>-x0 + x0)
5,0.9976,0.02112,0.00020044097281859567,0.0211200000000000,PySRFunction(X=>0.0211200000000000)
6,0.8438,x0 / (x0 - exp(x0)),0.1674368946755884,x0/(x0 - exp(x0)),PySRFunction(X=>x0/(x0 - exp(x0)))
7,0.7593,x5 * -0.4832,0.10551854347105023,x5*(-0.4832),PySRFunction(X=>x5*(-0.4832))
8,0.7095,(x4 - x5) / exp(x3 / x3),0.06783645961909059,(x4 - x5)/exp(x3/x3),PySRFunction(X=>(x4 - x5)/exp(x3/x3))
9,0.618,(x5 + x0) * -0.4402,0.1380720391424066,(x0 + x5)*(-0.4402),PySRFunction(X=>(x0 + x5)*(-0.4402))
11,0.53,((x5 + x0) - x4) * -0.4072,0.07680572545576161,(x0 - x4 + x5)*(-0.4072),PySRFunction(X=>(x0 - x4 + x5)*(-0.4072))
13,0.5176,((x0 + x5) - x4) / (-2.725 - x0),0.011837131679738454,(x0 - x4 + x5)/(-x0 - 2.725),PySRFunction(X=>(x0 - x4 + x5)/(-x0 - 2.725))
14,0.4915,-0.3872 * ((x0 + x5) - (x4 / exp(x0))),0.05174080359946945,-0.3872*(x0 - x4/exp(x0) + x5),PySRFunction(X=>-0.3872*(x0 - x4/exp(x0) + x5))
16,0.4478,-0.3276 * ((x0 + x5) + ((x0 - x4) / exp(x0))),0.0465576177112834,-0.3276*(x0 + x5 + (x0 - x4)/exp(x0)),PySRFunction(X=>-0.3276*(x0 + x5 + (x0 - x4)/exp(x0)))
22,0.4275,((x4 - x0) / (exp(x0) + (0.4192 ^ x2))) + (x5 * -0.4785),0.007732069297973248,x5*(-0.4785) + (-x0 + x4)/(0.4192**x2 + exp(x0)),PySRFunction(X=>x5*(-0.4785) + (-x0 + x4)/(0.4192**x2 + exp(x0)))
24,0.4,((x4 + (x2 - x0)) * (0.1815 ^ exp(x0))) + ((x5 + x0) * -0.3997),0.033244870634416425,0.1815**exp(x0)*(-x0 + x2 + x4) + (x0 + x5)*(-0.3997),PySRFunction(X=>0.1815**exp(x0)*(-x0 + x2 + x4) + (x0 + x5)*(-0.3997))
25,0.3743,(x5 * -0.5054) + (((x0 - x4) / (-0.6313 - x0)) * 0.02956),0.06640693219759873,x5*(-0.5054) + (x0 - x4)*0.02956/(-x0 - 0.6313),PySRFunction(X=>x5*(-0.5054) + (x0 - x4)*0.02956/(-x0 - 0.6313))
26,0.3586,((0.3804 / exp(x0)) * ((x4 - x0) - x0)) + ((x5 + (x0 / x0)) * -0.4507),0.0428500537393509,(x5 + x0/x0)*(-0.4507) + 0.3804*(-x0 - x0 + x4)/exp(x0),PySRFunction(X=>(x5 + x0/x0)*(-0.4507) + 0.3804*(-x0 - x0 + x4)/exp(x0))
27,0.333,(((x0 - x4) / (-0.6323 - x0)) * 0.02722) + ((x5 + x0) * -0.383),0.07406507119058858,(x0 + x5)*(-0.383) + (x0 - x4)*0.02722/(-x0 - 0.6323),PySRFunction(X=>(x0 + x5)*(-0.383) + (x0 - x4)*0.02722/(-x0 - 0.6323))
28,0.328,0.03284 * (((x5 / -0.0689) - exp(x0)) + ((x0 - x4) / (-0.6343 - x0))),0.01512888159630009,0.03284*(x5/(-0.0689) - exp(x0) + (x0 - x4)/(-x0 - 0.6343)),PySRFunction(X=>0.03284*(x5/(-0.0689) - exp(x0) + (x0 - x4)/(-x0 - 0.6343)))
29,0.306,(((x0 - x4) * 0.02489) / (-0.6284 - x0)) + (((x5 + x0) + x5) * -0.2625),0.06942850643176302,(x0 + x5 + x5)*(-0.2625) + (x0 - x4)*0.02489/(-x0 - 0.6284),PySRFunction(X=>(x0 + x5 + x5)*(-0.2625) + (x0 - x4)*0.02489/(-x0 - 0.6284))
