complexity,loss,score,equation,sympy_format,lambda_format
1,1699.4136,0.0,x4,x4,PySRFunction(X=>x4)
2,978.4527,0.5520660829890343,exp(x4),exp(x4),PySRFunction(X=>exp(x4))
4,158.20958,0.9110259183074559,exp(x4) * x1,x1*exp(x4),PySRFunction(X=>x1*exp(x4))
5,79.139465,0.6927089339954178,(x1 + x1) ^ x2,(x1 + x1)**x2,PySRFunction(X=>(x1 + x1)**x2)
6,15.970381,1.6004758565879285,exp(x2) * (x1 + x4),(x1 + x4)*exp(x2),PySRFunction(X=>(x1 + x4)*exp(x2))
7,15.865956,0.006560137524452383,(log(x1) + x2) * exp(x4),(x2 + log(x1))*exp(x4),PySRFunction(X=>(x2 + log(x1))*exp(x4))
8,1.716386,2.2239547641550845,exp(x0) + (exp(x1) / sin(x4)),exp(x0) + exp(x1)/sin(x4),PySRFunction(X=>exp(x0) + exp(x1)/sin(x4))
9,0.00013739461,9.43287432497044,x3 * (x2 * (x4 * (x0 * x1))),x0*x1*x2*x3*x4,PySRFunction(X=>x0*x1*x2*x3*x4)
15,0.00011555612,0.028850141847716036,(x2 * ((x0 * x1) * (x3 * x4))) - exp(x3 - exp(x4)),x0*x1*x2*x3*x4 - exp(x3 - exp(x4)),PySRFunction(X=>x0*x1*x2*x3*x4 - exp(x3 - exp(x4)))
17,8.324009e-05,0.1640136083334242,(sin(exp(x4)) / exp(exp(x3))) + (((x4 * x3) * (x0 * x1)) * x2),x0*x1*x2*x3*x4 + sin(exp(x4))/exp(exp(x3)),PySRFunction(X=>x0*x1*x2*x3*x4 + sin(exp(x4))/exp(exp(x3)))
18,2.7084381e-05,1.1227718678653162,(cos(exp(x0)) / exp(x0 + x0)) + (((x4 * x3) * (x0 * x1)) * x2),x0*x1*x2*x3*x4 + cos(exp(x0))/exp(x0 + x0),PySRFunction(X=>x0*x1*x2*x3*x4 + cos(exp(x0))/exp(x0 + x0))
19,1.38262385e-05,0.6723890873877061,(((x3 * x4) * (x1 * x0)) * x2) - (sin(x4 * x2) / exp(x4 + x3)),x0*x1*x2*x3*x4 - sin(x2*x4)/exp(x3 + x4),PySRFunction(X=>x0*x1*x2*x3*x4 - sin(x2*x4)/exp(x3 + x4))
21,3.6801014e-06,0.6618139106668658,(x2 * ((x3 * x4) * (x1 * x0))) + (sin(exp(x4)) * (0.01085676 * x2)),x0*x1*x2*x3*x4 + sin(exp(x4))*0.01085676*x2,PySRFunction(X=>x0*x1*x2*x3*x4 + sin(exp(x4))*0.01085676*x2)
23,1.0655504e-06,0.6197244164874672,(sin(exp(x4)) * ((x2 ^ x3) * 0.008142142)) + (((x0 * x1) * (x4 * x3)) * x2),x0*x1*x2*x3*x4 + sin(exp(x4))*x2**x3*0.008142142,PySRFunction(X=>x0*x1*x2*x3*x4 + sin(exp(x4))*x2**x3*0.008142142)
