Model,MSE_Train,NMSE_Train,RMSE_Train,MSE_Test,NMSE_Test,RMSE_Test,MSE_Validation,NMSE_Validation,RMSE_Validation
Model_1,1.1775604000609113e-17,1.469046293655983,3.431559995193019e-09,1.5656864616980663e-17,1.36527500228893,3.956875613028626e-09,1.461254682062604e-17,1.2416773338377392,3.822636108842436e-09
Model_2,8.015815465762777e-18,1.0,2.831221550102142e-09,1.1467920082570468e-17,1.0,3.386431762574062e-09,1.1768392981340827e-17,1.0,3.4305091431653153e-09
Model_3,8.017652847777514e-18,1.0002292196000002,2.8315460172452634e-09,1.1470548754624629e-17,1.0002292196000002,3.3868198586025548e-09,1.1771090527672653e-17,1.0002292196,3.430902290604128e-09
Model_4,6.7689798377673595e-18,0.8444530524285504,2.6017263187674757e-09,9.376984067163327e-18,0.8176708592009589,3.062186158149652e-09,1.012319492400125e-17,0.860201978303402,3.181696862367823e-09
Model_5,6.113806104995256e-18,0.7627179207291634,2.4726111916343128e-09,7.349722730229959e-18,0.6408941357553096,2.711037205615216e-09,9.435089907443072e-18,0.8017313767820905,3.071659145713123e-09
Model_6,4.967282929246203e-18,0.6196852897203667,2.228740211250787e-09,5.9089070088978054e-18,0.5152553354359755,2.430824347602641e-09,7.868459919916875e-18,0.6686095486777657,2.805077524760568e-09
Model_7,4.265830672779531e-18,0.5321767561890347,2.0653887461636687e-09,5.147535270391093e-18,0.44886389452735903,2.2688180337768593e-09,6.4017974784469555e-18,0.5439822997581076,2.530177361065219e-09
Model_8,4.251993140366658e-18,0.53045047737536,2.062036163690312e-09,5.228806646003883e-18,0.45595073983388595,2.2866584016865927e-09,6.735560802834237e-18,0.5723432938986394,2.5952958988975104e-09
Model_9,3.933620195784952e-18,0.4907323793301213,1.9833356235859204e-09,4.586049544446e-18,0.3999024680522594,2.1415063727306532e-09,6.049618337284349e-18,0.5140564516222578,2.459597190046441e-09
Model_10,3.6068783861496275e-18,0.44997023715869694,1.899178345008606e-09,4.141550740145967e-18,0.3611422743031239,2.035080032860125e-09,5.87613932998748e-18,0.4993153559117453,2.4240749431458344e-09
Model_11,3.3414841898949018e-18,0.4168614165541958,1.8279726994391634e-09,3.698635846577091e-18,0.32252019720633274,1.923183778679794e-09,5.621522286061267e-18,0.47767968787024495,2.3709749652961896e-09
Model_12,3.0671445118920168e-18,0.3826366169471381,1.7513265006537236e-09,3.546603584477743e-18,0.3092630188335592,1.883242837362655e-09,5.421286939543938e-18,0.46066501587256364,2.3283657228931923e-09
Model_13,2.6484676745707744e-18,0.3304052701665767,1.6274113415393093e-09,2.6705038927045178e-18,0.23286732672329014,1.6341676452263145e-09,4.429511281575101e-18,0.37639049686717946,2.1046404162172457e-09
Model_14,2.5953210617746187e-18,0.3237750510674525,1.6110000191727555e-09,2.8679938025824146e-18,0.2500884015525482,1.6935152206527152e-09,4.768235826186719e-18,0.405173062604802,2.1836290495839074e-09
Model_15,2.5379965057669458e-18,0.31662361946919304,1.5931090690115809e-09,2.511794257724042e-18,0.21902788296733908,1.5848641133308691e-09,4.368914145420913e-18,0.3712413540530104,2.0901947625570476e-09
Model_16,2.4865748639616374e-18,0.3102085963159105,1.576887714443117e-09,2.5325979990363657e-18,0.2208419644365623,1.5914138365102792e-09,4.0280460847101446e-18,0.34227664653081724,2.0069992737193862e-09
Model_17,2.358964164256265e-18,0.29428873136262856,1.5358919767536599e-09,2.461507140513882e-18,0.21464285788449175,1.5689190994165e-09,4.177337765689112e-18,0.3549624636356398,2.0438536556439435e-09
Model_18,2.183674427837432e-18,0.27242074585728204,1.477726100411518e-09,2.1324118673019934e-18,0.18594582556805064,1.4602780102781776e-09,4.254975255439438e-18,0.3615595827047789,2.06275913655459e-09
Model_19,1.926411572790795e-18,0.24032633747856366,1.3879522948541117e-09,3.318004843538183e-18,0.2893292610733359,1.8215391413686896e-09,4.602664013420303e-18,0.3911038678533235,2.145382020391777e-09
Model_20,1.774221911083252e-18,0.22134016416187782,1.3319992158718608e-09,2.808268811616372e-18,0.2448803960436141,1.6757890116647657e-09,4.234064398727793e-18,0.3597827167601423,2.0576842320258454e-09
Model_21,1.744856689482616e-18,0.217676753779483,1.320930236417736e-09,6.924024388096775e-18,0.6037733379935444,2.631354097816707e-09,5.692361585450049e-18,0.4836991418008793,2.3858670510843743e-09
Model_22,1.415163022996864e-18,0.17654635751550432,1.1896062470401137e-09,1.7222267083845965e-18,0.15017777382335656,1.3123363548970959e-09,3.497136786538603e-18,0.297163494802003,1.8700633108369894e-09
Model_23,1.2273452734058925e-18,0.15311546013604488,1.1078561609730266e-09,1.8472510179373425e-18,0.16107986493077234,1.359136129288506e-09,3.568927226552738e-18,0.30326377035601965,1.8891604554808833e-09
