gamma1,lambda1,delta,epsilon,NRow,NCol,W1,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals,Model_17_Y_pred,Model_17_Residuals,Model_18_Y_pred,Model_18_Residuals,Model_19_Y_pred,Model_19_Residuals,Model_20_Y_pred,Model_20_Residuals,Model_21_Y_pred,Model_21_Residuals,Model_22_Y_pred,Model_22_Residuals,Model_23_Y_pred,Model_23_Residuals,Model_24_Y_pred,Model_24_Residuals,Model_25_Y_pred,Model_25_Residuals
-0.597541810525913,-0.6215163339667974,-0.9383888117306464,-0.7825426357098743,0.9194805077741278,0.8394489935449932,-0.2745746047456278,-2.0137932120662389e-07,7.486718126247809e-07,1.1398019814040008e-06,5.925094899858438e-07,1.0681591028291452e-06,5.208666114109882e-07,2.263302495263585e-06,1.716010003845428e-06,1.2533025121885118e-06,7.060100207703548e-07,1.139807765078078e-06,5.92515273659921e-07,1.2403074303630661e-06,6.930149389449091e-07,1.2803463164047868e-06,7.330538249866298e-07,1.602724810277942e-06,1.0554323188597848e-06,1.2527572831466272e-06,7.054647917284702e-07,2.578462816302752e-06,2.031170324884595e-06,1.3849561777292592e-06,8.376636863111022e-07,2.4287133040799977e-06,1.8814208126618406e-06,2.426346073036296e-06,1.8790535816181388e-06,2.6883173430715905e-06,2.1410248516534334e-06,8.724547626812304e-07,3.251622712630734e-07,2.6859221757356046e-06,2.1386296843174475e-06,2.0500425785529142e-06,1.5027500871347571e-06,2.626120709167189e-06,2.0788282177490317e-06,2.4251503005305126e-06,1.8778578091123555e-06,2.570873586004752e-06,2.023581094586595e-06,2.156168045787836e-06,1.608875554369679e-06,1.9946139207432575e-06,1.4473214293251004e-06,1.9475950128000856e-06,1.4003025213819285e-06,1.7880616245056986e-06,1.2407691330875415e-06
-0.47960889392480016,-0.5132402557789225,-0.7771429615831764,-1.0758591212050717,1.0346603062483777,-1.498125237150086,-0.5083314547695889,3.227158006372263e-08,1.0592790200596937e-08,1.1398019814040008e-06,1.0969376111396812e-06,1.0681591028291452e-06,1.0252947325648256e-06,2.081841237532515e-06,2.0389768672681955e-06,1.205957348237249e-06,1.1630929779729293e-06,1.1398020563811025e-06,1.096937686116783e-06,1.200060671519265e-06,1.1571963012549454e-06,1.2171227477698346e-06,1.174258377505515e-06,1.4622644783915025e-06,1.419400108127183e-06,1.2045474702891162e-06,1.1616831000247966e-06,1.199762551148681e-06,1.1568981808843615e-06,1.2578757490841162e-06,1.2150113788197966e-06,4.035656135135942e-07,3.6070124324927465e-07,1.3044145994580564e-06,1.2615502291937369e-06,1.3244944258256487e-06,1.2816300555613292e-06,4.404225730340844e-07,3.975582027697648e-07,1.3509220286057341e-06,1.3080576583414146e-06,7.292846060722814e-07,6.864202358079618e-07,5.241407162815831e-07,4.812763460172635e-07,4.1674489889019117e-07,3.738805286258716e-07,3.466729258580963e-07,3.0380855559377673e-07,7.497668592025665e-07,7.069024889382469e-07,7.008422015137564e-07,6.579778312494368e-07,8.552364669592055e-07,8.12372096694886e-07,8.193663764459507e-07,7.765020061816312e-07
-0.5661629872016013,1.2156519759488136,-0.4338282449285714,0.9865203979518316,-0.1685265445086943,1.6027052989154005,-0.5140404394545903,3.7630792977348525e-06,3.7325344484516556e-06,1.1398019814040008e-06,1.1092571321208039e-06,1.0681591028291452e-06,1.0376142535459483e-06,2.2172988501079414e-06,2.1867540008247445e-06,1.6292211876861669e-06,1.59867633840297e-06,1.371294384564892e-06,1.3407495352816951e-06,1.687087203945982e-06,1.6565423546627851e-06,2.4725625545287643e-06,2.4420177052455674e-06,2.1987295775595994e-06,2.1681847282764024e-06,1.9496865297513503e-06,1.9191416804681534e-06,1.9898674827727454e-06,1.9593226334895485e-06,1.7724658185066736e-06,1.7419209692234767e-06,9.813952596389935e-07,9.508504103557966e-07,1.281350406852857e-06,1.25080555756966e-06,1.441662844417147e-06,1.41111799513395e-06,1.273516146857354e-06,1.242971297574157e-06,1.4170156106602533e-06,1.3864707613770564e-06,6.867677743822674e-07,6.562229250990705e-07,8.246085562622819e-07,7.94063706979085e-07,8.507550693478579e-07,8.20210220064661e-07,1.223817195959105e-06,1.193272346675908e-06,6.42709531658683e-07,6.12164682375486e-07,7.339965555265004e-07,7.034517062433035e-07,4.6438754267046e-07,4.338426933872631e-07,5.495759635498201e-07,5.190311142666232e-07
-0.5251310959986846,-0.4840016160991132,-0.38451675618233644,1.2202112906224962,-0.5583940499456583,1.1142507865228861,-0.5259804642185428,9.536616778283521e-08,9.058691320881362e-08,1.1398019814040008e-06,1.1350227268299792e-06,1.0681591028291452e-06,1.0633798482551236e-06,2.1546513567816497e-06,2.1498721022076283e-06,1.6260605637792646e-06,1.621281309205243e-06,1.6316141361102416e-06,1.62683488153622e-06,1.9060909216558418e-06,1.9013116670818202e-06,2.819163636590611e-06,2.814384382016589e-06,2.3688635099221283e-06,2.364084255348107e-06,2.2593692823223224e-06,2.254590027748301e-06,1.5248259098206473e-06,1.5200466552466257e-06,1.8398649857285471e-06,1.8350857311545255e-06,5.724697458209485e-07,5.676904912469269e-07,1.2357381729984126e-06,1.230958918424391e-06,1.311109043928778e-06,1.3063297893547565e-06,1.0304646292766435e-06,1.025685374702622e-06,1.3095069696382271e-06,1.3047277150642056e-06,6.29167372844052e-07,6.243881182700304e-07,5.436470163270215e-07,5.388677617529999e-07,5.413844942095304e-07,5.366052396355088e-07,3.836166110469773e-07,3.7883735647295574e-07,1.1264993874027004e-08,6.485739300005414e-09,7.073528835229934e-08,6.595603377827775e-08,-4.731330880776572e-08,5.209256338178731e-08,1.2768346077490449e-08,7.989091503468859e-09
-0.42976631665112813,-1.1523180385219105,0.20185465015831086,-1.0056853104836578,1.0940540515395094,-1.2857839213601099,-0.5248158930562374,-1.3468058894827809e-06,1.3540981931644178e-06,1.1398019814040008e-06,1.132509677722364e-06,1.0681591028291452e-06,1.0608667991475083e-06,1.998166409057282e-06,1.990874105375645e-06,1.1893444449323294e-06,1.1820521412506925e-06,1.1398019847536752e-06,1.1325096810720383e-06,1.185523792383287e-06,1.1782314887016502e-06,1.1963603225188172e-06,1.1890680188371803e-06,1.4100558458034655e-06,1.4027635421218286e-06,1.1881255154761352e-06,1.1808332117944983e-06,9.590329872481325e-07,9.517406835664956e-07,1.2150011265567406e-06,1.2077088228751037e-06,3.1257405727602146e-07,3.0528175359438456e-07,1.2327321524782194e-06,1.2254398487965825e-06,1.2494925714438604e-06,1.2422002677622235e-06,4.1696682567527217e-07,4.0967452199363527e-07,1.2654530987490066e-06,1.2581607950673697e-06,6.278207662813031e-07,6.205284625996662e-07,3.861787373053856e-07,3.788864336237487e-07,2.898778727686777e-07,2.825855690870408e-07,-8.693691868865796e-08,9.422922237029485e-08,3.6335732424726594e-07,3.5606502056562904e-07,3.2520575420170405e-07,3.1791345052006715e-07,7.91396633987894e-07,7.841043303062571e-07,7.666237905606965e-07,7.593314868790596e-07
-0.5954591493116088,-0.6985667752945577,1.6055746099079733,1.5326029016313554,0.5428589224560638,-1.0546958994323365,-0.523505792127459,-3.676478577181835e-07,3.7776725181431684e-07,1.1398019814040008e-06,1.1296825873078675e-06,1.0681591028291452e-06,1.0580397087330118e-06,2.2603001529622454e-06,2.2501807588661123e-06,1.3944088290392514e-06,1.384289434943118e-06,1.1456376060011347e-06,1.1355182119050014e-06,1.3571146627317904e-06,1.3469952686356571e-06,1.5323588859454512e-06,1.5222394918493178e-06,1.7821300500563571e-06,1.7720106559602238e-06,1.4115747530313467e-06,1.4014553589352134e-06,2.529062689445849e-06,2.518943295349716e-06,1.4968778399681152e-06,1.486758445871982e-06,2.204970954846925e-06,2.1948515607507918e-06,1.7337495833442905e-07,1.6325556423829572e-07,8.972496043479902e-07,8.871302102518568e-07,1.349221940456542e-06,1.3391025463604086e-06,5.777454744701621e-07,5.676260803740288e-07,-6.964764641582651e-07,7.065958582543985e-07,3.634458632681539e-07,3.533264691720206e-07,5.788507777846124e-07,5.68731383688479e-07,1.1512959825822792e-07,1.0501020416209459e-07,3.671200192757568e-07,3.5700062517962347e-07,6.792368729151568e-07,6.691174788190234e-07,8.83795884131994e-07,8.736764900358607e-07,1.1703577911320801e-06,1.1602383970359468e-06
-0.6011621553486546,-0.7318838267696521,0.6719861928378246,0.00521486526353173,0.546408642461824,0.3809494973622852,-0.2604106639467019,-4.3954332378150893e-07,1.0174004384165e-06,1.1398019814040008e-06,5.619448667690098e-07,1.0681591028291452e-06,4.903019881941541e-07,2.268504336544139e-06,1.690647221909148e-06,1.3952900433478533e-06,8.174329287128623e-07,1.1454113591397017e-06,5.675542445047106e-07,1.3577385641602252e-06,7.798814495252342e-07,1.5334143014920022e-06,9.555571868570111e-07,1.7881469131649572e-06,1.2102897985299662e-06,1.41267367680747e-06,8.34816562172479e-07,2.6690306696750475e-06,2.0911735550400565e-06,1.5048091040124814e-06,9.269519893774904e-07,2.953415754110316e-06,2.375558639475325e-06,2.1239916589121795e-06,1.5461345442771884e-06,2.6022028668200417e-06,2.0243457521850506e-06,1.6329328550193601e-06,1.055075740384369e-06,2.47181076069035e-06,1.8939536460553589e-06,1.6347604847610962e-06,1.0569033701261051e-06,2.527826298608794e-06,1.949969183973803e-06,2.502299361932362e-06,1.924442247297371e-06,2.345567697436913e-06,1.7677105828019218e-06,2.1550323072977525e-06,1.5771751926627615e-06,2.173480922379162e-06,1.595623807744171e-06,2.376791716285552e-06,1.798934601650561e-06,2.3780528576461275e-06,1.8001957430111364e-06
-0.43007323549015775,1.794171467512105,-1.179468977076916,1.1590666932749107,-1.4016404755571705,1.6317100856415183,-0.520174365467106,5.011476938917267e-06,4.9941685991672565e-06,1.1398019814040008e-06,1.122493641653991e-06,1.0681591028291452e-06,1.0508507630791353e-06,1.998694153974401e-06,1.9813858142243915e-06,1.4859924582451567e-06,1.4686841184951469e-06,2.2370506309490585e-06,2.219742291199049e-06,2.511989708106552e-06,2.4946813683565418e-06,2.67918394888067e-06,2.6618756091306597e-06,2.4826417607170346e-06,2.465333420967025e-06,2.552743813368145e-06,2.5354354736181347e-06,9.602757550935645e-07,9.429674153435546e-07,1.6581361310732573e-06,1.6408277913232474e-06,3.129862770262924e-07,2.9567793727628255e-07,1.2729061699815707e-06,1.2555978302315609e-06,1.2800357895754087e-06,1.2627274498253988e-06,8.602080558824365e-07,8.428997161324267e-07,1.305383661879566e-06,1.288075322129556e-06,6.856924515749515e-07,6.683841118249416e-07,4.3359968656199195e-07,4.162913468119821e-07,3.986268524134611e-07,3.8131851266345124e-07,8.57458836710677e-07,8.401504969606671e-07,4.1979525537563723e-07,4.0248691562562735e-07,4.4242669967841035e-07,4.251183599284005e-07,1.793669792745417e-08,6.283581774442959e-10,4.6533746810576136e-08,2.9225407060566263e-08
-0.5299307950635697,-0.5822823862224253,0.6577530170938877,0.9317350149792198,-1.5844299826132315,-0.22534158372193697,-0.0019583940750975237,-1.1671567800595273e-07,1.2522916055267027e-06,1.1398019814040008e-06,4.226053883250866e-09,1.0681591028291452e-06,6.741682469160475e-08,2.162125636915989e-06,1.026549709395239e-06,1.5464638675286195e-06,4.108879400078696e-07,2.6038097100926165e-06,1.4682337825718666e-06,4.087345493242956e-06,2.9517695657222056e-06,3.461211575506295e-06,2.3256356479855453e-06,3.2184728471483706e-06,2.0828969196276204e-06,3.621487529084113e-06,2.4859116015633627e-06,1.5683499917729178e-06,4.327740642521679e-07,2.8735575558431245e-06,1.7379816283223746e-06,6.005121903651456e-07,5.350637371556043e-07,1.5863471704791625e-06,4.5077124295841255e-07,1.583827872011874e-06,4.4825194449112407e-07,1.448756405581321e-06,3.1318047806057105e-07,1.6581574852782479e-06,5.22581557757498e-07,1.1219041868626113e-06,1.367174065813862e-08,9.594591865108048e-07,1.7611674100994517e-07,9.544972237695181e-07,1.810787037512318e-07,8.775419691543702e-07,2.580339583663797e-07,7.950227008916483e-07,3.4055322662910166e-07,8.465370494496435e-07,2.890388780711064e-07,1.082642268935656e-06,5.293365858509401e-08,1.1309483041062784e-06,4.627623414471501e-09
0.3548401586714575,1.9685658540498827,1.3752027932020514,-0.015419328072650002,-1.6003128090677423,0.2803510308920044,-0.5209355832680613,5.387805729846859e-06,5.3721400357138026e-06,1.1398019814040008e-06,1.1241362872709444e-06,1.0681591028291452e-06,1.0524934086960888e-06,4.249228820330916e-07,4.0925718790003525e-07,8.686519600206461e-07,8.529862658875897e-07,1.4995485511862603e-06,1.483882857053204e-06,7.123857079858537e-07,6.967200138527973e-07,5.83585452942788e-07,5.679197588097316e-07,6.049621879023495e-07,5.892964937692931e-07,6.990001035468109e-07,6.833344094137545e-07,-2.273454496299216e-07,2.4301114376297797e-07,4.0747337655648423e-07,3.918076824234279e-07,1.0944571589575607e-07,9.378002176269971e-08,1.1607466545473116e-06,1.1450809604142552e-06,1.1494472552477192e-06,1.1337815611146628e-06,4.893620376373606e-07,4.7369634350430424e-07,1.1490463487972729e-06,1.1333806546642165e-06,5.246335475394421e-07,5.089678534063857e-07,1.7532366027751012e-07,1.5965796614445376e-07,1.0676888108147087e-07,9.110318694841451e-08,5.368566585119298e-07,5.211909643788734e-07,6.093023583081946e-07,5.936366641751383e-07,5.963665746978983e-07,5.807008805648419e-07,5.3123366184685e-07,5.155679677137936e-07,5.311593541840902e-07,5.154936600510338e-07
