Model,MSE_Train,NMSE_Train
Model_1,5785.970348636991,4.153630569100068
Model_2,4143.9404856218725,2.974850688902189
Model_3,3803.620746172766,2.7305420616765113
Model_4,655.7662890033318,0.4707612967341253
Model_5,315.04784477740077,0.2261664474490043
Model_6,49.40626311274619,0.035467752581629895
Model_7,44.98779993430732,0.03229582762858721
Model_8,6.909051015279372,0.004959867363872095
Model_9,1.0447382800358922,0.0007499963869825847
Model_10,0.8825101699507065,0.0006335361224781365
Model_11,0.7719683617316504,0.0005541804040565184
Model_12,0.47664559628168274,0.0003421741903341958
Model_13,0.2844504408395519,0.00020420119275991127
Model_14,0.11824356065296432,8.488465002989328e-05
Model_15,0.0781005660300401,5.606680971028697e-05
Model_16,0.010643949184698224,7.641074883822234e-06
Model_17,0.0031058984191486027,2.2296613776000877e-06
Model_18,0.0020012979405706656,1.4366911344074813e-06
Model_19,0.0020013187294837275,1.4367060583458337e-06
