gamma1,lambda1,delta,epsilon,NRow,NCol,FValue,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals,Model_17_Y_pred,Model_17_Residuals,Model_18_Y_pred,Model_18_Residuals,Model_19_Y_pred,Model_19_Residuals,Model_20_Y_pred,Model_20_Residuals,Model_21_Y_pred,Model_21_Residuals,Model_22_Y_pred,Model_22_Residuals,Model_23_Y_pred,Model_23_Residuals,Model_24_Y_pred,Model_24_Residuals,Model_25_Y_pred,Model_25_Residuals
-0.597541810525913,-0.6215163339667974,-0.9383888117306464,-0.7825426357098743,0.9194805077741278,0.8394489935449932,0.642525658132715,4.502379649846342e-09,1.952852867123242e-09,-1.9810242269787264e-09,4.530551009701826e-09,-2.0690226997018187e-09,4.6185494824249185e-09,-5.9922199536406094e-09,8.541746736363708e-09,-4.571809434612094e-09,7.121336217335194e-09,-2.6836128378811564e-09,5.233139620604256e-09,-3.1074810192834826e-10,2.8602748846514483e-09,-1.152591075370379e-09,3.7021178580934786e-09,3.8021149317464815e-10,2.1693152895484516e-09,2.484076051204382e-09,6.545073151871783e-11,1.92284669054913e-09,6.2668009217397e-10,1.9080318531832026e-09,6.414949295398972e-10,-1.2858013139665698e-10,2.6781069141197566e-09,9.835958172382257e-10,1.565930965484874e-09,1.1785290383002645e-09,1.3709977444228353e-09,3.4395163274294235e-09,8.899895447063237e-10,6.723979383457101e-10,1.8771288443773897e-09,3.6737733641981566e-09,1.1242465814750568e-09,5.94761020095032e-10,1.9547657626280678e-09,5.099547242154896e-10,2.03957205850761e-09,2.9990556296871925e-09,4.495288469640927e-10,2.1095037571381114e-09,4.4002302558498836e-10,1.1083358654585968e-09,1.441190917264503e-09,3.7026614850630825e-09,1.1531347023399827e-09,3.360734900016417e-09,8.112081172933174e-10
-0.47960889392480016,-0.5132402557789225,-0.7771429615831764,-1.0758591212050717,1.0346603062483777,-1.498125237150086,0.550519190216391,5.3145308000296405e-09,3.4137563135631697e-09,-1.9810242269787264e-09,3.881798713445197e-09,-2.0690226997018187e-09,3.9697971861682895e-09,4.1545854230669935e-09,2.2538109366005228e-09,2.6426285898527703e-09,7.418541033862995e-10,3.763052730738691e-09,1.8622782442722199e-09,5.4447853851611635e-09,3.5440108986946928e-09,5.652455741177613e-09,3.751681254711142e-09,2.97057486524993e-09,1.069800378783459e-09,5.337982471514145e-09,3.4372079850476745e-09,5.483246002134469e-09,3.5824715156679986e-09,1.427710121797071e-09,4.730643646693998e-10,3.2149047199627414e-09,1.3141302334962706e-09,2.2484088231621798e-09,3.4763433669570903e-10,1.038885542691424e-09,8.618889437750468e-10,-3.120502581551431e-10,2.212824744621614e-09,-2.107104133050886e-09,4.007878619517357e-09,1.0575302087099449e-10,1.7950214655954762e-09,-2.125427018102618e-09,4.026201504569088e-09,-2.133450851841888e-09,4.0342253383083585e-09,1.344752148797577e-09,5.560223376688938e-10,1.8829426832079897e-09,1.7831803258481035e-11,1.5224177660949217e-09,3.7835672037154905e-10,2.42677320285012e-09,5.259987163836492e-10,1.3475719467301393e-09,5.532025397363315e-10
-0.5661629872016013,1.2156519759488136,-0.4338282449285714,0.9865203979518316,-0.1685265445086943,1.6027052989154005,-1.1013534769611761,-3.1693318015031956e-09,6.577511648300144e-09,-1.9810242269787264e-09,7.765819222824613e-09,-2.0690226997018187e-09,7.67782075010152e-09,-5.340652254798888e-09,4.4061911950044516e-09,-6.927441713395164e-09,2.8194017364081753e-09,-4.991529387840984e-09,4.755314061962355e-09,-4.9516218967111536e-09,4.795221553092186e-09,-4.014280398976811e-09,5.7325630508265284e-09,-6.31269014731407e-09,3.4341533024892698e-09,-6.698295955247261e-09,3.048547494556079e-09,-3.047699545586631e-09,6.699143904216708e-09,-1.05947545220807e-08,8.479110722773612e-10,-3.859066738696449e-09,5.88777671110689e-09,-5.970798921882098e-09,3.776044527921241e-09,-6.067202002084184e-09,3.6796414477191557e-09,-9.717829898678298e-09,2.9013551125041714e-11,-1.0446130942001939e-08,6.992874921985991e-10,-1.3983074023926749e-08,4.2362305741234096e-09,-1.3569373041223337e-08,3.8225295914199975e-09,-1.3312641663625407e-08,3.5657982138220678e-09,-7.340127424381119e-09,2.406716025422221e-09,-6.8183136092816846e-09,2.928529840521655e-09,-6.509394165425049e-09,3.237449284378291e-09,-8.475397833188868e-09,1.2714456166144719e-09,-8.21978647674469e-09,1.527056973058649e-09
-0.5251310959986846,-0.4840016160991132,-0.38451675618233644,1.2202112906224962,-0.5583940499456583,1.1142507865228861,-1.01308741014653,-5.918349833780023e-09,3.2061154851768973e-09,-1.9810242269787264e-09,7.143441091978194e-09,-2.0690226997018187e-09,7.055442619255102e-09,-6.045496120893608e-09,3.078969198063313e-09,-5.419928171727587e-09,3.7045371472293333e-09,-3.6920473551676135e-09,5.432417963789307e-09,-4.809743619919651e-09,4.314721699037269e-09,-2.7414547710416324e-09,6.383010547915288e-09,-2.6932960673160085e-09,6.431169251640912e-09,-3.97095822672303e-09,5.15350709223389e-09,-3.5882042925728357e-09,5.536261026384085e-09,-6.5602657661114964e-09,2.564199552845424e-09,-3.761813568924023e-09,5.362651750032897e-09,-6.173857601675892e-09,2.950607717281028e-09,-6.6439604402188014e-09,2.480504878738119e-09,-7.160893084172421e-09,1.9635722347844994e-09,-7.090161750141672e-09,2.034303568815249e-09,-1.0459243375887021e-08,1.3347780569301006e-09,-9.847198109880534e-09,7.227327909236136e-10,-9.653022255537564e-09,5.285569365806435e-10,-8.647351373999825e-09,4.771139449570957e-10,-7.624596259564554e-09,1.4998690593923668e-09,-7.140186222639733e-09,1.984279096317188e-09,-8.666201785895012e-09,4.5826353306190896e-10,-9.310274867745312e-09,1.8580954878839099e-10
-0.42976631665112813,-1.1523180385219105,0.20185465015831086,-1.0056853104836578,1.0940540515395094,-1.2857839213601099,0.4360171770064314,5.7333255816741894e-09,4.63992307326828e-09,-1.9810242269787264e-09,3.0744267353846362e-09,-2.0690226997018187e-09,3.1624252081077286e-09,3.8224355804068385e-09,2.7290330720009287e-09,1.9872811605886374e-09,8.938786521827276e-10,3.0015729973566084e-09,1.9081704889506986e-09,4.944890348203616e-09,3.8514878397977066e-09,4.555530747724962e-09,3.462128239319052e-09,2.043808522344453e-09,9.504060139385432e-10,4.547115035252324e-09,3.453712526846414e-09,4.318574995422529e-09,3.225172487016619e-09,3.681591724757242e-10,7.252433359301856e-10,1.3835951929642951e-09,2.901926845583853e-10,8.999215105172921e-10,1.934809978886177e-10,-3.491367936120476e-10,1.4425393020179574e-09,-1.1864383424889337e-09,2.2798408508948433e-09,-2.422827444317655e-09,3.516229952723565e-09,-1.6220955493424607e-09,2.7154980577483706e-09,-2.109615436123584e-09,3.2030179445294937e-09,-2.132482086129973e-09,3.225884594535883e-09,-1.2446358369473078e-09,2.3380383453532176e-09,1.0110994620490604e-09,8.230304635684942e-11,5.975298843873391e-10,4.958726240185708e-10,1.1851490769994443e-09,9.174656859353451e-11,4.484600442871465e-10,6.449424641187633e-10
-0.5954591493116088,-0.6985667752945577,1.6055746099079733,1.5326029016313554,0.5428589224560638,-1.0546958994323365,1.5018783514736533,1.8467607153479828e-09,6.7621991238237275e-09,-1.9810242269787264e-09,1.0589984066150437e-08,-2.0690226997018187e-09,1.0677982538873529e-08,3.319659869504302e-09,5.2892999696674085e-09,1.274075911102992e-09,7.334883928068718e-09,2.8116409969356667e-09,5.7973188422360435e-09,3.4249425432176905e-09,5.18401729595402e-09,5.188556541527254e-09,3.4204032976444565e-09,4.837862217890426e-09,3.771097621281284e-09,6.079978431675444e-09,2.528981407496266e-09,5.441336088434546e-09,3.167623750737164e-09,8.068698081284566e-09,5.402617578871441e-10,5.798716641940143e-09,2.810243197231567e-09,7.331706341174334e-09,1.277253497997376e-09,7.047981117469706e-09,1.5609787217020046e-09,7.279798093623686e-09,1.329161745548024e-09,1.3373318526526791e-08,4.764358687355081e-09,9.056312735229651e-09,4.473528960579407e-10,1.3041430543354735e-08,4.432470704183025e-09,1.2303701159765918e-08,3.6947413205942078e-09,1.0674829034234059e-08,2.0658691950623486e-09,1.3459648994875479e-08,4.8506891557037686e-09,1.3771943764146911e-08,5.162983924975201e-09,8.89519195975348e-09,2.862321205817703e-10,1.3113903489625613e-08,4.504943650453903e-09
-0.6011621553486546,-0.7318838267696521,0.6719861928378246,0.00521486526353173,0.546408642461824,0.3809494973622852,1.9096816541286132,1.8717903579041925e-09,9.612655683596807e-09,-1.9810242269787264e-09,1.3465470268479726e-08,-2.0690226997018187e-09,1.3553468741202819e-08,-4.461929120509857e-09,1.5946375162010857e-08,-3.1567458374766433e-09,1.4641191878977643e-08,-1.341444601657837e-09,1.2825890643158837e-08,-9.12372352068795e-11,1.157568327670788e-08,4.2267492028262833e-10,1.1061771121218372e-08,2.4026853159340015e-09,9.081760725566998e-09,3.6529236487285086e-09,7.831522392772491e-09,2.19765813970933e-09,9.286787901791669e-09,5.397947291216231e-09,6.086498750284769e-09,1.4907902202770998e-09,9.9936558212239e-09,3.584742120197691e-09,7.89970392130331e-09,3.762389210359804e-09,7.722056831141196e-09,5.815235317416774e-09,5.669210724084226e-09,9.154603101793039e-09,2.329842939707961e-09,7.325628522529208e-09,4.158817518971792e-09,1.0506485500458433e-08,9.779605410425674e-10,9.945597460176052e-09,1.538848581324948e-09,7.0741499830270306e-09,4.4102960584739694e-09,7.84603967388758e-09,3.6384063676134204e-09,7.795230999681375e-09,3.6892150418196245e-09,7.776599021333073e-09,3.7078470201679273e-09,8.308403555528155e-09,3.176042485972845e-09
-0.43007323549015775,1.794171467512105,-1.179468977076916,1.1590666932749107,-1.4016404755571705,1.6317100856415183,-1.4419057026876743,-1.1864215024727132e-08,2.8391654577986857e-10,-1.9810242269787264e-09,1.0167107343528274e-08,-2.0690226997018187e-09,1.0079108870805182e-08,-5.286332571380524e-09,6.861798999126477e-09,-7.01695897171392e-09,5.131172598793081e-09,-5.471025453153254e-09,6.677106117353746e-09,-8.398325211470538e-09,3.749806359036463e-09,-5.2405120000393295e-09,6.907619570467671e-09,-9.017096452997586e-09,3.1310351175094148e-09,-1.2224191866866942e-08,7.60602963599416e-11,-8.379396913232553e-09,3.7687346572744475e-09,-1.564462651052574e-08,3.496494940018741e-09,-7.881790345017067e-09,4.266341225489934e-09,-9.603316476925921e-09,2.5448150935810797e-09,-1.0185432221580969e-08,1.9626993489260318e-09,-1.4256418769479525e-08,2.1082871989725245e-09,-1.265753954801342e-08,5.094079775064189e-10,-1.8224564765618304e-08,6.076433195111303e-09,-1.8270049130066855e-08,6.121917559559855e-09,-1.8051089609216542e-08,5.902958038709541e-09,-1.1047002398221221e-08,1.1011291722857793e-09,-1.2024837665994421e-08,1.232939045125795e-10,-1.1166301985025095e-08,9.818295854819053e-10,-1.1844962428311179e-08,3.0316914219582186e-10,-1.3515053011512979e-08,1.366921441005978e-09
-0.5299307950635697,-0.5822823862224253,0.6577530170938877,0.9317350149792198,-1.5844299826132315,-0.22534158372193697,-0.1935796955057657,-1.3153093025587734e-08,9.807107456084274e-09,-1.9810242269787264e-09,1.3649613425247339e-09,-2.0690226997018187e-09,1.2769628698016415e-09,-4.2871606514237504e-10,2.9172695043610852e-09,-1.2855541671409827e-09,2.0604314023624776e-09,2.125682279506869e-10,3.558553797454147e-09,-4.0249685485443635e-09,6.789829790409032e-10,1.7992526153560137e-09,5.1452381848594736e-09,2.5403501870716053e-09,5.886335756575066e-09,-1.0849861380770178e-09,2.2609994314264425e-09,-2.764791468410215e-09,5.811941010932451e-10,1.0863613653811563e-09,4.432346934884616e-09,6.520138754683295e-10,3.99799944497179e-09,-1.197604448768066e-09,2.148381120735394e-09,-1.9523526466809976e-09,1.3936329228224627e-09,-1.5948535043800793e-09,1.751132065123381e-09,1.2117690737406187e-09,4.557754643244079e-09,-3.6621513580572804e-09,3.161657885538201e-10,1.3177879786727324e-09,4.663773548176193e-09,1.4147861923406118e-09,4.760771761844072e-09,-5.467757073875499e-09,2.1217715043720386e-09,-3.5972484250513084e-09,2.5126285554784815e-10,-2.6304522547067566e-09,7.155333147967037e-10,-3.852580648498726e-09,5.065950789952658e-10,-3.7576671019757914e-09,4.1168153247233114e-10
0.3548401586714575,1.9685658540498827,1.3752027932020514,-0.015419328072650002,-1.6003128090677423,0.2803510308920044,-0.7575968444503308,-1.3265085370982195e-08,5.942124825777235e-09,-1.9810242269787264e-09,5.3419363182262344e-09,-2.0690226997018187e-09,5.253937845503142e-09,-3.875884075042113e-09,3.447076470162848e-09,-2.846269535943219e-09,4.476691009261741e-09,-3.825856157817486e-09,3.497104387387475e-09,-7.491732544367425e-09,1.6877199916246375e-10,-3.7583093622403315e-09,3.5646511829646294e-09,-6.764182875292397e-09,5.587776699125639e-10,-1.0425860716521522e-08,3.102900171316561e-09,-1.2091211024214913e-08,4.7682504790099525e-09,-5.6150982064663885e-09,1.7078623387385723e-09,-6.233090261056449e-09,1.0898702841485115e-09,-6.203651269633483e-09,1.1193092755714781e-09,-7.327305427752658e-09,4.344882547697088e-12,-5.343305686057505e-09,1.9796548591474556e-09,-4.073363849802633e-09,3.249596695402328e-09,-5.3991500698289684e-09,1.9238104753759924e-09,-9.675221334701029e-10,6.355438411734858e-09,-4.3951581273220955e-09,2.9278024178828653e-09,-7.3186302126808e-09,4.330332524160816e-12,-7.496768400942886e-09,1.7380785573792565e-10,-7.321708521708003e-09,1.252023496958228e-12,-7.323350430619007e-09,3.89885414046538e-13,-7.087703119447411e-09,2.352574257575501e-10
2.917292212132508,0.0536489688886692,0.23183548029987866,-0.20223351370353895,-0.470812038306053,1.245389080002379,-1.3927677004384171,-5.300795085198182e-09,6.5008565854211175e-09,-1.9810242269787264e-09,9.820627443640573e-09,-2.0690226997018187e-09,9.73262897091748e-09,-5.920836764559423e-09,5.880814906059876e-09,-5.82465931502932e-09,5.9769923555899794e-09,-1.4071002003454686e-08,2.2693503328353872e-09,-1.3402981087829913e-08,1.601329417210614e-09,-6.693477935669192e-09,5.108173734950107e-09,-1.1042983240006046e-08,7.586684306132536e-10,-1.2120248883498258e-08,3.18597212878959e-10,-1.106307780420445e-08,7.385738664148499e-10,-1.3274429208473777e-08,1.4727775378544777e-09,-9.561066346151968e-09,2.240585324467331e-09,-9.958416800217803e-09,1.8432348704014965e-09,-1.0907899871474368e-08,8.937517991449317e-10,-1.0984476313871924e-08,8.171753567473756e-10,-1.0984939074812576e-08,8.16712595806723e-10,-1.047971744455119e-08,1.3219342260681097e-09,-1.0566237164706794e-08,1.2354145059125056e-09,-1.0597351674451897e-08,1.2042999961674026e-09,-9.44210557224577e-09,2.35954609837353e-09,-1.0977116362508956e-08,8.245353081103437e-10,-1.0853070317167492e-08,9.48581353451807e-10,-1.0903011903314859e-08,8.986397673044402e-10,-1.0111445168637606e-08,1.6902065019816934e-09
-0.26918000793969366,-0.5104879848180407,-0.21093903290739802,-1.367823018359838,1.2063836343427812,0.8555288227871655,-0.8357913276397527,6.5253794060580085e-09,1.439970173780469e-08,-1.9810242269787264e-09,5.893298104767954e-09,-2.0690226997018187e-09,5.805299632044862e-09,-6.0104900345840835e-09,1.8638322971625973e-09,-4.6214364924348235e-09,3.2528858393118573e-09,-3.6839996995816964e-09,4.190322632164984e-09,-4.525854324359645e-10,7.421736899310716e-09,-3.6710103908668907e-09,4.20331194087979e-09,-4.879737486500429e-09,2.9945848452462514e-09,-2.1194095075800086e-09,5.754912824166672e-09,-2.615715337196348e-09,5.258606994550333e-09,-7.837230464110251e-09,3.7091867636429606e-11,-7.622321251920238e-09,2.5200107982644284e-10,-7.617957670145447e-09,2.563646616012333e-10,-8.503854545842387e-09,6.295322140957063e-10,-7.461320333848576e-09,4.1300199789810505e-10,-8.046609850682571e-09,1.722875189358902e-10,-5.4343396986866225e-09,2.4399826330600583e-09,-6.143038385003011e-09,1.7312839467436698e-09,-6.275208190950557e-09,1.5991141407961234e-09,-5.657493357574686e-09,2.2168289741719944e-09,-7.767300206653125e-09,1.0702212509355554e-10,-8.043407966319992e-09,1.6908563457331126e-10,-7.75281207119471e-09,1.2151026055197043e-10,-6.275838792124792e-09,1.5984835396218884e-09
-0.5567288955587838,1.450272924618088,0.2190893046434231,1.4443840468756457,1.1236265914244057,1.094364106166653,-0.85755134897282,5.941846282348356e-09,1.3969601999009447e-08,-1.9810242269787264e-09,6.046731489682364e-09,-2.0690226997018187e-09,5.958733016959272e-09,-6.057552903809726e-09,1.9702028128513648e-09,-5.35855205752405e-09,2.6692036591370405e-09,-3.5425172387981587e-09,4.485238477862932e-09,-5.365054168307569e-10,7.491250299830335e-09,-2.393770164235172e-09,5.633985552425919e-09,-1.9662603101410555e-09,6.061495406520036e-09,6.047111701355833e-10,8.632466886796674e-09,9.95281197524556e-10,9.023036914185647e-09,-4.731511376335743e-09,3.296244340325348e-09,-2.602102930936499e-09,5.425652785724592e-09,-4.767389446084817e-09,3.260366270576274e-09,-5.060555205702436e-09,2.9672005109586546e-09,-4.113467055803743e-09,3.9142886608573474e-09,-6.589404880344422e-09,1.4383508363166687e-09,-7.233923265025496e-09,7.938324516355949e-10,-7.856029292989984e-09,1.7172642367110693e-10,-7.643505660154086e-09,3.842500565070045e-10,-4.602435176260614e-09,3.425320540400477e-09,-1.6637285154160891e-09,6.3640272012450015e-09,-1.9697231325358138e-09,6.058032584125277e-09,-4.519937109286884e-09,3.5078186073742068e-09,-4.547340172671263e-09,3.4804155439898278e-09
-0.40132964545664573,-0.7685434516399499,1.2344149152216948,-0.5768866779976944,0.4014229929545065,1.656617580757967,-1.2608955886162123,8.494733928874038e-10,1.1721273746589804e-08,-1.9810242269787264e-09,8.890776126723674e-09,-2.0690226997018187e-09,8.802777654000582e-09,-5.2394035125595955e-09,5.632396841142805e-09,-7.093830789302724e-09,3.777969564399677e-09,-5.62684819854873e-09,5.244952155153671e-09,-4.0858742485391095e-09,6.785926105163291e-09,-5.531285245754915e-09,5.340515107947486e-09,-9.746984240907297e-09,1.1248161127951038e-09,-8.828487763260738e-09,2.0433125904416625e-09,-4.641586661664231e-09,6.2302136920381695e-09,-1.642993884896369e-08,5.558138495261288e-09,-8.509165569102822e-09,2.3626347845995783e-09,-9.918531942113643e-09,9.532684115887572e-10,-1.0529667860808893e-08,3.4213249289350763e-10,-1.4487728430494207e-08,3.615928076791806e-09,-1.5050909892931573e-08,4.179109539229172e-09,-1.3178821222458651e-08,2.3070208687562505e-09,-1.2121199036957803e-08,1.2493986832554026e-09,-1.2312741905708168e-08,1.4409415520057673e-09,-9.152150366740725e-09,1.7196499869616756e-09,-9.159309284881925e-09,1.7124910688204758e-09,-9.25227763914074e-09,1.61952271456166e-09,-8.97321599301236e-09,1.8985843606900405e-09,-7.91789458503213e-09,2.9539057686702705e-09
