complexity,loss,equation,score,sympy_format,lambda_format
1,1.554,x4,0.0,x4,PySRFunction(X=>x4)
3,0.9355,x0 - x0,0.25375319260672424,-x0 + x0,PySRFunction(X=>-x0 + x0)
5,0.9346,-0.01248,0.00048125772390926897,-0.0124800000000000,PySRFunction(X=>-0.0124800000000000)
6,0.767,x5 / (x5 - exp(x5)),0.19763182889906963,x5/(x5 - exp(x5)),PySRFunction(X=>x5/(x5 - exp(x5)))
7,0.727,-0.4377 * x5,0.05356032383373688,-0.4377*x5,PySRFunction(X=>-0.4377*x5)
9,0.5933,(x0 + x5) * -0.4119,0.10161315213446089,(x0 + x5)*(-0.4119),PySRFunction(X=>(x0 + x5)*(-0.4119))
11,0.5767,((x4 - x0) - x5) * 0.3496,0.014188986321615372,(-x0 + x4 - x5)*0.3496,PySRFunction(X=>(-x0 + x4 - x5)*0.3496)
12,0.574,-0.4763 * (x5 + (x0 / exp(x0))),0.004692804301800575,-0.4763*(x0/exp(x0) + x5),PySRFunction(X=>-0.4763*(x0/exp(x0) + x5))
13,0.4407,(exp(x5) * -0.3245) - (x0 / exp(x0)),0.2642650244716251,-x0/exp(x0) + exp(x5)*(-0.3245),PySRFunction(X=>-x0/exp(x0) + exp(x5)*(-0.3245))
15,0.42,(-0.3245 * (exp(x5) - x4)) - (x0 / exp(x0)),0.024054830285263673,-x0/exp(x0) - 0.3245*(-x4 + exp(x5)),PySRFunction(X=>-x0/exp(x0) - 0.3245*(-x4 + exp(x5)))
20,0.41,(((1.68 - x4) + x5) * -0.3328) - (x0 / exp(x0)),0.0048195103158121064,-x0/exp(x0) + (-x4 + x5 + 1.68)*(-0.3328),PySRFunction(X=>-x0/exp(x0) + (-x4 + x5 + 1.68)*(-0.3328))
22,0.3618,(exp(x5) + (0.2305 / (-0.6636 - x0))) * -0.4697,0.0625327933685793,(exp(x5) + 0.2305/(-x0 - 0.6636))*(-0.4697),PySRFunction(X=>(exp(x5) + 0.2305/(-x0 - 0.6636))*(-0.4697))
23,0.3604,((x0 / exp(x0)) * (x0 / exp(x0))) + (-0.5386 - (0.4507 * x5)),0.003877047227011892,x0*x0/(exp(x0)*exp(x0)) - 0.4507*x5 - 0.5386,PySRFunction(X=>x0*x0/(exp(x0)*exp(x0)) - 0.4507*x5 - 0.5386)
25,0.2861,(((x5 / x5) + x5) + (0.10693 / (-0.6377 - x0))) * -0.5107,0.1154365628390591,(x5 + 0.10693/(-x0 - 0.6377) + x5/x5)*(-0.5107),PySRFunction(X=>(x5 + 0.10693/(-x0 - 0.6377) + x5/x5)*(-0.5107))
27,0.2695,((x5 + 1.439) + (0.1333 / (-0.639 - x0))) * -0.4783,0.029886504853506368,(x5 + 1.439 + 0.1333/(-x0 - 0.639))*(-0.4783),PySRFunction(X=>(x5 + 1.439 + 0.1333/(-x0 - 0.639))*(-0.4783))
28,0.2386,(((-0.6777 - x0) * (x4 + -10.49)) ^ -1.821) - exp(x5 - (x5 / x5)),0.12177988068523614,((-x0 - 0.6777)*(x4 - 10.49))**(-1.821) - exp(x5 - x5/x5),PySRFunction(X=>((-x0 - 0.6777)*(x4 - 10.49))**(-1.821) - exp(x5 - x5/x5))
30,0.1924,(((x2 + -10.49) * (-0.6797 - x0)) ^ (-2.34 - x4)) - exp(x5 - (x5 / x5)),0.10760598571610487,((-x0 - 0.6797)*(x2 - 10.49))**(-x4 - 2.34) - exp(x5 - x5/x5),PySRFunction(X=>((-x0 - 0.6797)*(x2 - 10.49))**(-x4 - 2.34) - exp(x5 - x5/x5))
34,0.1854,(((-0.7153 - x0) * (x4 + -7.92)) ^ (-2.924 - x2)) - exp(x5 - (0.7544 ^ x3)),0.009265221274962814,((-x0 - 0.7153)*(x4 - 7.92))**(-x2 - 2.924) - exp(-0.7544**x3 + x5),PySRFunction(X=>((-x0 - 0.7153)*(x4 - 7.92))**(-x2 - 2.924) - exp(-0.7544**x3 + x5))
36,0.1664,(((x2 + -6.957) * (-0.7227 - x0)) ^ (-3.234 + (x2 - x4))) - exp(x5 - (0.792 ^ x3)),0.054060562372323324,((-x0 - 0.7227)*(x2 - 6.957))**(x2 - x4 - 3.234) - exp(-0.792**x3 + x5),PySRFunction(X=>((-x0 - 0.7227)*(x2 - 6.957))**(x2 - x4 - 3.234) - exp(-0.792**x3 + x5))
38,0.1609,(((x2 + -6.957) * (-0.7227 - x0)) ^ ((-3.705 - x0) + (x2 - x4))) - exp(x5 - (0.8047 ^ x3)),0.016805737194385384,((-x0 - 0.7227)*(x2 - 6.957))**(-x0 + x2 - x4 - 3.705) - exp(-0.8047**x3 + x5),PySRFunction(X=>((-x0 - 0.7227)*(x2 - 6.957))**(-x0 + x2 - x4 - 3.705) - exp(-0.8047**x3 + x5))
40,0.1486,(((x4 + -6.957) * (-0.724 - x0)) ^ (-2.398 - x2)) - ((x5 + 1.786) / exp(0.777 ^ x3)),0.039762460857339275,((-x0 - 0.724)*(x4 - 6.957))**(-x2 - 2.398) - (x5 + 1.786)/exp(0.777**x3),PySRFunction(X=>((-x0 - 0.724)*(x4 - 6.957))**(-x2 - 2.398) - (x5 + 1.786)/exp(0.777**x3))
43,0.128,((x5 + 1.507) / -2.125) + ((-0.0302 / (-0.649 - x0)) * ((x4 + 2.602) + (x2 * 0.6943))),0.04974262278801387,(x5 + 1.507)/(-2.125) - 0.0302*(x2*0.6943 + x4 + 2.602)/(-x0 - 0.649),PySRFunction(X=>(x5 + 1.507)/(-2.125) - 0.0302*(x2*0.6943 + x4 + 2.602)/(-x0 - 0.649))
45,0.1252,((x2 + (x4 + 3.021)) * ((x0 * 0.04285) / (-0.652 - x0))) + ((0.8423 - (x5 * -0.664)) / -1.438),0.011058902626809496,(x2 + x4 + 3.021)*x0*0.04285/(-x0 - 0.652) + (0.8423 - (-0.664)*x5)/(-1.438),PySRFunction(X=>(x2 + x4 + 3.021)*x0*0.04285/(-x0 - 0.652) + (0.8423 - (-0.664)*x5)/(-1.438))
47,0.099,(((x0 * 0.04285) / (-0.652 - x0)) * ((x2 - x3) + (x4 + 3.021))) + ((0.8423 - (x5 * -0.664)) / -1.438),0.11739630426570412,x0*0.04285*(x2 - x3 + x4 + 3.021)/(-x0 - 0.652) + (0.8423 - (-0.664)*x5)/(-1.438),PySRFunction(X=>x0*0.04285*(x2 - x3 + x4 + 3.021)/(-x0 - 0.652) + (0.8423 - (-0.664)*x5)/(-1.438))
