Complexity,Loss,Equation
1,1.464,"x1"
3,0.994,"x4 - x4"
5,0.9893,"-0.02075"
6,0.7427,"x0 / (x0 - exp(x0))"
8,0.7363,"(x1 - x0) / exp(x0 / x0)"
9,0.7007,"x0 / (-1.492 - x0)"
10,0.552,"-0.543 - (x0 / exp(x0))"
12,0.531,"((-0.8223 - x0) - x0) / exp(x0)"
15,0.4434,"(-0.4983 - x0) / (x0 + 0.7026)"
19,0.3787,"(-0.386 / exp(x1)) + (9.74e-5 ^ (exp(x0) + x0))"
23,0.3674,"(0.0007424 ^ (x0 + 0.501)) - (0.8174 ^ (x1 + x2))"
24,0.3591,"(0.0007424 ^ (x0 + 0.522)) - (0.8276 ^ exp(x2 + x1))"
25,0.3447,"(0.001604 ^ (x0 + 0.4814)) - (0.7983 ^ ((x2 + x1) + x0))"
27,0.3306,"(0.0007424 ^ (x0 + exp(-0.6904))) - (0.8193 ^ ((x2 + x1) / exp(x0)))"
30,0.3281,"(0.00432 ^ ((-0.0441 * x1) + (x0 + 0.4897))) - exp(-0.163 * x2)"
