Model,MSE_Train,NMSE_Train
Model_1,1403798271830147.2,1.6784812715070334
Model_2,1403453704657634.0,1.6780692824360641
Model_3,1373110828036523.0,1.6417891764164254
Model_4,1098734542529458.4,1.3137253329064391
Model_5,176338639845.58698,0.00021084304658529595
Model_6,24110667.012403447,2.882843200191531e-08
Model_7,24110667.012406677,2.8828432001919172e-08
Model_8,24077795.531480733,2.878912851636283e-08
Model_9,671605.4605269118,8.030193582348794e-10
Model_10,605933.271298887,7.244970079156999e-10
Model_11,3769.0121410687716,4.506499557531868e-12
