Model,MSE_Train,NMSE_Train,RMSE_Train,MSE_Test,NMSE_Test,RMSE_Test,MSE_Validation,NMSE_Validation,RMSE_Validation
Model_1,1.1775604000609113e-17,1.469046293655983,3.431559995193019e-09,1.5656864616980663e-17,1.36527500228893,3.956875613028626e-09,1.461254682062604e-17,1.2416773338377392,3.822636108842436e-09
Model_2,8.015815465762777e-18,1.0,2.831221550102142e-09,1.1467920082570468e-17,1.0,3.386431762574062e-09,1.1768392981340827e-17,1.0,3.4305091431653153e-09
Model_3,8.01960047691342e-18,1.0004721929,2.8318899125695936e-09,1.1473335153011225e-17,1.0004721929,3.3872311927311997e-09,1.1773949932951025e-17,1.0004721929,3.4313189786073555e-09
Model_4,6.7689798377673595e-18,0.8444530524285504,2.6017263187674757e-09,9.376984067163327e-18,0.8176708592009589,3.062186158149652e-09,1.012319492400125e-17,0.860201978303402,3.181696862367823e-09
Model_5,6.113806104995256e-18,0.7627179207291634,2.4726111916343128e-09,7.349722730229959e-18,0.6408941357553096,2.711037205615216e-09,9.435089907443072e-18,0.8017313767820905,3.071659145713123e-09
Model_6,5.686873692100304e-18,0.7094566630669243,2.3847166901123294e-09,7.061872206355134e-18,0.6157936361178632,2.657418334842133e-09,7.89190524424816e-18,0.6706017768748066,2.8092535030232073e-09
Model_7,4.967278928703488e-18,0.6196847906391776,2.228739313760918e-09,5.9089803414501356e-18,0.5152617300177131,2.430839431441356e-09,7.868103699633484e-18,0.6685792794401598,2.8050140284200867e-09
Model_8,4.265617229809971e-18,0.5321501284590837,2.0653370741382558e-09,5.148309942053339e-18,0.44893144571856614,2.2689887487718705e-09,6.403233457789132e-18,0.5441043197607073,2.530461115644564e-09
Model_9,3.946232822612964e-18,0.49230584704303004,1.9865127290337116e-09,4.6244901389912354e-18,0.40325447907679196,2.1504627732167873e-09,5.998701267157399e-18,0.5097298566311081,2.4492246257045103e-09
Model_10,3.6068558922680275e-18,0.44996743097114233,1.8991724229958763e-09,4.141964711628004e-18,0.36117837252137586,2.0351817392134798e-09,5.870788458610109e-18,0.4988606743434245,2.422970998301488e-09
Model_11,3.344814570819691e-18,0.4172768928009999,1.8288834218778656e-09,3.707428491984264e-18,0.32328691386845326,1.9254683824940527e-09,5.6644876841355475e-18,0.48133060249745047,2.3800184209655913e-09
Model_12,3.1648537559548466e-18,0.3948261745136971,1.7790035851438991e-09,3.4923657486205844e-18,0.3045334919911467,1.868787240062545e-09,5.2824121505237565e-18,0.44886435717257184,2.2983498755680688e-09
Model_13,3.127263037900255e-18,0.3901366057212082,1.7684069209037424e-09,3.6454518283286375e-18,0.3178825630176113,1.9093066354906532e-09,5.400841670361738e-18,0.4589277124688944,2.323971099295716e-09
Model_14,3.1011377402588598e-18,0.3868773867742424,1.7610047530483443e-09,3.618432578917583e-18,0.31552649066826527,1.9022178053308153e-09,5.344446217338986e-18,0.4541356008261095,2.3118058346969767e-09
Model_15,2.566170030223152e-18,0.3201383616157084,1.601926974060663e-09,2.901564018322779e-18,0.253015716662756,1.7033977862856282e-09,4.35732390888616e-18,0.37025649260649607,2.0874203958202e-09
