Model,MSE_Train,NMSE_Train
Model_1,3457.6802703980443,3256.6416034936974
Model_2,0.5148716717808962,0.4849356723746446
Model_3,0.5148716717808962,0.4849356723746446
Model_4,0.4979178410303888,0.4689675821398765
Model_5,0.0008883343287388967,0.0008366842236832096
Model_6,0.0008883343287388967,0.0008366842236832096
Model_7,0.0008770719096934815,0.0008260766314389861
Model_8,0.0008752877846928901,0.000824396240179996
Model_9,0.0008752838285280689,0.0008243925140370506
Model_10,0.0008709288990749068,0.0008202907916890167
Model_11,0.0008565024117089549,0.0008067030984166059
Model_12,0.0008449686223387735,0.0007958399140353206
Model_13,0.0008267220630857801,0.0007786542579488859
Model_14,0.000826715854694569,0.0007786484105299439
Model_15,0.0008249593912239235,0.0007769940724864606
Model_16,0.0008227558960521941,0.0007749186943461547
Model_17,0.000809678916151059,0.0007626020446088482
Model_18,0.0007528885643515806,0.0007091136339161113
