complexity,loss,score,equation,sympy_format,lambda_format
1,0.75137866,0.0,x0,x0,PySRFunction(X=>x0)
2,0.4853102,0.4371214582998155,log(x0),log(x0),PySRFunction(X=>log(x0))
3,0.2684646,0.5920692124359802,x0 / x0,x0/x0,PySRFunction(X=>x0/x0)
4,0.0039268555,4.224880083299305,log(x0 + x0),log(2*x0),PySRFunction(X=>log(2*x0))
6,0.0037414157,0.024187454584022643,x0 - (log(x0) ^ x0),x0 - log(x0)**x0,PySRFunction(X=>x0 - log(x0)**x0)
8,0.0011234886,0.6015127017423688,(log(x0) ^ x0) + cos(cos(x0)),log(x0)**x0 + cos(cos(x0)),PySRFunction(X=>log(x0)**x0 + cos(cos(x0)))
9,0.00016764506,1.9023449383830355,0.79498696 + sin(log(x0)),sin(log(x0)) + 0.79498696,PySRFunction(X=>sin(log(x0)) + 0.79498696)
10,2.3635963e-05,1.959079598254881,log(x0) + (0.8498363 ^ x0),0.8498363**x0 + log(x0),PySRFunction(X=>0.8498363**x0 + log(x0))
11,2.3635801e-05,6.853985816975148e-06,(sin(1.0156913) ^ x0) + log(x0),0.849845092416553**x0 + log(x0),PySRFunction(X=>0.849845092416553**x0 + log(x0))
14,2.045301e-05,0.04821083138864921,log((1.4843072 * x0) + 1.115536),log(1.4843072*x0 + 1.115536),PySRFunction(X=>log(1.4843072*x0 + 1.115536))
15,2.7403244e-06,2.0100537523692124,0.6676493 + cos(sin(0.33059117 + x0)),cos(sin(x0 + 0.33059117)) + 0.6676493,PySRFunction(X=>cos(sin(x0 + 0.33059117)) + 0.6676493)
18,2.7402527e-06,8.721709252555692e-06,sin(cos(cos(0.7213062))) + cos(sin(x0 + 0.33059525)),cos(sin(x0 + 0.33059525)) + sin(cos(cos(0.7213062))),PySRFunction(X=>cos(sin(x0 + 0.33059525)) + sin(cos(cos(0.7213062))))
19,2.952316e-07,2.22804528833915,cos(sin(x0 / 1.2642604)) + cos(sin(x0 + 0.5944312)),cos(sin(x0/1.2642604)) + cos(sin(x0 + 0.5944312)),PySRFunction(X=>cos(sin(x0/1.2642604)) + cos(sin(x0 + 0.5944312)))
