Model,MSE_Train,NMSE_Train
Model_1,3080.073377788868,3344.5273555717854
Model_2,1.2764201623301825,1.3860131323174294
Model_3,1.1762293643656956,1.2772199889510372
Model_4,0.49858257006523676,0.5413906878385985
Model_5,0.27354054106431647,0.2970266322370147
Model_6,0.06560535556286899,0.07123820748372756
Model_7,0.06560535556286898,0.07123820748372754
Model_8,0.06513356423940175,0.07072590832915665
Model_9,0.06304502853972846,0.06845805171540931
Model_10,0.06260992754247781,0.06798559310509333
Model_11,0.0615355560646758,0.06681897648372749
Model_12,0.06089027882946085,0.0661182959802476
Model_13,0.06027616802933426,0.06545145785061514
Model_14,0.06027616802933415,0.06545145785061503
Model_15,0.06019204736398833,0.0653601146155977
Model_16,0.058330476095035166,0.0633387095158822
Model_17,0.05463603305171416,0.05932706293918302
Model_18,0.05423414298242653,0.05889066673500231
Model_19,0.05423414298269412,0.058890666735292876
Model_20,0.05406535822229035,0.05870739017686903
Model_21,0.05258908786803669,0.057104367787978574
Model_22,0.05258908786922541,0.057104367789269354
Model_23,0.05023099395301946,0.05454380878874972
