Model,MSE_Train,NMSE_Train
Model_1,736.5172648299759,22.074813264416164
Model_2,350.8351629784286,10.515192350755903
Model_3,66.3807244724749,1.989555665643243
Model_4,23.360903730803702,0.7001703994875672
Model_5,10.441695009668965,0.31295731751195105
Model_6,4.988059599773271,0.1495015656451614
Model_7,2.269046817592253,0.06800761798588616
Model_8,0.9782285705621516,0.02931935754426781
Model_9,0.3142810876896385,0.009419597685721502
Model_10,0.31220482453079124,0.009357368158040408
Model_11,0.061121114333608055,0.0018319152175460512
Model_12,0.025118945253586263,0.0007528622238068163
Model_13,0.01706054832175945,0.0005113368503022505
Model_14,0.00463500797079071,0.00013891994162269251
Model_15,0.0033518153004554766,0.00010046023411474035
Model_16,0.002574191301555429,7.71533744043847e-05
