Model,MSE_Train,NMSE_Train
Model_1,1247672891933735.2,1.541557328924144
Model_2,1247369401031458.8,1.5411823519348298
Model_3,1220525740800323.2,1.5080157732330026
Model_4,971859468355788.0,1.2007771394361242
Model_5,155306574150.6773,0.0001918884261731584
Model_6,21192337.36164709,2.6184108982480893e-08
Model_7,20833143.141739298,2.574030797839892e-08
Model_8,669213.4664117306,8.268440634009746e-10
Model_9,95472.71535551839,1.1796093753426253e-10
Model_10,24121.892110948836,2.980370881787628e-11
Model_11,3592.02685435093,4.438114636308941e-12
Model_12,3418.4554860813105,4.2236592156796424e-12
