complexity,loss,equation,score,sympy_format,lambda_format
1,1.469,x4,0.0,x4,PySRFunction(X=>x4)
3,0.998,x0 - x0,0.1932919499312067,-x0 + x0,PySRFunction(X=>-x0 + x0)
5,0.9976,0.02686,0.00020044097281859567,0.0268600000000000,PySRFunction(X=>0.0268600000000000)
6,0.8438,x0 / (x0 - exp(x0)),0.1674368946755884,x0/(x0 - exp(x0)),PySRFunction(X=>x0/(x0 - exp(x0)))
7,0.7593,x5 * -0.4832,0.10551854347105023,x5*(-0.4832),PySRFunction(X=>x5*(-0.4832))
9,0.6187,(x0 + x5) / -2.254,0.10238822684112243,(x0 + x5)/(-2.254),PySRFunction(X=>(x0 + x5)/(-2.254))
11,0.53,((x4 - x5) - x0) * 0.4084,0.0773717479953878,(-x0 + x4 - x5)*0.4084,PySRFunction(X=>(-x0 + x4 - x5)*0.4084)
14,0.512,(x4 - (x0 + x5)) / (exp(0.905) + x0),0.011517460502219906,(x4 - (x0 + x5))/(x0 + exp(0.905)),PySRFunction(X=>(x4 - (x0 + x5))/(x0 + exp(0.905)))
16,0.48,(((x3 / x3) + x5) * -0.498) - (x0 / exp(x0)),0.03226926056878558,-x0/exp(x0) + (x5 + x3/x3)*(-0.498),PySRFunction(X=>-x0/exp(x0) + (x5 + x3/x3)*(-0.498))
18,0.4768,(-0.544 - (x0 / exp(x0))) + (x5 * -0.498),0.00334449407539827,-x0/exp(x0) + x5*(-0.498) - 0.544,PySRFunction(X=>-x0/exp(x0) + x5*(-0.498) - 0.544)
19,0.4656,((x4 - x0) / (x0 + 2.31)) + (x5 / -1.994),0.02377021933391196,x5/(-1.994) + (-x0 + x4)/(x0 + 2.31),PySRFunction(X=>x5/(-1.994) + (-x0 + x4)/(x0 + 2.31))
20,0.4106,(((0.731 ^ x4) + x5) * -0.498) - (x0 / exp(x0)),0.1257073918323949,-x0/exp(x0) + (0.731**x4 + x5)*(-0.498),PySRFunction(X=>-x0/exp(x0) + (0.731**x4 + x5)*(-0.498))
22,0.4062,((x4 - x0) / ((x0 - x2) + exp(1.031))) + (x5 / -2.076),0.005386927719274437,x5/(-2.076) + (-x0 + x4)/(x0 - x2 + exp(1.031)),PySRFunction(X=>x5/(-2.076) + (-x0 + x4)/(x0 - x2 + exp(1.031)))
24,0.324,(((x1 / x1) + x5) * -0.502) + (((0.278 * x4) - x0) / exp(x0)),0.11305106667697744,(-x0 + 0.278*x4)/exp(x0) + (x5 + x1/x1)*(-0.502),PySRFunction(X=>(-x0 + 0.278*x4)/exp(x0) + (x5 + x1/x1)*(-0.502))
26,0.3225,((x5 * -0.502) + -0.525) + (((x4 * 0.2834) - x0) / exp(x0)),0.0023201897782511123,x5*(-0.502) + (-x0 + x4*0.2834)/exp(x0) - 0.525,PySRFunction(X=>x5*(-0.502) + (-x0 + x4*0.2834)/exp(x0) - 0.525)
30,0.295,(((x1 / x1) + x5) * -0.502) + ((x4 - -1.667) * ((x0 * -0.5767) / exp(x0))),0.02228194497400185,(x4 - 1*(-1.667))*x0*(-0.5767)/exp(x0) + (x5 + x1/x1)*(-0.502),PySRFunction(X=>(x4 - 1*(-1.667))*x0*(-0.5767)/exp(x0) + (x5 + x1/x1)*(-0.502))
