Model,MSE_Train,NMSE_Train
Model_1,3690.1673469751127,11677.431302860126
Model_2,1.77235784262011,5.60857679482938
Model_3,0.5080559836495981,1.6077289426828865
Model_4,0.31600848286835925,1.000000000769939
Model_5,0.31162825401222694,0.9861388891322191
Model_6,0.3103885049979228,0.9822157380699259
Model_7,0.30723386543122433,0.9722329694413968
Model_8,0.2683283705352949,0.8491176195851359
Model_9,0.26688764487212024,0.8445584835416768
Model_10,0.2613946417518869,0.8271760288853858
Model_11,0.2613044984028254,0.8268907727798764
Model_12,0.24985410163535393,0.7906563126402177
Model_13,0.23591075675225914,0.7465329879520044
Model_14,0.2306561941728456,0.7299050717145529
Model_15,0.22310032812610192,0.7059947450550347
Model_16,0.22191547444412246,0.702245308735677
Model_17,0.22027506841237204,0.6970542897537696
Model_18,0.22019104603942669,0.6967884033058889
Model_19,0.2193006373337778,0.6939707298743013
