Model,MSE_Train,NMSE_Train
Model_1,453.2652557667271,6.983622384296483
Model_2,134.004215107346,2.064651601479399
Model_3,71.01015412342603,1.094079229633079
Model_4,0.42139097868388486,0.006492523823162635
Model_5,0.1070638795972979,0.0016495720697597737
Model_6,0.018131567118351625,0.00027935963848784725
Model_7,0.018131567118351625,0.00027935963848784725
Model_8,0.00541873772377684,8.348845975054244e-05
Model_9,0.0007593187409140141,1.1699099563439766e-05
Model_10,0.0005681125551287692,8.753116428670208e-06
Model_11,0.0005262381066046045,8.107941594899297e-06
Model_12,0.0005120283500487292,7.889006715826886e-06
Model_13,0.000512032545039027,7.889071349565679e-06
