0,1,2,3
0.5759807235950207,0.8139456313517539,0.6369932744138505,0.7596007193545202
0.284865204097803,0.006444321030134148,0.3015870220588508,0.19240847313718623
0.0749307933333685,0.10239626286607129,0.15670084917792781,0.16302870956695026
0.11716645696492467,0.12079845079180851,0.05615390614609472,0.06645353879457483
0.04732730732596524,0.007447355012368373,0.033611764560678825,0.0445602207485587
0.038050618378449474,0.009559299759624551,0.03909146395730412,0.04702181755764423
0.017820386617278583,0.03855647681776686,0.0064957337916085045,0.01424249069135275
0.011052080880765036,0.024242720425291076,0.013675286949512255,0.02149447859699949
0.005492131739370354,0.0016196479954837528,0.013359779762774693,0.009787321003220217
0.003669593025231066,0.006550149275673434,0.005090978153206471,0.0022335986606649705
0.0003963772887889405,0.0009989745068570421,0.00036694744805743085,0.0010492978571350342
