Complexity,Loss,MSE,NMSE,Absolute Error
1,0.2186350648149516,0.19371428894813872,0.07538806038651387,0.36620015107872
6,0.0013079365934488,0.001473504607058422,0.0005734458459410104,0.03393812830170952
8,0.0013079365934488,0.001473504607263704,0.0005734458460209003,0.03393812829695239
10,0.0013079365934488,0.0014735046071898158,0.000573445845992145,0.033938128298664674
11,0.0009163035553441,0.0009470036915435574,0.00036854674929762447,0.028045236486089125
12,8.46680345319002e-05,8.095681181211375e-05,3.1506075523552194e-05,0.00795667654343502
17,4.037433049301683e-05,3.781785855047066e-05,1.4717628831473538e-05,0.005095246983169167
19,4.037433049301605e-05,3.781785856029849e-05,1.4717628835298249e-05,0.0050952469860800365
20,3.751306040554768e-05,3.613176035323995e-05,1.4061447641120299e-05,0.005342586456259421
24,3.07598443340663e-05,2.8155430608073986e-05,1.0957288253826446e-05,0.004819138283902421
25,2.9780990799866315e-05,2.739985417195714e-05,1.0663239516885552e-05,0.004376269419674545
27,2.872237798709975e-05,2.5882143053311747e-05,1.007258976108796e-05,0.004578196978806069
29,2.485674473404169e-05,2.2874835789263405e-05,8.902231792897112e-06,0.004245433129341806
