Model,MSE_Train,NMSE_Train
Model_1,0.5037045521449196,1.1613084417359025
Model_2,0.32837792480526223,0.7570867774217608
Model_3,0.18803629418218787,0.43352424522795296
Model_4,0.03364270178957376,0.07756442427344781
Model_5,0.031450190144499526,0.07250951208099969
Model_6,0.018112535104014914,0.041759082438227964
Model_7,0.0038556755513479797,0.008889394680488993
Model_8,0.0023052949794848134,0.005314938109983309
Model_9,0.0010429470194389414,0.0024045507883543498
Model_10,0.0002102163353205247,0.0004846611049254
Model_11,6.657785352887081e-05,0.00015349756718793624
Model_12,4.843717505383461e-05,0.00011167359922463855
Model_13,3.296535674897195e-05,7.600278161949674e-05
Model_14,1.3030336542296258e-05,3.0041896109119928e-05
Model_15,9.662542231422172e-06,2.2277328672526692e-05
Model_16,8.131263734691637e-06,1.8746912603564488e-05
Model_17,3.132374578769358e-06,7.221799019908832e-06
Model_18,3.081359927356936e-06,7.104182958896115e-06
Model_19,3.081347848990048e-06,7.1041551117993e-06
