complexity,loss,score,equation,sympy_format,lambda_format
1,1.1613084,0.0,x0,x0,PySRFunction(X=>x0)
2,0.7570868,0.4278246694904859,cos(x0),cos(x0),PySRFunction(X=>cos(x0))
3,0.43352425,0.5575301753290425,x1 * x0,x0*x1,PySRFunction(X=>x0*x1)
4,0.07756453,1.7208374996151667,cos(x0 / x1),cos(x0/x1),PySRFunction(X=>cos(x0/x1))
6,0.0725095,0.03369632365239659,cos(x0 / cos(sin(x0))),cos(x0/cos(sin(x0))),PySRFunction(X=>cos(x0/cos(sin(x0))))
7,0.041759085,0.5518005553443245,cos((x0 * cos(x1)) + x0),cos(x0*cos(x1) + x0),PySRFunction(X=>cos(x0*cos(x1) + x0))
8,0.008889347,1.5470634389051443,cos(x0 / x1) / cos(cos(x1)),cos(x0/x1)/cos(cos(x1)),PySRFunction(X=>cos(x0/x1)/cos(cos(x1)))
9,0.005314973,0.5143256616910135,cos(x0 / x1) / (sin(x0) / x0),cos(x0/x1)/((sin(x0)/x0)),PySRFunction(X=>cos(x0/x1)/((sin(x0)/x0)))
10,0.0024045578,0.7931619121103787,sin(cos(x0 / x1)) / cos(cos(sin(x1))),sin(cos(x0/x1))/cos(cos(sin(x1))),PySRFunction(X=>sin(cos(x0/x1))/cos(cos(sin(x1))))
12,0.00048466865,0.8008279185569269,cos(x0 / x1) / cos(cos(x0) - (x0 / x0)),cos(x0/x1)/cos(cos(x0) - x0/x0),PySRFunction(X=>cos(x0/x1)/cos(cos(x0) - x0/x0))
14,0.00015349724,0.5748914375834833,(0.054319024 * (x0 / x1)) + cos(x0 / x1),0.054319024*x0/x1 + cos(x0/x1),PySRFunction(X=>0.054319024*x0/x1 + cos(x0/x1))
15,0.000111673275,0.3181051658991551,cos(x0 / x1) + sin((x0 / x1) * 0.05735528),sin(x0*0.05735528/x1) + cos(x0/x1),PySRFunction(X=>sin(x0*0.05735528/x1) + cos(x0/x1))
17,7.600282e-05,0.19240348782465727,(0.04886714 * ((x0 / x1) - cos(x1))) + cos(x0 / x1),0.04886714*(x0/x1 - cos(x1)) + cos(x0/x1),PySRFunction(X=>0.04886714*(x0/x1 - cos(x1)) + cos(x0/x1))
20,3.0041927e-05,0.3093921574065415,(((0.11708719 + x0) / x1) * 0.058522724) + cos(x0 / x1),cos(x0/x1) + (x0 + 0.11708719)*0.058522724/x1,PySRFunction(X=>cos(x0/x1) + (x0 + 0.11708719)*0.058522724/x1)
21,2.2277201e-05,0.2990301938405498,cos((x0 / x1) - 0.09667533) + ((-0.013072547 / x1) / sin(x1)),cos(x0/x1 - 1*0.09667533) - 0.013072547/(x1*sin(x1)),PySRFunction(X=>cos(x0/x1 - 1*0.09667533) - 0.013072547/(x1*sin(x1)))
22,1.8746725e-05,0.1725447083071769,((-0.013006261 / x1) / sin(sin(x1))) + cos((x0 / x1) + -0.09551825),cos(x0/x1 - 0.09551825) - 0.013006261/(x1*sin(sin(x1))),PySRFunction(X=>cos(x0/x1 - 0.09551825) - 0.013006261/(x1*sin(sin(x1))))
23,7.2217113e-06,0.9539271235136693,(cos(0.22662114) * cos(x0 / x1)) + (0.08321597 * (sin(x0) / sin(x1))),0.08321597*sin(x0)/sin(x1) + cos(0.22662114)*cos(x0/x1),PySRFunction(X=>0.08321597*sin(x0)/sin(x1) + cos(0.22662114)*cos(x0/x1))
24,7.1042605e-06,0.016397272480543224,(0.97441214 * cos(x0 / x1)) + (sin(sin(0.08331518)) * (sin(x0) / sin(x1))),sin(x0)*sin(sin(0.08331518))/sin(x1) + 0.97441214*cos(x0/x1),PySRFunction(X=>sin(x0)*sin(sin(0.08331518))/sin(x1) + 0.97441214*cos(x0/x1))
25,7.1040868e-06,2.4450415849392442e-05,(cos(0.22667077) * cos(x0 / x1)) + (sin(sin(0.0833141)) * (sin(x0) / sin(x1))),sin(x0)*sin(sin(0.0833141))/sin(x1) + cos(0.22667077)*cos(x0/x1),PySRFunction(X=>sin(x0)*sin(sin(0.0833141))/sin(x1) + cos(0.22667077)*cos(x0/x1))
