complexity,loss,score,equation,sympy_format,lambda_format
1,3229.8394,0.0,x1,x1,PySRFunction(X=>x1)
2,0.50672174,8.75998095596696,sin(x0),sin(x0),PySRFunction(X=>sin(x0))
4,0.48399425,0.022944495076364913,sin(x1 * x1),sin(x1*x1),PySRFunction(X=>sin(x1*x1))
6,0.4837626,0.000239367982178888,sin(exp(log(x1 * x1))),sin(x1**2),PySRFunction(X=>sin(x1**2))
7,0.00012063708,8.296562869775865,sin(x1 * x1) + sin(x0),sin(x0) + sin(x1*x1),PySRFunction(X=>sin(x0) + sin(x1*x1))
9,0.00012062788,3.8132350443495376e-05,sin(exp(log(x0))) + sin(x1 * x1),sin(x0) + sin(x1**2),PySRFunction(X=>sin(x0) + sin(x1**2))
11,0.00012010898,0.0021554688534645107,sin(x0) + sin((x1 / x0) * (x1 * x0)),sin(x0) + sin(x0*x1*x1/x0),PySRFunction(X=>sin(x0) + sin(x0*x1*x1/x0))
13,0.00011546341,0.019722907040221116,sin(x1 * (x1 - -6.1159524e-5)) + sin(x0),sin(x0) + sin(x1*(x1 - 1*(-6.1159524e-5))),PySRFunction(X=>sin(x0) + sin(x1*(x1 - 1*(-6.1159524e-5))))
16,0.000112046386,0.010013578988641346,(-0.00041492394 / cos(x0)) + (sin(x0) + sin(x1 * x1)),sin(x0) + sin(x1*x1) - 0.00041492394/cos(x0),PySRFunction(X=>sin(x0) + sin(x1*x1) - 0.00041492394/cos(x0))
17,0.00011195297,0.0008340738748875454,(-0.00041492394 / sin(cos(x0))) + (sin(x0) + sin(x1 * x1)),sin(x0) + sin(x1*x1) - 0.00041492394/sin(cos(x0)),PySRFunction(X=>sin(x0) + sin(x1*x1) - 0.00041492394/sin(cos(x0)))
21,0.00011088061,0.0024062088810388052,((x1 - (x1 + 1.6121454e-6)) * (x0 * x0)) + (sin(x0) + sin(x1 * x1)),x0*x0*(x1 - (x1 + 1.6121454e-6)) + sin(x0) + sin(x1*x1),PySRFunction(X=>x0*x0*(x1 - (x1 + 1.6121454e-6)) + sin(x0) + sin(x1*x1))
22,0.00010825568,0.02395820023178435,(-0.00041492394 / cos(x1 * 1.5736363)) + (sin(x1 * x1) + sin(x0)),sin(x0) + sin(x1*x1) - 0.00041492394/cos(x1*1.5736363),PySRFunction(X=>sin(x0) + sin(x1*x1) - 0.00041492394/cos(x1*1.5736363))
23,0.00010576559,0.02327060640916855,((x1 - (x1 + 1.6121454e-6)) * ((x1 + x1) * x0)) + (sin(x0) + sin(x1 * x1)),x0*(x1 + x1)*(x1 - (x1 + 1.6121454e-6)) + sin(x0) + sin(x1*x1),PySRFunction(X=>x0*(x1 + x1)*(x1 - (x1 + 1.6121454e-6)) + sin(x0) + sin(x1*x1))
27,0.000104806095,0.0022783254089385925,((log(x0) * (-0.001413571 / x1)) / cos(x0 / 1.6148487)) + (sin(x1 * x1) + sin(x0)),sin(x0) + sin(x1**2) - 0.001413571*log(x0)/(x1*cos(0.619253060673734*x0)),PySRFunction(X=>sin(x0) + sin(x1**2) - 0.001413571*log(x0)/(x1*cos(0.619253060673734*x0)))
