complexity,loss,score,equation,sympy_format,lambda_format
1,3.99294,0.0,x0,x0,PySRFunction(X=>x0)
2,0.16240475,3.2021914045859936,cos(x2),cos(x2),PySRFunction(X=>cos(x2))
3,0.14942592,0.08329092444203234,sin(cos(x2)),sin(cos(x2)),PySRFunction(X=>sin(cos(x2)))
4,0.07784467,0.6520853206868974,sin(x1 - x2),sin(x1 - x2),PySRFunction(X=>sin(x1 - x2))
5,0.038849503,0.6950201470003486,(x1 - x2) / x1,(x1 - x2)/x1,PySRFunction(X=>(x1 - x2)/x1)
6,0.018816367,0.7249682077361618,cos(log(x4)) - sin(x1),-sin(x1) + cos(log(x4)),PySRFunction(X=>-sin(x1) + cos(log(x4)))
7,0.0049495613,1.33542812981244,cos(sin(exp(x3))) - sin(x1),-sin(x1) + cos(sin(exp(x3))),PySRFunction(X=>-sin(x1) + cos(sin(exp(x3))))
9,0.0030156302,0.24774505824718737,(log(x1) ^ x4) - cos(x3 / x4),log(x1)**x4 - cos(x3/x4),PySRFunction(X=>log(x1)**x4 - cos(x3/x4))
10,0.0015331573,0.6764796260074688,sin((log(x1) ^ x4) - cos(x3 / x4)),sin(log(x1)**x4 - cos(x3/x4)),PySRFunction(X=>sin(log(x1)**x4 - cos(x3/x4)))
11,0.00056984805,0.9897147365279833,sin((x3 / (x0 + x2)) - (sin(x1) ^ x3)),sin(x3/(x0 + x2) - sin(x1)**x3),PySRFunction(X=>sin(x3/(x0 + x2) - sin(x1)**x3))
13,0.0002596921,0.3929365239258929,((x1 - x2) - (0.8044505 / x2)) / x3,(x1 - x2 - 0.8044505/x2)/x3,PySRFunction(X=>(x1 - x2 - 0.8044505/x2)/x3)
14,0.0002383448,0.08577833373428782,((x1 - x2) - (sin(x2) / 2.065886)) / x3,(x1 - x2 - sin(x2)/2.065886)/x3,PySRFunction(X=>(x1 - x2 - sin(x2)/2.065886)/x3)
15,0.00011978983,0.687979574164617,((x1 - x2) - (sin(x2) / exp(x2))) / (x1 + sin(exp(x2))),(x1 - x2 - sin(x2)/exp(x2))/(x1 + sin(exp(x2))),PySRFunction(X=>(x1 - x2 - sin(x2)/exp(x2))/(x1 + sin(exp(x2))))
19,4.1173902e-05,0.26698354538764446,((x4 * -0.68897045) / (exp(x2) + sin(x4))) / sin(sin(x0) + x1),x4*(-0.68897045)/((exp(x2) + sin(x4))*sin(x1 + sin(x0))),PySRFunction(X=>x4*(-0.68897045)/((exp(x2) + sin(x4))*sin(x1 + sin(x0))))
20,4.117369e-05,5.148905872084186e-06,((x4 * sin(-0.76007897)) / (sin(x4) + exp(x2))) / sin(sin(x0) + x1),x4*sin(-0.76007897)/((exp(x2) + sin(x4))*sin(x1 + sin(x0))),PySRFunction(X=>x4*sin(-0.76007897)/((exp(x2) + sin(x4))*sin(x1 + sin(x0))))
21,1.9250489e-05,0.760262997127048,((x1 - x2) - (0.5387899 / (x0 * x4))) / (x1 - 0.5765142),(x1 - x2 - 0.5387899/(x0*x4))/(x1 - 1*0.5765142),PySRFunction(X=>(x1 - x2 - 0.5387899/(x0*x4))/(x1 - 1*0.5765142))
22,8.8337416e-08,5.3841279868727145,(((-0.8729657 * x4) + 0.5794381) / exp(x2)) / sin(sin(x0) + x1),(0.5794381 - 0.8729657*x4)/(exp(x2)*sin(x1 + sin(x0))),PySRFunction(X=>(0.5794381 - 0.8729657*x4)/(exp(x2)*sin(x1 + sin(x0))))
