complexity,loss,score,equation,sympy_format,lambda_format
1,3415.0984,0.0,x0,x0,PySRFunction(X=>x0)
2,0.857982,8.289133744380626,sin(x0),sin(x0),PySRFunction(X=>sin(x0))
6,0.7604276,0.03017555340135012,sin((x0 * x0) + x0),sin(x0*x0 + x0),PySRFunction(X=>sin(x0*x0 + x0))
7,0.6065443,0.22610313888033765,sin(sin(x0 * x0) + x0),sin(x0 + sin(x0*x0)),PySRFunction(X=>sin(x0 + sin(x0*x0)))
9,0.20212114,0.5494552735698229,sin((x0 * x0) + x0) + sin(x0),sin(x0) + sin(x0*x0 + x0),PySRFunction(X=>sin(x0) + sin(x0*x0 + x0))
13,0.20198548,0.00016785174800671297,sin(x0) - sin(x0 * (-1.000226 - x0)),sin(x0) - sin(x0*(-x0 - 1.000226)),PySRFunction(X=>sin(x0) - sin(x0*(-x0 - 1.000226)))
15,0.19185129,0.02573763647801334,sin((x0 * x0) + x0) + (sin(x0) + 0.1013281),sin(x0) + sin(x0*x0 + x0) + 0.1013281,PySRFunction(X=>sin(x0) + sin(x0*x0 + x0) + 0.1013281)
17,0.18857959,0.00860019739095732,sin(x0 + (x0 * x0)) - ((-0.001989411 * x0) - sin(x0)),-(-0.001989411*x0 - sin(x0)) + sin(x0 + x0*x0),PySRFunction(X=>-(-0.001989411*x0 - sin(x0)) + sin(x0 + x0*x0))
18,0.18855439,0.00013363950942578914,sin(x0 + (x0 * x0)) - (sin(-0.0020123662 * x0) - sin(x0)),-(sin(-0.0020123662*x0) - sin(x0)) + sin(x0 + x0*x0),PySRFunction(X=>-(sin(-0.0020123662*x0) - sin(x0)) + sin(x0 + x0*x0))
20,0.18310599,0.014660670436522416,sin((x0 * x0) + x0) - ((log(x0) / x0) + (-0.20233145 - sin(x0))),sin(x0) + sin(x0**2 + x0) + 0.20233145 - log(x0)/x0,PySRFunction(X=>sin(x0) + sin(x0**2 + x0) + 0.20233145 - log(x0)/x0)
23,0.1803192,0.005112183928234802,sin(x0 + (x0 * x0)) + ((sin(x0) - -0.14686641) - (0.8320517 ^ x0)),-0.8320517**x0 + sin(x0) + sin(x0 + x0*x0) - 1*(-0.14686641),PySRFunction(X=>-0.8320517**x0 + sin(x0) + sin(x0 + x0*x0) - 1*(-0.14686641))
24,0.17931375,0.005591548937048074,sin(x0 + (x0 * x0)) - (sin(0.85053504 ^ x0) - (sin(x0) - -0.14976893)),-(-(sin(x0) - 1*(-0.14976893)) + sin(0.85053504**x0)) + sin(x0 + x0*x0),PySRFunction(X=>-(-(sin(x0) - 1*(-0.14976893)) + sin(0.85053504**x0)) + sin(x0 + x0*x0))
29,0.1781381,0.0013155945217995988,sin((x0 * x0) + x0) - (((0.89660925 ^ x0) * 0.6408381) - (sin(x0) - -0.15002227)),-(0.89660925**x0*0.6408381 - (sin(x0) - 1*(-0.15002227))) + sin(x0*x0 + x0),PySRFunction(X=>-(0.89660925**x0*0.6408381 - (sin(x0) - 1*(-0.15002227))) + sin(x0*x0 + x0))
30,0.1781376,2.8068150591835563e-06,sin((x0 * x0) + x0) - (((0.89660925 ^ x0) * 0.6408381) - (sin(x0) - sin(-0.15002227))),-(0.89660925**x0*0.6408381 - (sin(x0) - sin(-0.15002227))) + sin(x0*x0 + x0),PySRFunction(X=>-(0.89660925**x0*0.6408381 - (sin(x0) - sin(-0.15002227))) + sin(x0*x0 + x0))
31,0.17771518,0.002374128977796752,sin((x0 * x0) + x0) - (((-0.5097845 / x0) + (0.8773813 ^ x0)) - (sin(x0) - -0.1389856)),-(0.8773813**x0 - (sin(x0) - 1*(-0.1389856)) - 0.5097845/x0) + sin(x0*x0 + x0),PySRFunction(X=>-(0.8773813**x0 - (sin(x0) - 1*(-0.1389856)) - 0.5097845/x0) + sin(x0*x0 + x0))
32,0.17771494,1.3504764313055824e-06,sin((x0 * x0) + x0) - (((-0.5097845 / x0) + (0.8773813 ^ x0)) - (sin(x0) - sin(-0.1389856))),-(0.8773813**x0 - (sin(x0) - sin(-0.1389856)) - 0.5097845/x0) + sin(x0*x0 + x0),PySRFunction(X=>-(0.8773813**x0 - (sin(x0) - sin(-0.1389856)) - 0.5097845/x0) + sin(x0*x0 + x0))
38,0.17763756,7.258520410300996e-05,sin((x0 * x0) + (x0 - 0.021668762)) + ((sin(x0) - sin(-0.14852642)) - ((0.8706826 ^ x0) - (0.53857696 ^ x0))),-(-0.53857696**x0 + 0.8706826**x0) + sin(x0) + sin(x0*x0 + x0 - 1*0.021668762) - sin(-0.14852642),PySRFunction(X=>-(-0.53857696**x0 + 0.8706826**x0) + sin(x0) + sin(x0*x0 + x0 - 1*0.021668762) - sin(-0.14852642))
