gamma1,lambda1,delta,epsilon,NRow,NCol,W1,Model_1_Y_pred,Model_1_Residuals,Model_2_Y_pred,Model_2_Residuals,Model_3_Y_pred,Model_3_Residuals,Model_4_Y_pred,Model_4_Residuals,Model_5_Y_pred,Model_5_Residuals,Model_6_Y_pred,Model_6_Residuals,Model_7_Y_pred,Model_7_Residuals,Model_8_Y_pred,Model_8_Residuals,Model_9_Y_pred,Model_9_Residuals,Model_10_Y_pred,Model_10_Residuals,Model_11_Y_pred,Model_11_Residuals,Model_12_Y_pred,Model_12_Residuals,Model_13_Y_pred,Model_13_Residuals,Model_14_Y_pred,Model_14_Residuals,Model_15_Y_pred,Model_15_Residuals,Model_16_Y_pred,Model_16_Residuals,Model_17_Y_pred,Model_17_Residuals,Model_18_Y_pred,Model_18_Residuals,Model_19_Y_pred,Model_19_Residuals,Model_20_Y_pred,Model_20_Residuals
-0.597541810525913,-0.6215163339667974,-0.9383888117306464,-0.7825426357098743,0.9194805077741278,0.8394489935449932,-0.2745746047456278,-2.0137932120662389e-07,7.486718126247809e-07,1.1398019814040008e-06,5.925094899858438e-07,1.0577579379276148e-06,5.104654465094579e-07,2.263302495263585e-06,1.716010003845428e-06,1.2533025121885118e-06,7.060100207703548e-07,1.139807765078078e-06,5.92515273659921e-07,1.2403074303630661e-06,6.930149389449091e-07,1.2803463164047868e-06,7.330538249866298e-07,1.6089567495810789e-06,1.0616642581629218e-06,1.2527011413906208e-06,7.054086499724638e-07,1.5261663300276062e-06,9.788738386094493e-07,2.635948286483879e-06,2.088655795065722e-06,1.4947426929362043e-06,9.474502015180473e-07,2.3847018333915613e-06,1.8374093419734042e-06,2.207742328787473e-06,1.6604498373693157e-06,2.08600075203317e-06,1.538708260615013e-06,2.569108693097189e-06,2.021816201679032e-06,3.2184287800541773e-06,2.67113628863602e-06,1.6400954426780575e-06,1.0928029512599004e-06,2.6927274912608637e-06,2.1454349998427066e-06
-0.47960889392480016,-0.5132402557789225,-0.7771429615831764,-1.0758591212050717,1.0346603062483777,-1.498125237150086,-0.5083314547695889,3.227158006372263e-08,1.0592790200596937e-08,1.1398019814040008e-06,1.0969376111396812e-06,1.0577579379276148e-06,1.0148935676632953e-06,2.081841237532515e-06,2.0389768672681955e-06,1.205957348237249e-06,1.1630929779729293e-06,1.1398020563811025e-06,1.096937686116783e-06,1.200060671519265e-06,1.1571963012549454e-06,1.2171227477698346e-06,1.174258377505515e-06,1.46602522144358e-06,1.4231608511792605e-06,1.2045290208180694e-06,1.1616646505537498e-06,1.1525375928005312e-06,1.1096732225362117e-06,4.7277934078273115e-07,4.299149705184116e-07,1.09269684982594e-06,1.0498324795616204e-06,1.3042827012841166e-06,1.261418331019797e-06,8.834217599374289e-07,8.405573896731093e-07,1.2157071021198276e-06,1.172842731855508e-06,1.3131656347775816e-06,1.270301264513262e-06,7.304828774410191e-07,6.876185071766995e-07,2.4507540726079153e-07,2.0221103699647196e-07,4.845056896293795e-07,4.4164131936505997e-07
-0.5661629872016013,1.2156519759488136,-0.4338282449285714,0.9865203979518316,-0.1685265445086943,1.6027052989154005,-0.5140404394545903,3.7630792977348525e-06,3.7325344484516556e-06,1.1398019814040008e-06,1.1092571321208039e-06,1.0577579379276148e-06,1.027213088644418e-06,2.2172988501079414e-06,2.1867540008247445e-06,1.6292211876861669e-06,1.59867633840297e-06,1.371294384564892e-06,1.3407495352816951e-06,1.687087203945982e-06,1.6565423546627851e-06,2.4725625545287643e-06,2.4420177052455674e-06,2.233813944445642e-06,2.203269095162445e-06,1.946809202917318e-06,1.916264353634121e-06,2.0434493326947623e-06,2.0129044834115654e-06,1.1350519575424465e-06,1.1045071082592496e-06,1.6143023406307579e-06,1.583757491347561e-06,1.2799937721563927e-06,1.2494489228731957e-06,1.5197679848707632e-06,1.4892231355875662e-06,1.4898298909958828e-06,1.459285041712686e-06,1.3822718809656264e-06,1.3517270316824295e-06,1.47664397565635e-06,1.4460991263731532e-06,1.3228084321909917e-06,1.2922635829077948e-06,8.300244585219975e-07,7.994796092388006e-07
-0.5251310959986846,-0.4840016160991132,-0.38451675618233644,1.2202112906224962,-0.5583940499456583,1.1142507865228861,-0.5259804642185428,9.536616778283521e-08,9.058691320881362e-08,1.1398019814040008e-06,1.1350227268299792e-06,1.0577579379276148e-06,1.0529786833535933e-06,2.1546513567816497e-06,2.1498721022076283e-06,1.6260605637792646e-06,1.621281309205243e-06,1.6316141361102416e-06,1.62683488153622e-06,1.9060909216558418e-06,1.9013116670818202e-06,2.819163636590611e-06,2.814384382016589e-06,2.4202482332418814e-06,2.41546897866786e-06,2.2538782526368663e-06,2.249098998062845e-06,1.5438354002216516e-06,1.53905614564763e-06,6.704442243287228e-07,6.656649697547012e-07,1.035822489422582e-06,1.0310432348485604e-06,1.2354167224135991e-06,1.2306374678395776e-06,8.53218761754295e-07,8.484395071802734e-07,1.3901080906337576e-06,1.385328836059736e-06,1.2823643360618476e-06,1.277585081487826e-06,1.111211827386638e-06,1.1064325728126164e-06,8.826529336868285e-07,8.778736791128069e-07,5.124184394173788e-07,5.076391848433572e-07
-0.42976631665112813,-1.1523180385219105,0.20185465015831086,-1.0056853104836578,1.0940540515395094,-1.2857839213601099,-0.5248158930562374,-1.3468058894827809e-06,1.3540981931644178e-06,1.1398019814040008e-06,1.132509677722364e-06,1.0577579379276148e-06,1.050465634245978e-06,1.998166409057282e-06,1.990874105375645e-06,1.1893444449323294e-06,1.1820521412506925e-06,1.1398019847536752e-06,1.1325096810720383e-06,1.185523792383287e-06,1.1782314887016502e-06,1.1963603225188172e-06,1.1890680188371803e-06,1.4130015307653804e-06,1.4057092270837435e-06,1.1881152373567792e-06,1.1808229336751423e-06,1.1425676996492756e-06,1.1352753959676387e-06,3.6484908261555604e-07,3.5755677893391914e-07,1.0828220193696341e-06,1.0755297156879972e-06,1.232784758092532e-06,1.2254924544108952e-06,8.196901512538148e-07,8.123978475721779e-07,1.1647470932048495e-06,1.1574547895232126e-06,1.2411899431006503e-06,1.2338976394190134e-06,5.613116513782159e-07,5.54019347696579e-07,1.6302523729680726e-07,1.5573293361517036e-07,3.2714740354742047e-07,3.1985509986578357e-07
-0.5954591493116088,-0.6985667752945577,1.6055746099079733,1.5326029016313554,0.5428589224560638,-1.0546958994323365,-0.523505792127459,-3.676478577181835e-07,3.7776725181431684e-07,1.1398019814040008e-06,1.1296825873078675e-06,1.0577579379276148e-06,1.0476385438314815e-06,2.2603001529622454e-06,2.2501807588661123e-06,1.3944088290392514e-06,1.384289434943118e-06,1.1456376060011347e-06,1.1355182119050014e-06,1.3571146627317904e-06,1.3469952686356571e-06,1.5323588859454512e-06,1.5222394918493178e-06,1.794234259215511e-06,1.7841148651193777e-06,1.41124997903631e-06,1.4011305849401767e-06,1.9442388408712575e-06,1.9341194467751244e-06,2.4174117719875586e-06,2.4072923778914255e-06,1.8471960868925795e-06,1.8370766927964461e-06,2.0118006679510462e-07,1.910606726989713e-07,2.3733776974310084e-06,2.3632583033348753e-06,8.37151935653582e-07,8.270325415574487e-07,6.666470346547167e-07,6.565276405585834e-07,1.1879692366020023e-06,1.177849842505869e-06,1.9334505782139388e-06,1.9233311841178057e-06,3.7677949988111363e-07,3.666601057849803e-07
-0.6011621553486546,-0.7318838267696521,0.6719861928378246,0.00521486526353173,0.546408642461824,0.3809494973622852,-0.2604106639467019,-4.3954332378150893e-07,1.0174004384165e-06,1.1398019814040008e-06,5.619448667690098e-07,1.0577579379276148e-06,4.799008232926238e-07,2.268504336544139e-06,1.690647221909148e-06,1.3952900433478533e-06,8.174329287128623e-07,1.1454113591397017e-06,5.675542445047106e-07,1.3577385641602252e-06,7.798814495252342e-07,1.5334143014920022e-06,9.555571868570111e-07,1.800361913832469e-06,1.222504799197478e-06,1.4123462726117947e-06,8.344891579768037e-07,2.0659112343048627e-06,1.4880541196698717e-06,3.1308440341110736e-06,2.5529869194760825e-06,2.065523284561138e-06,1.4876661699261468e-06,2.083719302382271e-06,1.50586218774728e-06,2.816936018756873e-06,2.239078904121882e-06,2.1736561937290496e-06,1.5957990790940585e-06,2.415547384040074e-06,1.8376902694050829e-06,2.8994440385824025e-06,2.3215869239474115e-06,2.420640903774909e-06,1.842783789139918e-06,2.569622948567621e-06,1.99176583393263e-06
-0.43007323549015775,1.794171467512105,-1.179468977076916,1.1590666932749107,-1.4016404755571705,1.6317100856415183,-0.520174365467106,5.011476938917267e-06,4.9941685991672565e-06,1.1398019814040008e-06,1.122493641653991e-06,1.0577579379276148e-06,1.040449598177605e-06,1.998694153974401e-06,1.9813858142243915e-06,1.4859924582451567e-06,1.4686841184951469e-06,2.2370506309490585e-06,2.219742291199049e-06,2.511989708106552e-06,2.4946813683565418e-06,2.67918394888067e-06,2.6618756091306597e-06,2.5585989367792702e-06,2.54129059702926e-06,2.544009190801806e-06,2.5267008510517958e-06,1.1830040349807714e-06,1.1656956952307615e-06,3.653403519971443e-07,3.4803201224713443e-07,2.584508333257298e-07,2.411424935757199e-07,1.272980693934477e-06,1.255672354184467e-06,1.1692213155427424e-07,9.961379180426437e-08,1.3626701028463518e-06,1.345361763096342e-06,1.274022266016306e-06,1.256713926266296e-06,4.5789316104660297e-07,4.405848212965931e-07,5.687959007331179e-07,5.514875609831081e-07,3.8002202549638187e-07,3.62713685746372e-07
-0.5299307950635697,-0.5822823862224253,0.6577530170938877,0.9317350149792198,-1.5844299826132315,-0.22534158372193697,-0.0019583940750975237,-1.1671567800595273e-07,1.2522916055267027e-06,1.1398019814040008e-06,4.226053883250866e-09,1.0577579379276148e-06,7.781798959313509e-08,2.162125636915989e-06,1.026549709395239e-06,1.5464638675286195e-06,4.108879400078696e-07,2.6038097100926165e-06,1.4682337825718666e-06,4.087345493242956e-06,2.9517695657222056e-06,3.461211575506295e-06,2.3256356479855453e-06,3.368357368037055e-06,2.232781440516305e-06,3.5946672633081646e-06,2.459091335787415e-06,1.8019366007438883e-06,6.663606732231384e-07,7.029292738875671e-07,4.326466536331828e-07,1.0676002881635364e-06,6.797563935721355e-08,1.5846613006800045e-06,4.4908537315925453e-07,8.359824021490516e-07,2.9959352537169836e-07,1.726969265160594e-06,5.913933376398441e-07,1.5731320303378342e-06,4.3755610281708425e-07,1.1495196365864687e-06,1.3943709065718784e-08,1.27322225509545e-06,1.3764632757469998e-07,9.704194806848316e-07,1.651564468359183e-07
0.3548401586714575,1.9685658540498827,1.3752027932020514,-0.015419328072650002,-1.6003128090677423,0.2803510308920044,-0.5209355832680613,5.387805729846859e-06,5.3721400357138026e-06,1.1398019814040008e-06,1.1241362872709444e-06,1.0577579379276148e-06,1.0420922437945585e-06,4.249228820330916e-07,4.0925718790003525e-07,8.686519600206461e-07,8.529862658875897e-07,1.4995485511862603e-06,1.483882857053204e-06,7.123857079858537e-07,6.967200138527973e-07,5.83585452942788e-07,5.679197588097316e-07,5.907731523231458e-07,5.751074581900894e-07,6.981430279362393e-07,6.82477333803183e-07,1.139801981404244e-06,1.1241362872711875e-06,1.2016777261240854e-07,1.0450207847935218e-07,-4.534297447577295e-07,4.6909543889078586e-07,1.1608221244887564e-06,1.1451564303557e-06,-5.083240847628446e-07,5.23989778895901e-07,1.1612277992342996e-06,1.1455621051012433e-06,1.152818679698106e-06,1.1371529855650497e-06,-5.904595199132505e-07,6.061252140463069e-07,8.931278844108621e-08,7.364709430802985e-08,7.97516163471087e-08,6.408592221405234e-08
