complexity,loss,equation,score,sympy_format,lambda_format
1,1.464,x1,0.0,x1,PySRFunction(X=>x1)
3,0.994,x5 - x5,0.1935952439323414,-x5 + x5,PySRFunction(X=>-x5 + x5)
5,0.9893,-0.00815,0.0023697921636985863,-0.00815000000000000,PySRFunction(X=>-0.00815000000000000)
6,0.7427,x0 / (x0 - exp(x0)),0.286705427653926,x0/(x0 - exp(x0)),PySRFunction(X=>x0/(x0 - exp(x0)))
8,0.7217,((x4 / exp(x0)) - x4) / x4,0.014341327298511645,(-x4 + x4/exp(x0))/x4,PySRFunction(X=>(-x4 + x4/exp(x0))/x4)
9,0.7007,x0 / (-1.527 - x0),0.029529704701739386,x0/(-x0 - 1.527),PySRFunction(X=>x0/(-x0 - 1.527))
10,0.552,-0.529 - (x0 / exp(x0)),0.23853178909939288,-x0/exp(x0) - 0.529,PySRFunction(X=>-x0/exp(x0) - 0.529)
12,0.531,(-0.81 - (x0 + x0)) / exp(x0),0.019393012517578266,(-(x0 + x0) - 0.81)/exp(x0),PySRFunction(X=>(-(x0 + x0) - 0.81)/exp(x0))
15,0.4656,((x0 * x0) * (0.0602 ^ x0)) - (x5 / x5),0.0438117082749036,0.0602**x0*x0*x0 - x5/x5,PySRFunction(X=>0.0602**x0*x0*x0 - x5/x5)
17,0.4553,((x0 * x0) * (0.06946 ^ x0)) - 0.866,0.01118517703824585,0.06946**x0*x0*x0 - 1*0.866,PySRFunction(X=>0.06946**x0*x0*x0 - 1*0.866)
18,0.4531,(((0.2347 * x1) - x0) / exp(x0)) - 0.54,0.004843690667643878,(-x0 + 0.2347*x1)/exp(x0) - 1*0.54,PySRFunction(X=>(-x0 + 0.2347*x1)/exp(x0) - 1*0.54)
19,0.4204,((x1 + (0.01273 ^ x0)) * 0.1349) - (x3 / x3),0.07490621267029647,(0.01273**x0 + x1)*0.1349 - x3/x3,PySRFunction(X=>(0.01273**x0 + x1)*0.1349 - x3/x3)
21,0.4016,((0.01273 ^ x0) * 0.1343) - (0.779 ^ x1),0.02287503531263827,0.01273**x0*0.1343 - 0.779**x1,PySRFunction(X=>0.01273**x0*0.1343 - 0.779**x1)
22,0.3884,((0.003494 ^ x0) * 0.06647) - exp(x1 * -0.2908),0.03342083196034956,0.003494**x0*0.06647 - exp(x1*(-0.2908)),PySRFunction(X=>0.003494**x0*0.06647 - exp(x1*(-0.2908)))
24,0.3613,(exp(0.2007 * x1) * ((x0 * x0) * (0.0602 ^ x0))) - (x5 / x5),0.03616354913178766,0.0602**x0*x0*x0*exp(0.2007*x1) - x5/x5,PySRFunction(X=>0.0602**x0*x0*x0*exp(0.2007*x1) - x5/x5)
25,0.3604,((exp(x2) + (0.003494 ^ x0)) * 0.0632) - exp(x1 * -0.3303),0.0024941124194116956,(0.003494**x0 + exp(x2))*0.0632 - exp(x1*(-0.3303)),PySRFunction(X=>(0.003494**x0 + exp(x2))*0.0632 - exp(x1*(-0.3303)))
26,0.3125,((x0 * -1.94) - exp(x1 / -10.3)) / (x0 + (x0 + 1.354)),0.14261005655772663,(x0*(-1.94) - exp(x1/(-10.3)))/(x0 + x0 + 1.354),PySRFunction(X=>(x0*(-1.94) - exp(x1/(-10.3)))/(x0 + x0 + 1.354))
