0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
75182890.98091364,12712094.163900752,78329199.59314665,14444001.223541517,577.2120109694873,4509681.673756558,26190214.920918465,21452621.660263587,164237.6356926109,19908.125413345468,2280297.234684761,20505326.372464545,1718.6799915620245,1817889.2502712645,892320.1452340105,8709450.781769762,35916297.27211806,3335.921768037787,1017051.5982106008,31392.83338799221,49164778.35830259,67207223.97790284,880799.8628217885,2948890.842745062,1150865.7620427138,78076396.46251778,89330381.57537852,1253917.970310657,13751785.082434682,95128692.78342554,31161044.730557032,38571762.89629581,99443785.07182208,42527.461267048195,12138504.467681937,2869973.363731808,354.7472947111375,698608.6871429237,16146.11302425213,22984055.39123387,11317.11062809559,10998120.674721655,8224363.492193456,4055192.4430377153,7117123.631806367,4405847.493707578,120080.65558821753,48761145.15869001,13267573.833788699,9900380.442414789,13307715.230580956,275214.54097088636,2596037.503193087,788185.2212309784,65860325.39912263,2675677.9986865697,76581572.17677811,182292.3866781717,17103374.768279508,3459938.6201517563,77724.20716693348,28136374.71120137,109399.77177780283,40055308.18895505,4930198.42608934,8.748791970856745,175493.08673491477,8636386.365761675,9373439.58040153,6652490.322411281,1620888.740366551,251785.07813615433,7935065.984113556,5900924.799552206,81990157.26615438,33565333.862332955,6763677.17188064,61933908.98297119,16170465.842395445,757282.605568304
75174359.8453234,12708618.32097019,78320490.32485162,14440293.162904706,560.4587587194874,4507627.187383918,26185204.583908215,21448092.041465096,163862.5493156509,19784.812180535468,2278845.447933401,20500899.024248503,1686.8185026720246,1816596.0262392545,891421.6068259705,8706581.083300153,35910420.3678793,3289.510573227787,1016090.7304069909,31235.58841790221,49157892.19765923,67199161.78626363,879907.2924457785,2947235.758423422,1149842.095241024,78067701.37381634,89321075.9239961,1252848.367796697,13748168.079813723,95119087.52416624,31155574.58832062,38565670.48521556,99433962.70811927,42342.751267048196,12135108.963498326,2868340.993139318,342.3322372711375,697816.2105937637,16035.91763776213,22979365.076182578,11226.16003808559,10994890.707496656,8221575.997232647,4053245.9950997555,7114533.305941077,4403817.195913018,119762.02956780752,48754287.58134601,13264021.888028607,9897318.088270148,13304157.847194146,274724.2703555963,2594486.480442647,787342.1031663383,65852345.08556663,2674102.9049582095,76572961.40339875,181896.40376681168,17099335.60229855,3458143.2125767167,77470.43732293347,28131179.57896037,109096.27265124283,40049098.58918829,4928048.69393893,8.177412280856744,175104.84869290478,8633528.900763914,9370460.96316053,6649987.251309042,1619669.109008311,251316.87838646432,7932328.663358317,5898569.539223245,81981245.1554863,33559654.47027339,6761152.95229583,61926172.236187145,16166539.704006637,756456.620785814
74382111.67316703,12501950.261667782,77503344.96892314,14212633.442853184,483.00009694161236,4413471.720514925,25828040.204964038,21140964.40956664,156408.23269449864,18352.41799953779,2222798.3493250976,20204088.71437554,1490.3382591340614,1769438.741234413,864034.3358565929,8551411.034621248,35456943.15686556,2949.2747451951577,985821.568944449,29183.588731718737,48583005.20804471,66471217.634748556,852790.9151655571,2879069.7865692214,1116574.254952941,77252547.24216278,88418733.89583282,1217328.365751605,13528820.019669272,94172895.52662988,30748256.310098834,38087078.08660098,98455565.89980969,39738.340267048196,11935544.656564597,2801567.7313941,291.94200213366554,675107.4780869643,14822.743569277773,22655791.0285187,10312.115703544092,10809700.53665128,8073005.024566938,3966392.763080867,6981396.514214661,4311313.579916392,113912.97984853911,48182969.09766269,13050548.88226347,9726313.782950135,13090195.82174941,263620.768541693,2532622.076814047,762435.7210424211,65135441.59757693,2610798.9429591843,75769614.13450733,173816.13487076407,16840601.17055578,3381164.7537153615,73298.96862726148,27754122.07604083,103655.01891062454,39556661.182724826,4827295.262486729,7.373881022809744,167258.51904007848,8479346.947400779,9206401.70414349,6523499.058685327,1576461.4728062144,240949.20358925386,7787738.45388918,5783082.646357153,81135438.61889802,33128796.47870217,6633063.701262273,61241778.068321615,15918561.269844847,732301.2740112416
66295201.349557206,12414343.761860687,68672713.6051607,14068879.015013391,579.5802302905516,4460455.929069488,25060006.475695048,20675603.732669428,163874.87732233803,19884.51590846273,2264117.2273698314,19790997.87522397,1720.4087384470774,1806571.0464813553,888487.3777783341,8557404.424020631,33850505.90273456,3336.036260116086,1012395.0014097043,31349.634033879924,45355567.75172493,60116431.52277168,877040.0989745065,2924439.435863593,1145258.7422462227,68482947.36143611,76714116.27341624,1247533.1831512435,13408625.799189456,80779630.61444497,29588407.390083566,36200439.15410669,83726460.371596,42463.611371078405,11864471.200643906,2846573.049840568,357.0526223268323,695932.0173417423,16128.470560788333,22100117.599493578,11306.724838600503,10768422.478809072,8086829.20404852,4013953.7900854903,7010151.614105417,4358501.744393907,119839.66252042056,45013229.388377175,12945950.67252979,9709815.756369045,12984332.432173777,274491.20366298174,2576131.2736062678,784993.0051466267,59051711.38274983,2654780.78291959,67356337.68219435,181876.07029383534,16592567.95541664,3428205.164156714,77586.46212031491,26841773.169362236,109186.14032842527,37503796.65293986,4873026.467704366,9.356341720367654,175097.18643049244,8486569.481954448,9200423.776916876,6557277.561448763,1611421.15985519,251143.8857677508,7805861.293624716,5823391.466250371,71395888.74325512,31751965.844357014,6665707.956499444,55913224.08476421,15709589.391824564,754272.0030773263
809589.0417804569,213798.12444144674,834845.3780057281,235260.03654187918,124.86997421160737,98401.99828246702,367398.86973895505,316390.3180341944,8264.125892367156,1713.8704324868522,59066.479292370845,305866.1784300059,278.70354130850546,49853.059261369985,29275.794164157705,161071.6794603672,465462.51429656893,455.03991347075817,32285.4714676016,2405.6084269302737,588909.8122699931,744339.4558858573,28992.661754703033,71599.70297648152,35412.69378262479,832825.5845996588,921244.2167203873,37758.82583696139,226763.9994933121,965698.0909172446,418481.94532044604,491012.9172334373,998340.381220758,3016.145167048191,206531.688717857,70160.7184227272,87.4181157576943,24379.664611622924,1466.5462971129455,333161.70049729943,1126.0615458354841,191822.09123170376,154305.89536008518,90879.95587324211,138471.63409785833,96700.82932456769,6541.389246956998,585283.5850372687,220757.19387700967,177296.5704363361,221257.2355528921,12151.990510954463,65086.10080298409,26681.267996204435,733133.6575098485,66574.72784115234,820848.6749210805,8933.39988557485,267004.9170684628,80697.93434299342,4728.366207805157,387665.571643617,6102.045347323336,505094.51291552186,105193.51252812613,6.243875014618247,8683.412123493617,160058.78061408736,170181.7767440006,131645.9231926445,45753.18660177011,11370.523182264791,150223.3273523571,120344.53631829191,863915.5220261514,442444.3209377676,133289.93789034523,700133.1001027972,256020.18759547547,25895.06633161672
8716.868533849716,3594.76380847767,8896.92898221314,3830.8599535468966,26.03456018373231,2146.2158408332616,5152.868284527212,4665.263037253171,414.84929425490554,146.54711867916922,1528.9883327069692,4561.480140995234,44.19510888054242,1366.0853245188482,959.5049867400667,2977.860411852598,6031.236444063485,61.061990628129024,1023.9403014497366,183.31407065680105,7053.177612096071,8242.821631580591,953.3339984717313,1737.4610006408766,1088.6879928517155,8882.615444675088,9499.570074692369,1136.0126779093407,3738.293127903715,9802.32642158866,5619.062762256712,6249.552038602531,10021.600108370185,212.92416704819334,3513.1045005191118,1714.1803850186989,20.554023180222316,849.8001556635136,132.1675421385862,4828.35008212924,111.01672128398604,3344.6181613299996,2894.1286335662007,2035.6545163933188,2693.1188061526045,2121.3539333827794,355.3564072785812,7024.212009944022,3672.1420517805964,3174.0701716803014,3677.680821346119,535.5703817611211,1630.7882239446044,902.2270076471614,8160.021964140236,1655.4815137670375,8797.337050303817,436.74247816723073,4167.262944735587,1881.1927065984346,286.6896681331709,5340.35748308152,339.36408014502376,6368.204085305333,2243.481025515124,3.4626640665712474,428.63432865732466,2965.404653193429,3088.821485960856,2604.1262666909024,1290.492241433356,512.5049353643844,2842.9753279797733,2453.3495232388377,9101.96946977079,5831.0739069879055,2625.7231719782576,7913.725253216922,4052.4541448764503,884.4904745544773
8712.337381646037,3590.6785315684974,8892.38755300641,3826.7426104899496,24.503408189696756,2142.390919391066,5148.601591587067,4661.046411637217,411.8599020371039,144.09474382994085,1525.334935363382,4557.274848554283,42.375945031735455,1362.4889743647072,956.0879225709941,2973.870097210631,6026.890529178083,59.06989233668446,1020.4902535883011,180.74530551180214,7048.752952307463,8238.31859268248,949.9202106829034,1733.7429071040824,1085.2067927632015,8878.074825808406,9494.995702952147,1132.5098690309096,3734.188113797456,9797.736286863685,5614.752471987158,6245.188233219087,10016.998854845762,210.27799225081253,3509.030816251412,1710.4691156009212,19.153135816799534,846.4448137563886,129.7688017684377,4824.11615389958,108.70915859977868,3340.569250073284,2890.1527141211554,2031.856302828528,2689.1792127285153,2117.534868126735,352.4463908579346,7019.789417348802,3668.0460369475186,3170.0476668961346,3673.584048068151,532.4503234595759,1627.1021935450844,898.8412352885352,8155.5240006148815,1651.7878806297667,8792.80127735436,433.72666879426106,4163.103180788457,1877.4344130284153,283.89007240544015,5336.072807457298,336.4776940973097,6363.830814391375,2239.6336925085634,3.1217019246771827,425.62814617788536,2961.4164546411484,3084.812717443332,2600.203636145219,1286.924772837432,509.40738233271986,2839.0084039950743,2449.4570174617693,9097.416590213776,5826.744972631335,2621.7963766232133,7909.242700479925,4048.3084594383836,881.1147898716154
701.5483979731798,1122.7302467618138,816.3899679780006,1109.2065510321409,24.872235947681702,1014.2285881638527,892.782858222723,999.3140454739332,322.540231605788,128.11508304413292,852.3359315232374,1018.0766281820834,41.43724281350296,795.8688136264682,626.4997627558187,1118.6454810779542,628.2327302619815,56.428731459915525,656.298442629748,157.1794445681553,210.42721720039845,413.8220065832138,623.585896192817,915.8670625565574,685.0308199631982,807.1186611950397,1222.7293187975883,705.3210705963429,1115.466215904802,1439.1989480257034,763.7126907892525,548.6379112452269,1601.226421251893,179.95772744399437,1125.5653464067727,909.2354083880782,19.767688078692686,573.0842436883831,116.47498110433844,967.084214579314,99.07959113829565,1128.0853825267404,1113.4959745099768,990.8277635769919,1096.3363106194884,1009.0803868873045,282.6074238773872,223.76613126695156,1119.178425308317,1126.3547440692782,1118.9017417933792,398.9589577578008,884.5410569524392,599.0603298133938,365.8129845932126,892.0181931080297,752.5490933209658,336.82008772462723,1076.2395647130907,954.2920616064221,234.45466369130008,844.1364995092154,271.59379590675235,503.08294820040464,1032.7680650381371,3.4299564695800244,331.55649083448225,1117.9551332183182,1123.7749135363847,1086.56892648153,767.6020632169675,384.8124691771227,1109.7529121041298,1066.9255882920697,950.808870986104,696.4147992506623,1089.0858740471303,226.91303888708353,1089.2632059510797,590.3611003601691
92.86355639994144,59.45432208105922,93.81371282041073,61.38838326372206,4.589192066267742,45.75813180580735,71.32522572577,67.76866123452783,19.85788270510966,11.613814130829269,38.61521865287796,66.98867504298687,6.166480009457473,36.533407491166145,30.472821299917996,54.05375775694847,77.15559469908476,7.341904181870632,31.43320216028951,13.079999433197372,83.43623126298189,90.2433076351881,30.376677538151853,41.18072099937126,32.47490883828141,93.71965676546097,96.98260772228241,33.21563605056144,60.64029305614531,98.45593769848347,74.46577415242791,78.5255416482687,99.59089443087578,14.085832951808698,58.718983091413975,40.90730747114867,4.037434259777683,28.642593496479094,11.055744351413523,68.92806915938854,10.083568726013254,57.35406367108226,53.26362724415958,44.65762156667188,51.4001591373235,45.6286611771211,18.340913131425623,83.30133405327797,60.10460830852389,55.806372959166765,60.140265464782715,22.643333528831135,39.893126495648175,29.513456992805004,89.79359185695648,40.18401459278539,93.32312904298306,20.457233192777494,64.07223622500896,42.84046844160184,16.39417586683703,72.5117579177022,17.92024641497119,79.30348145216703,46.8548248950392,1.3276156234287537,20.234013352688635,53.93314456753433,55.03275503963232,50.54443554952741,35.41951680649072,22.125914325617487,52.810827259905636,49.011605720967054,94.857098326087,75.90835256874561,50.72871283162385,88.40213081985712,63.166943933814764,29.227207935531624
0.1854584962129593,0.9773184955120087,0.9007827490568161,0.12691825442016125,0.12307990466422325,0.343679909594357,0.5246404707431793,0.2214977853000164,0.50419839436654,0.5792143508733716,0.6261332253925502,0.5344938039779663,0.9930032639717865,0.398772650398314,0.585932940011844,0.8051670715212822,0.19937854260206223,0.5105562572480267,0.9276087178150192,0.9157520017797651,0.2782825902104378,0.7335974723100662,0.5063925894210115,0.9461221499368548,0.4450893143657595,0.8489280790090561,0.8966523110866547,0.21302508050575852,0.5822703279554844,0.48894934356212616,0.5965880863368511,1.0298353657126427,0.5861297994852066,0.022991336598352063,0.6621937956660986,0.996281064581126,0.6294053713299377,0.941075166570954,0.06016963287765975,0.9322725757956505,0.7772229826314287,0.7255096547305584,1.0296491049230099,0.8388527757488191,0.42711232602596283,0.058554757386446,0.8649875100381905,0.07042500376701355,0.9127967357635498,0.7253229729831219,0.9036143068224192,0.796468380431179,0.5710866777226329,0.32699723704718053,0.3345995470881462,0.8026059614494443,0.6074378341436386,0.06638490603654645,0.3552084155380726,0.41252815956249833,0.7889740395039553,1.0157296396791935,0.5967465140274726,0.7220340222120285,0.980488252826035,0.08507110111131588,0.2326199525850825,0.8767054844647646,0.05471131578087807,0.9756127372384071,0.6526592713780701,1.006172254215926,0.8445328781381249,0.3104686625301838,0.7433084100484848,0.9386950582265854,0.8722452968358994,0.8216116428375244,0.9523946829140186,0.582419544341974
