Model,MSE_Train,NMSE_Train
Model_1,3522.620672807117,7109.090610392279
Model_2,1.6635183882905256,3.357188880909806
Model_3,0.8615039177312603,1.7386230256461155
Model_4,0.853896770288328,1.723270847401126
Model_5,0.49581867461682894,1.0006243111514965
Model_6,0.4861939157631122,0.981200339867151
Model_7,0.48301673235575804,0.9747883850111896
Model_8,0.44131107295366717,0.8906211302328444
Model_9,0.4408657936910945,0.8897225007979483
Model_10,0.44012576406397513,0.8882290281359105
Model_11,0.4379848059980735,0.8839083060663906
Model_12,0.20279191274214084,0.4092595305158998
Model_13,0.20066955057690072,0.40497633730772026
Model_14,0.19992659289450032,0.4034769554626513
Model_15,0.1997402801414925,0.40310095294463144
Model_16,0.19841369971826714,0.40042374716329865
Model_17,0.19665391478613317,0.39687228031535843
Model_18,0.19665386683984626,0.3968721835537341
Model_19,0.19663481690352494,0.3968337383914503
Model_20,0.19109666379085846,0.3856570503659418
Model_21,0.1889974566933465,0.3814205869904234
Model_22,0.18875869221236133,0.3809387303025973
Model_23,0.18816092072266874,0.3797323524154354
Model_24,0.18805382155937825,0.3795162128628555
Model_25,0.18387633197445394,0.3710855146010608
Model_26,0.1838491878252718,0.37103073430139144
Model_27,0.18372580123609844,0.3707817246792905
