complexity,loss,score,equation,sympy_format,lambda_format
1,2.3007479,0.0,x4,x4,PySRFunction(X=>x4)
2,0.25423047,2.2027483051536874,log(x4),log(x4),PySRFunction(X=>log(x4))
3,0.155659,0.49057350056641036,x1 - x0,-x0 + x1,PySRFunction(X=>-x0 + x1)
4,0.08238769,0.636231684701342,sin(x3 ^ x1),sin(x3**x1),PySRFunction(X=>sin(x3**x1))
5,0.04384121,0.6308617899274258,cos(exp(x3 * x4)),cos(exp(x3*x4)),PySRFunction(X=>cos(exp(x3*x4)))
6,0.0053298604,2.107249196158693,sin((x4 * x1) + x1),sin(x1*x4 + x1),PySRFunction(X=>sin(x1*x4 + x1))
8,0.0016109388,0.5982539659093596,sin((x1 - sin(x0)) + exp(x2)),sin(x1 + exp(x2) - sin(x0)),PySRFunction(X=>sin(x1 + exp(x2) - sin(x0)))
9,0.0009399733,0.538720923023243,sin(exp((x3 ^ x1) + (x4 - x1))),sin(exp(-x1 + x3**x1 + x4)),PySRFunction(X=>sin(exp(-x1 + x3**x1 + x4)))
13,0.0006760331,0.08240235781600956,sin(cos(x1)) * (sin(x0 ^ x4) - (sin(x4) / x2)),(sin(x0**x4) - sin(x4)/x2)*sin(cos(x1)),PySRFunction(X=>(sin(x0**x4) - sin(x4)/x2)*sin(cos(x1)))
14,0.0003119536,0.7733875805401298,sin(((x1 / 0.57322615) ^ x4) - sin(log(x4))),sin((1.74451217900649*x1)**x4 - sin(log(x4))),PySRFunction(X=>sin((1.74451217900649*x1)**x4 - sin(log(x4))))
15,0.0003060428,0.01912949734852302,sin((x1 * x4) + x1) + ((x0 - x4) / (exp(x1) - x3)),(x0 - x4)/(-x3 + exp(x1)) + sin(x1*x4 + x1),PySRFunction(X=>(x0 - x4)/(-x3 + exp(x1)) + sin(x1*x4 + x1))
16,0.0002055239,0.3981626325756971,sin((x1 * x4) + x1) + ((sin(x1) + cos(x2)) / (x1 ^ x4)),sin(x1*x4 + x1) + (sin(x1) + cos(x2))/(x1**x4),PySRFunction(X=>sin(x1*x4 + x1) + (sin(x1) + cos(x2))/(x1**x4))
17,9.0685615e-05,0.8181635841136106,sin((x4 * x1) + x1) - (cos(x1 * x3) / ((x3 ^ x4) * x0)),sin(x1*x4 + x1) - cos(x1*x3)/(x0*x3**x4),PySRFunction(X=>sin(x1*x4 + x1) - cos(x1*x3)/(x0*x3**x4))
19,2.9818573e-05,0.5561336451805815,sin((x1 * x4) + (x1 + 0.105047934)) + (x4 / (exp(x0) ^ x1)),x4/(exp(x0)**x1) + sin(x1*x4 + x1 + 0.105047934),PySRFunction(X=>x4/(exp(x0)**x1) + sin(x1*x4 + x1 + 0.105047934))
21,2.56204e-05,0.07587127262647625,(((-0.48598617 / x1) / x4) + (log(x1) ^ x3)) * (sin(x3 / x4) ^ x0),(log(x1)**x3 - 0.48598617/(x1*x4))*sin(x3/x4)**x0,PySRFunction(X=>(log(x1)**x3 - 0.48598617/(x1*x4))*sin(x3/x4)**x0)
22,2.5620391e-05,3.512826332865232e-07,((sin(-0.5074977) / (x1 * x4)) + (log(x1) ^ x3)) * (sin(x3 / x4) ^ x0),(log(x1)**x3 - 0.485991852219066/(x1*x4))*sin(x3/x4)**x0,PySRFunction(X=>(log(x1)**x3 - 0.485991852219066/(x1*x4))*sin(x3/x4)**x0)
23,1.5465042e-05,0.5048064359233359,(sin(x0 ^ x4) - (sin(x4) / x2)) * (sin(cos(x1)) - ((-0.13872512 / x1) / x4)),(sin(x0**x4) - sin(x4)/x2)*(sin(cos(x1)) - (-1)*0.13872512/(x1*x4)),PySRFunction(X=>(sin(x0**x4) - sin(x4)/x2)*(sin(cos(x1)) - (-1)*0.13872512/(x1*x4)))
24,9.891417e-06,0.4469147105352484,(sin(cos(x1)) - ((-0.46100792 / x1) / exp(x4))) * (sin(x0 ^ x4) - (sin(x4) / x2)),(sin(x0**x4) - sin(x4)/x2)*(sin(cos(x1)) - (-1)*0.46100792/(x1*exp(x4))),PySRFunction(X=>(sin(x0**x4) - sin(x4)/x2)*(sin(cos(x1)) - (-1)*0.46100792/(x1*exp(x4))))
