Model,MSE_Train,NMSE_Train
Model_1,3085.831625447282,2866.3627491925936
Model_2,0.5562610047705971,0.5166989053305114
Model_3,0.5562610047705971,0.5166989053305114
Model_4,0.43990597846014834,0.4086192193401092
Model_5,0.31624382004512663,0.2937520952097725
Model_6,0.010538276444265415,0.009788778749766627
Model_7,0.010538276444265415,0.009788778749766627
Model_8,0.01040632923753548,0.00966621582212281
Model_9,0.010357617195292917,0.009620968251850423
Model_10,0.010308233459866322,0.009575096760199528
Model_11,0.01003980106897376,0.00932575567509751
Model_12,0.009959426562741718,0.00925109752176587
Model_13,0.009958497410295005,0.009250234452005478
