complexity,loss,score,equation,sympy_format,lambda_format
1,697266400000000.0,0.0,x0,x0,PySRFunction(X=>x0)
3,697081400000000.0,0.00013267851900765522,x0 * x0,x0*x0,PySRFunction(X=>x0*x0)
5,681505100000000.0,0.011299227783673343,(x0 * x0) * x0,x0*x0*x0,PySRFunction(X=>x0*x0*x0)
6,555084730000000.0,0.20518296584015094,(x0 ^ log(x0)) / x0,x0**log(x0)/x0,PySRFunction(X=>x0**log(x0)/x0)
7,94814810000.0,8.67495042705484,x0 * ((x0 * x0) * x0),x0*x0*x0*x0,PySRFunction(X=>x0*x0*x0*x0)
9,14749125.0,4.384248570338928,(((x0 * x0) + x0) * x0) * x0,x0*x0*(x0*x0 + x0),PySRFunction(X=>x0*x0*(x0*x0 + x0))
13,613836.75,0.7948025061645866,((x0 * x0) * (x0 - -1.0123631)) * x0,x0*x0*x0*(x0 - 1*(-1.0123631)),PySRFunction(X=>x0*x0*x0*(x0 - 1*(-1.0123631)))
15,2840.0923,2.6879462308355495,((x0 * (x0 * x0)) * x0) + (x0 * ((x0 * x0) + x0)),x0*(x0*x0 + x0) + x0*x0*x0*x0,PySRFunction(X=>x0*(x0*x0 + x0) + x0*x0*x0*x0)
28,1417.7122,0.05344554661944749,(((x0 * x0) + (x0 - -0.11876181)) * ((x0 * x0) + 0.8730202)) - cos(1.8667154),(x0*x0 + 0.8730202)*(x0*x0 + x0 - 1*(-0.11876181)) - cos(1.8667154),PySRFunction(X=>(x0*x0 + 0.8730202)*(x0*x0 + x0 - 1*(-0.11876181)) - cos(1.8667154))
42,893.66144,0.03296233739911019,((x0 - sin(-1.5705751)) * ((x0 * x0) * x0)) + ((-1.9482235 - (0.95025504 / -0.13582744)) + ((x0 - -1.4808939) * x0)),x0*(x0 - 1*(-1.4808939)) + x0*x0*x0*(x0 - sin(-1.5705751)) - 1.9482235 - 0.95025504/(-0.13582744),PySRFunction(X=>x0*(x0 - 1*(-1.4808939)) + x0*x0*x0*(x0 - sin(-1.5705751)) - 1.9482235 - 0.95025504/(-0.13582744))
49,576.6185,0.06259230452330217,((x0 - sin(-1.5705751)) * ((x0 * x0) * x0)) + ((sin(-0.7800088) - (0.95025504 / -0.13582744)) + ((x0 - -1.4808939) * (x0 - 0.13264361))),x0*x0*x0*(x0 - sin(-1.5705751)) + (x0 - 1*(-1.4808939))*(x0 - 1*0.13264361) + sin(-0.7800088) - 0.95025504/(-0.13582744),PySRFunction(X=>x0*x0*x0*(x0 - sin(-1.5705751)) + (x0 - 1*(-1.4808939))*(x0 - 1*0.13264361) + sin(-0.7800088) - 0.95025504/(-0.13582744))
