Model,MSE_Train,NMSE_Train
Model_1,10.027674733412622,367.8026408433033
Model_2,0.09570218117155503,3.510237009590666
Model_3,0.09057756346189828,3.322272403933512
Model_4,0.00029727090947593714,0.010903527333891754
Model_5,6.723963090230835e-05,0.0024662660559574777
Model_6,2.60670141539086e-05,0.0009561056675244314
Model_7,1.5659932084346893e-06,5.74386837345032e-05
Model_8,1.1716800511544066e-06,4.297576741316453e-05
Model_9,3.7417668928781543e-07,1.3724335712994024e-05
Model_10,1.5838704906292626e-07,5.809440021684539e-06
Model_11,1.5838472845002174e-07,5.809354904488644e-06
Model_12,1.5826434196302512e-07,5.804939277833776e-06
Model_13,1.2504254491930056e-07,4.586405070144757e-06
Model_14,9.962978303042768e-08,3.6542965622066895e-06
Model_15,9.962797333455142e-08,3.654230184812118e-06
Model_16,4.4086184184351695e-10,1.6170264192634542e-08
