complexity,loss,score,equation,sympy_format,lambda_format
1,4.5214453,0.0,x0,x0,PySRFunction(X=>x0)
2,0.48564315,2.23111288341131,sin(x0),sin(x0),PySRFunction(X=>sin(x0))
3,0.4353488,0.10932654607294508,sin(exp(x0)),sin(exp(x0)),PySRFunction(X=>sin(exp(x0)))
4,0.42842355,0.016035239816446646,sin(sin(exp(x0))),sin(sin(exp(x0))),PySRFunction(X=>sin(sin(exp(x0))))
5,0.25442246,0.5211161953189897,sin(exp(x0) ^ x0),sin(exp(x0)**x0),PySRFunction(X=>sin(exp(x0)**x0))
6,0.13081855,0.6651848651929761,sin(sin(x0) * exp(x0)),sin(exp(x0)*sin(x0)),PySRFunction(X=>sin(exp(x0)*sin(x0)))
8,0.06973588,0.3145481428036104,sin(x0 + ((x0 + x0) ^ x0)),sin(x0 + (x0 + x0)**x0),PySRFunction(X=>sin(x0 + (x0 + x0)**x0))
9,9.3455455e-05,6.614985336254783,sin((x0 * x0) + x0) + sin(x0),sin(x0) + sin(x0*x0 + x0),PySRFunction(X=>sin(x0) + sin(x0*x0 + x0))
15,5.9116086e-05,0.0763303059235808,sin((x0 * x0) + x0) + (sin(x0) * 1.0083768),sin(x0)*1.0083768 + sin(x0*x0 + x0),PySRFunction(X=>sin(x0)*1.0083768 + sin(x0*x0 + x0))
17,5.329373e-05,0.05184219094427087,sin(x0 - (0.14237714 ^ x0)) + sin(x0 + (x0 * x0)),sin(-0.14237714**x0 + x0) + sin(x0 + x0*x0),PySRFunction(X=>sin(-0.14237714**x0 + x0) + sin(x0 + x0*x0))
21,3.2180502e-05,0.12611448675891615,((sin(x0) + -0.053099282) - (cos(x0) / exp(x0))) + sin((x0 * x0) + x0),sin(x0) + sin(x0*x0 + x0) - 0.053099282 - cos(x0)/exp(x0),PySRFunction(X=>sin(x0) + sin(x0*x0 + x0) - 0.053099282 - cos(x0)/exp(x0))
22,3.217942e-05,3.3623409304337026e-05,((sin(x0) + sin(-0.053099282)) - (cos(x0) / exp(x0))) + sin((x0 * x0) + x0),sin(x0) + sin(x0*x0 + x0) + sin(-0.053099282) - cos(x0)/exp(x0),PySRFunction(X=>sin(x0) + sin(x0*x0 + x0) + sin(-0.053099282) - cos(x0)/exp(x0))
23,7.626986e-06,1.4396343701883485,sin(x0 / 0.28961667) - (cos(x0 / -0.24650937) * 0.5956531),sin(x0/0.28961667) - 0.5956531*cos(x0/(-0.24650937)),PySRFunction(X=>sin(x0/0.28961667) - 0.5956531*cos(x0/(-0.24650937)))
24,7.61877e-06,0.0010778082497656459,sin(x0 / 0.28961667) - (sin(0.6383121) * cos(x0 / -0.24650937)),sin(x0/0.28961667) - sin(0.6383121)*cos(x0/(-0.24650937)),PySRFunction(X=>sin(x0/0.28961667) - sin(0.6383121)*cos(x0/(-0.24650937)))
25,7.543775e-06,0.009892219486671874,sin(x0 / 0.2895818) - (cos(x0 / -0.24655281) * sin(cos(0.877812))),sin(x0/0.2895818) - sin(cos(0.877812))*cos(x0/(-0.24655281)),PySRFunction(X=>sin(x0/0.2895818) - sin(cos(0.877812))*cos(x0/(-0.24655281)))
