Complexity,Loss,MSE,NMSE,Absolute Error
1,0.2186350648149516,0.19371428894813872,0.07538806038651387,0.36620015107872
6,0.0013079365934488,0.001473504607058422,0.0005734458459410104,0.03393812830170952
8,0.0013079365934488,0.001473504607263704,0.0005734458460209003,0.03393812829695239
10,0.0013079365934488,0.0014735046071898158,0.000573445845992145,0.033938128298664674
11,0.0009163035553441,0.0009470036915435574,0.00036854674929762447,0.028045236486089125
12,8.46680345319002e-05,8.095681181211375e-05,3.1506075523552194e-05,0.00795667654343502
17,4.037433049301683e-05,,,
19,4.037433049301605e-05,,,
20,3.751306040554768e-05,,,
24,3.07598443340663e-05,,,
25,2.9780990799866315e-05,,,
27,2.872237798709975e-05,,,
29,2.485674473404169e-05,,,
